Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,78382.3,28297.4,662019.57,99645.8,28965.45,1093244.23,221446.19,155298.33,21146.34,32035.43,53181.77,474965.35,601966.2789999999,371581.1,161406.67,n.d.,21609.95,21609.95,1393925.37,2606.3700000000003,1393986.5,n.d.,0.0,168960.64,196.25,168764.38999999998,1093244.23,7.0,-86153.83,n.d.,31755.89,271935.3,268706.83999999997,0,131273.22,78382.3,381016.81,n.d.,10425.48,7819.110000000001,32035.43,300742.27,7819.110000000001,-21609.95,n.d.,31755.89,830980.21,830980.21,214588.44
2022,78295.09,43723.59,692539.7,99645.8,24667.28,1176154.85,258588.47999999998,55553.91,21019.68,20319.25,41338.93,603942.21,615772.53,363761.98,166562.63,n.d.,15568.33,15568.33,1460411.8,1103.32,1460879.25,n.d.,0.0,189478.29,196.25,189282.04,1176154.85,8.0,-76822.84,n.d.,33043.58,264116.18,264405.14999999997,0,137648.84999999998,78295.09,439960.92,n.d.,4750.92,3647.6,20319.25,284724.39900000003,3647.6,-15568.33,n.d.,33043.58,882017.99,882017.99,207901.56
2021,110451.31,55909.21,654942.2799999999,99645.8,29780.32,1336077.42,258747.23,110826.51,26403.89,15663.12,42067.01,515942.21,570859.51,360114.38,149302.53,n.d.,11161.21,11161.21,1587595.35,1125.48,1587595.35,n.d.,0.0,209520.23,392.5,209127.73,1336077.42,7.0,-60148.39,n.d.,28173.56,260468.58,235854.81,0,79240.38,110451.31,393896.82,n.d.,4501.91,3376.4300000000003,15663.12,251517.93,3376.4300000000003,-11161.21,n.d.,28173.56,864462.51,864462.51,191369.54
2020,119160.77,52419.27,632543.01,99645.8,27895.4,1118589.05,247180.7,126893.25,24729.0,18528.89,43257.89,490942.21,565416.19,356737.95,131282.6,n.d.,14307.02,14307.02,1340639.93,1055.47,1340692.059,n.d.,0.0,192279.81,845.25,191434.56,1118589.05,9.0,-47562.52,n.d.,14707.55,257092.15,203574.12,0,49324.13,119160.77,348924.1,n.d.,4221.87,3166.3990000000003,18528.89,222103.009,3166.3990000000003,-14307.02,n.d.,14707.55,824822.8200000001,824822.8200000001,174540.49
2019,174748.9,101210.11,757283.6,99645.8,11028.29,1017121.48,288300.31,283808.03,10423.68,15187.89,25611.57,457158.01,639755.93,353571.55,147949.23,n.d.,13820.65,13820.65,1277245.35,1033.1899999999998,1277773.71,n.d.,270.56,217008.81,1469,215539.81,1017121.48,9.0,-87091.43,n.d.,16317.56,253925.75,245464.34,0,56461.54,174748.9,445971.96,n.d.,1637.8,604.609,15187.89,260652.23,604.609,-13550.09,n.d.,5645.46,974292.41,974292.41,173831.36
2018,218741.78,124602.08,847852.97,99645.8,21590.04,1524735.91,289752.87,366450.7,18209.43,17207.25,35416.68,447708.01,689556.63,352966.94,167017.4,n.d.,12399.77,12399.77,1830293.45,1426.87,1830293.45,n.d.,0.0,204470.68,1026,203444.68,1524735.91,9.0,-103123.45999999999,n.d.,33694.259999999995,253321.139,288350.29000000004,0,66259.979,218741.78,480614.93000000005,n.d.,4807.48,3380.609,17207.25,305557.54,3380.609,-12399.77,n.d.,33694.259999999995,1052323.6490000002,1052323.6490000002,202434.08
2017,234137.33,40693.719999999994,716121.69,99645.8,18000.58,1490001.59,265540.06,295810.32,13064.55,16588.93,29653.480000000003,373767.71,628884.31,349586.33,148156.68,n.d.,10007.55,10007.55,1765155.73,1645.35,1766540.73,n.d.,0.0,220549.36,1368,219181.36,1490001.59,7.0,-98728.98,n.d.,46543.659999999996,249940.53,259950.21000000002,0,46713.61,234137.33,352947.39,n.d.,6581.38,4936.03,16588.93,276539.139,4936.03,-10007.55,n.d.,46543.659999999996,936671.05,936671.05,177810.159
2016,174932.54,97601.75,684664.71,99645.8,23393.58,1008966.9600000001,261421.72,307406.27,17244.07,19144.23,36388.3,362094.69,571899.21,344650.3,146572.26,n.d.,10944.89,10944.89,1275221.25,2049.8300000000004,1277328.16,n.d.,0.0,231595.66,1368,230227.66,1008966.96,7.0,-85400.64,n.d.,15163.75,245004.5,249216.97,0,37654.06,174932.54,396677.53,n.d.,8199.34,6149.51,19144.23,268361.199,6149.51,-10944.89,n.d.,15163.75,916260.37,916260.37,182960.56
2015,100000,44200.54,621176.2,99645.8,34630.479,1550609.4,273672.99000000005,371059.77,28470.26,24343.460000000003,52813.72,230099.19,556958.419,338500.79000000004,171474.5,n.d.,16129.83,16129.83,1881786.82,2053.409,1884041.82,n.d.,0.0,197195.99,1710,195485.99,1550609.4,8.0,-109144.2,n.d.,20017.24,238854.99,309088.96,0,61997.87,100000,379871.4,n.d.,8213.629,6160.22,24343.460000000003,333432.42000000004,6160.22,-16129.83,n.d.,20017.24,818372.19,818372.19,224288.219
2014,13538.140000000001,292388.63999999996,732148.92,99645.8,41698.06,1345495.94,252993.14,518021.35,33676.48,34669.54,68346.02,144080.63,369713.339,332340.55,138625.87999999998,n.d.,23974.1,23974.1,1639133.49,2673.86,1639418.49,n.d.,0.0,222136.17,n.d.,222136.17,1345495.94,7.0,-86950.65000000001,n.d.,70046.93999999999,232694.75,259253.01,0,63024.619,13538.140000000001,608406.4,n.d.,10695.44,8021.58,34669.54,293922.55,8021.58,-23974.1,n.d.,70046.93999999999,954285.09,954285.09,206971.9
2013,103170.47,273246.97000000003,755927.98,99645.8,39477.58,1508319.1800000002,280958.5,505828.97,32350.25,28522.93,60873.18,168481.77000000002,401063.77,324318.97000000003,136891.12,n.d.,19019.81,19019.81,1813903.74,2375.79,1813903.74,n.d.,0.0,255393.65,n.d.,255393.65,1508319.1800000002,4.0,-107820.26,n.d.,81617.23999999999,224673.169,277061.63,0,29626.72,103170.47,583832.19,n.d.,9503.12,7127.33,28522.93,305584.56,7127.33,-19019.81,n.d.,81617.23999999999,1011321.63,1011321.63,197764.3
2012,176261.74000000002,274926.87,586544.9500000001,99645.8,48398.72,2011257.1300000001,n.d.,581004.65,32365.02,37772.11,70137.13,5540.3,311618.08,317191.64,137968.64,n.d.,17729.99,17729.99,2313468.85,4008.42,2316968.85,n.d.,0.0,269844.2,n.d.,269844.2,2011257.13,7.0,-97605.95,n.d.,n.d.,217545.84,267939.61,0,88008.9,176261.74000000002,362935.77,n.d.,20042.12,16033.699,37772.11,305711.72000000003,16033.699,-17729.99,n.d.,n.d.,856389.15,856389.15,208105.77
2011,171031.37999999998,136055.2,501124.42,99645.8,47523.549,1256650.79,100449.12000000001,362921.67,32353.44,32263.84,64617.28,33359.64,260226.11,301157.94,135624.74000000002,n.d.,13305.18,13305.18,1530469.13,3792.53,1530469.13,n.d.,3.98,231651.08,n.d.,231651.08,1256650.79,7.0,-73576.319,n.d.,104843.11,201512.14,241554.5,0,24081.86,171031.37999999998,260586.18,n.d.,18962.64,15170.109,32263.84,273818.33900000004,15170.109,-13301.2,n.d.,104843.11,732775.5,732775.5,200246.0
2010,223585.71000000002,352381.98000000004,655234.66,99645.8,56127.810000000005,1417840.6600000001,n.d.,547722.69,38446.34,32719.75,71166.09,51500.0,246840.709,285987.83,105712.26,n.d.,10622.18,10622.18,1674546.12,4420.37,1674546.12,n.d.,4.2700000000000005,264004.52,n.d.,264004.52,1417840.66,6.0,-79827.11,n.d.,56011.97,186342.03,223985.71000000002,0,57283.66,223585.71000000002,409665.64,n.d.,22101.84,17681.47,32719.75,256705.46,17681.47,-10617.91,n.d.,53857.729999999996,919239.18,919239.18,176882.62
2009,227219.49,173822.54,550164.66,99645.8,63438.08,1566948.29,108638.97,445760.32,36546.26,55864.39,92410.65,5825.7,277763.48000000004,268306.36,95476.94,n.d.,22265.25,22265.25,1841359.39,6722.96,1841359.39,n.d.,15.64,310718.8,n.d.,310718.8,1566948.29,5.0,-86523.51,n.d.,98578.64,168660.56,218546.71000000002,0,82896.1,227219.49,365357.61,n.d.,33614.78,26891.82,55864.39,274411.09900000005,26891.82,-22249.61,n.d.,98578.64,860883.4600000001,860883.4600000001,187903.23
2008,266202.71,209869.53,522215.87,99645.8,59629.07,1471494.81,78904.45,258938.55,31455.2,61942.03,93397.23,74823.0,123892.019,241414.54,93282.95,n.d.,24382.51,24382.51,1680156.92,9391.29,1680156.92,n.d.,5.64,317128.81,n.d.,317128.81,1471494.81,5.0,-21981.93,n.d.,188454.31999999998,141768.74000000002,146720.08,0,42953.45,266202.71,331727.43000000005,n.d.,37565.16,28173.87,61942.03,208662.109,28173.87,-24376.87,n.d.,188454.31999999998,839344.6799999999,839344.6799999999,186685.82
2007,304342.88,n.d.,537672.5,99645.8,41165.32,n.d.,n.d.,216560.94,32234.13,38401.63,70635.76,231320.0,447880.94,213240.67,117788.22,n.d.,26497.73,26497.73,1833914.12,2977.06,1833914.12,n.d.,4.35,369677.73,50096.98,319580.75,1573683.46,4.0,n.d.,0,89791.56,113594.87,n.d.,n.d.,389766.68,304342.88,389766.68,n.d.,11908.25,8931.19,38401.63,n.d.,8931.19,-26493.38,n.d.,85984.2,907350.23,907350.23,188428.33
2006,336065.98000000004,n.d.,536586.37,99645.8,39826.5,n.d.,n.d.,97563.89,33132.41,28974.9,62107.310000000005,239540.0,337103.89,204309.48,94893.9,n.d.,19416.05,19416.05,1440755.48,2868.8900000000003,1440755.48,n.d.,4.13,372442.51,23534.480000000003,348908.03,1205838.6,4.0,n.d.,0,199482.479,104663.68,n.d.,n.d.,368653.42,336065.98000000004,368653.42,n.d.,9562.98,6694.09,28974.9,n.d.,6694.09,-19411.92,n.d.,198311.83,909028.88,909028.88,157005.33899999998
2005,334448.82,n.d.,368297.24,99645.8,29117.239,n.d.,n.d.,177814.36,22780.25,19531.15,42311.4,140550.0,318364.36,197615.39,91610.83,n.d.,10489.39,10489.39,1017198.29,2715.8500000000004,1017296.33,n.d.,11.08,345782.15,15800.55,329439.4,831599.13,4.0,n.d.,542.2,49932.880000000005,97969.59,n.d.,n.d.,182015.18,334448.82,182015.18,n.d.,9052.84,6336.99,19531.15,n.d.,6336.99,-10478.31,n.d.,49932.880000000005,714079.39,714079.39,133933.31
