Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,25500,n.d.,277565.79000000004,260650.0,46430.78999999999,n.d.,n.d.,n.d.,12827.9,44803.850000000006,57631.75,n.d.,n.d.,791681.51,n.d.,n.d.,0.0,n.d.,88818.0,11200.96,88818.0,n.d.,0.0,550443.19,n.d.,14103.33,n.d.,n.d.,-31186.25,536339.8600000001,277565.79000000004,531031.51,44014.15,0,10827.47,25500,10827.47,n.d.,44803.850000000006,33602.89,44803.850000000006,88818,33602.89,0.0,n.d.,127565.79,828008.98,828008.98,57631.75
2022,25500,n.d.,290431.63,260650.0,33565.04,n.d.,n.d.,n.d.,12827.9,27649.52,40477.42,n.d.,n.d.,758078.62,450,n.d.,0.0,n.d.,62575.0,6912.38,62575.0,n.d.,0.0,500597.97,n.d.,2980.0,n.d.,1,-21647.58,497617.97,290431.63,497428.62,34925.48,0,7450.98,25500,7450.98,n.d.,27649.52,20737.14,27649.52,62575,20737.14,0.0,n.d.,290431.63,791029.6,791029.6,40927.42
2021,11500,n.d.,244708.08,260650.0,43205.84,n.d.,n.d.,n.d.,12827.9,40503.92,53331.82,n.d.,n.d.,737341.48,n.d.,n.d.,0.0,n.d.,69000.0,10125.98,69000.0,n.d.,0.0,510925.87,n.d.,4580.0,n.d.,n.d.,-15668.18,506345.87,244708.08,476691.48,28496.08,0,6792.469999999999,11500,6792.469999999999,n.d.,40503.92,30377.94,40503.92,69000,30377.94,0.0,n.d.,124708.08,755633.9500000001,755633.9500000001,53331.82
2020,n.d.,n.d.,195798.45,260650.0,47695.72,n.d.,n.d.,1898.76,12827.9,46490.43,59318.33,n.d.,1898.76,706963.54,450,n.d.,0.0,n.d.,69559.6,11622.61,69559.6,n.d.,0.0,512253.77,n.d.,6180.0,n.d.,1,-9791.27,506073.77,193899.69,446313.54,23069.17,0,1088.6799999999998,n.d.,1088.6799999999998,n.d.,46490.43,34867.82,46490.43,69559.6,34867.82,0.0,n.d.,58899.69,708052.22,708052.22,59768.33
2019,n.d.,n.d.,150758.54,260650.0,38396.33,n.d.,n.d.,9724.76,12827.9,34091.24,46919.14,n.d.,9724.76,672095.72,4200,n.d.,0.0,n.d.,65500.0,8522.81,65500.0,n.d.,0.0,525081.6699999999,n.d.,7780.0,n.d.,1,-14380.859999999999,517301.67,141033.78,411445.72,31408.760000000002,0,3744.49,n.d.,3744.49,n.d.,34091.24,25568.43,34091.24,65500,25568.43,0.0,n.d.,6033.78,675840.21,675840.21,51119.14
2018,10500,n.d.,173261.7,260650.0,82022.959,7899.6,n.d.,14154.27,17586.58,85913.78,103500.36,n.d.,14154.27,691527.2899999999,19799.77,n.d.,0.0,n.d.,40910.19,21478.79,88910.19,n.d.,1.39,544909.57,n.d.,9380.0,7899.6,1,42289.54,535529.569,159107.43,430877.29,-4903.1900000000005,0,16143.98,10500,16143.98,n.d.,85915.17000000001,64436.380000000005,85913.78,81010.59,64436.380000000005,1.39,n.d.,89107.43,718171.2699999999,718171.2699999999,123301.52
2017,10500,510.96999999999997,154206.06,260650.0,44768.26,18861.25,n.d.,23375.420000000002,24163.0,27256.13,51419.13,325,23189.449,697090.91,32268.09,n.d.,0.0,n.d.,81150.2,6868.42,129150.2,n.d.,217.55,562496.15,n.d.,15738.68,18861.25,3,-26601.73,546757.47,130505.64,436440.91,83032.82,0,8600.33,10500,9111.3,n.d.,27473.68,20605.26,27256.13,110288.95,20605.26,217.55,n.d.,60430.41,716702.21,716702.21,83904.77
2016,10500,2785.8100000000004,109034.29,260650.0,35780.96,19048.940000000002,n.d.,26589.51,24171.35,15279.48,39450.83,250,24053.698999999997,676485.65,34309.55,n.d.,0.0,n.d.,78688.06,3869.87,125688.06,n.d.,200.0,586659.15,n.d.,34400.0,19048.940000000002,4,-32878.738999999994,552259.15,82194.78,415835.65,91359.63900000001,0,5921.98,10500,8707.79,n.d.,15479.48,11609.61,15279.48,106639.12000000001,11609.61,200.0,n.d.,32194.78,695693.4400000001,695693.4400000001,73960.38
2015,10500,986.7900000000001,77654.88,260650.0,41073.72,27512.329999999998,n.d.,20355.45,32150.24,10643.4,42793.64,420,19788.66,664876.04,34523.65,n.d.,0.0,n.d.,88042.34,2974.5,130042.34,n.d.,1254.58,607411.48,n.d.,53130.73,27512.329999999998,4,-25212.72,554280.75,56879.43,404226.04,91886.61,0,8703.53,10500,9690.32,n.d.,11897.98,8923.48,10643.4,102530.01,8923.48,1254.58,n.d.,6879.429999999999,685066.3600000001,685066.3600000001,78571.87000000001
2014,10500,3753.63,109782.13,330655.0,24308.319,30470.12,n.d.,23410.68,31161.2,-11268.45,19892.75,926,20583.05,725957.56,35096.99,n.d.,0.0,n.d.,97502.8,-2050.719,129002.8,n.d.,2364.8500000000004,640688.64,n.d.,79840.35,30470.12,4,-43542.939,560848.2899999999,85445.45,395302.56,109801.12900000002,1994.73,8264.849999999999,12494.730000000001,12018.48,n.d.,-8903.6,-6852.881,-11268.45,98532.68000000001,-6852.881,2364.8500000000004,n.d.,15445.45,750470.7699999999,750470.7699999999,57354.59
2013,n.d.,6087.48,143130.25,390650.0,20026.37,27214.06,n.d.,28416.59,29779.95,-15115.46,14664.49,958,23287.109999999997,792805.4400000001,34430.810000000005,n.d.,0.0,n.d.,83814.59,-3251.2,106064.59,n.d.,2110.68,664886.62,n.d.,106921.08,27214.06,4,-29755.23,557965.539,113755.66,402155.44,93965.989,4082.23,5041.72,4082.23,11129.2,n.d.,-13004.78,-9753.58,-15115.46,78850.53,-9753.58,2110.68,n.d.,13755.66,808016.87,808016.87,51205.979
