Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,568157.66,119522.57,855902.89,27045.54,46107.95,298757.7,328012.96,291660.22000000003,19061.3,49614.87,68676.17000000001,561059.76,733197.409,341197.58,252627.62,n.d.,22568.22,22568.22,654187.9400000001,n.d.,654187.9400000001,n.d.,0.0,529000.339,57016.2,468056.21,298757.7,8.0,-34126.450000000004,3927.93,3182.9100000000003,314152.04,305815.37,0,28012.460000000003,568157.66,475547.9900000001,n.d.,27046.65,27046.65,49614.87,355430.23900000006,27046.65,-22568.22,n.d.,3182.9100000000003,1384903.23,1384903.23,321303.79000000004
2022,713157.659,46485.8,818378.87,27045.54,62448.979,518506.66,201050.76,191857.31,22851.37,43843.47,66694.84,586059.76,731431.2699999999,314150.93000000005,210564.59,n.d.,4245.860000000001,4245.860000000001,926407.98,n.d.,926407.98,n.d.,0.0,483105.68,63016.2,416161.55,518506.66,7.0,-130641.89,3927.93,40461.8,287105.39,364057.85,0,26639.4,713157.66,274175.96,n.d.,39597.61,39597.61,43843.47,407901.32,39597.61,-4245.860000000001,n.d.,40461.8,1301484.55,1301484.55,277259.43000000005
2021,682325.7989999999,324458.73000000004,785741.9500000001,27045.54,68802.07,588931.16,69932.78,56581.39,22731.22,47629.12,70360.34,651179.91,383302.57,274553.32,321884.45,n.d.,1558.27,1558.27,1010842.07,n.d.,1010842.07,n.d.,0.0,583065.15,68606.2,513538.75,588931.16,12.0,-29666.12,920.2,77980.65000000001,247507.78,374281.79000000004,0,17536.47,682325.8,411927.98,n.d.,46070.850000000006,46070.850000000006,47629.12,421910.90900000004,46070.850000000006,-1558.27,n.d.,77980.65000000001,1368807.1,1368807.1,392244.79
2020,719325.7989999999,266659.11,818365.9400000001,27045.54,61813.84,538388.64,83157.2,195479.37999999998,25814.88,42917.71,68732.59,619123.26,547943.53,228482.47,385542.4900000001,n.d.,6918.75,6918.75,1066864.85,n.d.,1066864.85,n.d.,0.0,529379.37,50606.2,477852.97,538388.64,14.0,-74201.13,920.2,3763.3,201436.93,485558.5,0,50120.73,719325.8,399937.04,n.d.,35998.96,35998.96,42917.71,528476.21,35998.96,-6918.75,n.d.,3684.53,1347745.31,1347745.31,454275.08
2019,520825.8,170249.78,737784.43,27045.54,66621.11,658535.48,115923.7,167856.63,32714.5,39422.0,72136.5,540623.26,538230.11,192483.51,323030.2,n.d.,5515.39,5515.39,1087105.6700000002,n.d.,1087105.6700000002,n.d.,0.0,506138.85,18000,487218.65,658535.48,11.0,-33403.49,920.2,29304.54,165437.96899999998,389148.19,0,244440.49,520825.8,530613.97,n.d.,33906.61,33906.61,39422.0,428570.189,33906.61,-5515.39,n.d.,29304.54,1243923.28,1243923.28,395166.7
2018,391931.04,242250.57,502580.18,27045.54,65942.82,640188.24,165064.81999999998,208241.37999999998,24359.74,48274.22,72633.95999999999,277114.91000000003,243105.719,227731.54,177237.7,n.d.,6691.14,6691.14,930581.87,n.d.,930581.87,n.d.,0.0,575723.56,24000,486040.55,640188.24,6.0,-40521.97,65683.009,17223.89,200685.999,242119.41,0,51325.77,391931.04,458641.16,n.d.,41583.08,41583.08,48274.22,290393.63,41583.08,-6691.14,n.d.,17223.89,1078303.74,1078303.74,249871.66
2017,461509.71,138525.99,404701.5,27045.54,74366.89,305272.08,146747.64,110152.95999999999,34838.37,47490.27,82328.64,293614.91000000003,265241.88,186157.58,133527.2,n.d.,7961.75,7961.75,553556.56,n.d.,557448.16,n.d.,0.0,558054.37,30000,462371.36,305272.08,6.0,-36320.24,65683.009,933.63,159112.039,204685.81,0,29814.95,461509.71,315088.58,n.d.,39528.52,39528.52,47490.27,252176.08,39528.52,-7961.75,n.d.,928.89,962755.87,962755.87,215855.84
2016,487356.03,157690.84,296253.73000000004,27045.54,86400.69900000001,256094.78,35680.25,51314.82,52929.61,39176.07,92105.68,244114.91,137738.88899999997,146629.06,125432.94,n.d.,5704.98,5704.98,520579.39,n.d.,520579.39,n.d.,0.0,562892.74,n.d.,497209.73,256094.78,6.0,-46945.99,65683.009,824.0,119583.518,225308.539,0,31790.29,487356.03,225161.38,n.d.,33471.089,33471.089,39176.07,264484.61,33471.089,-5704.98,n.d.,824,859146.47,859146.47,217538.619
2015,520924.03,165071.62,248807.46,27045.54,86486.14,106553.48,35567.1,8814.66,56795.57,39671.47,96467.04,239102.43,82845.47,113157.97,109701.25,n.d.,9980.9,9980.9,370932.14,n.d.,370932.14,n.d.,0.0,609284.75,n.d.,543601.74,106553.48,4.0,-58210.369,65683.009,890.37,86112.429,224707.19,0,23371.49,520924.03,224010.21,n.d.,29690.57,29690.57,39671.47,264378.66,29690.57,-9980.9,n.d.,797.04,858092.21,858092.21,206168.29
2014,700791.3300000001,92655.06,249620.51,27045.54,85769.989,60318.729999999996,51327.54,43253.15,64064.1,28865.91,92930.01,203960.02,154558.11000000002,85322.90999999999,125471.75,n.d.,7160.02,7160.02,317009.63,n.d.,317009.63,n.d.,0.0,738945.4600000001,54.97,600342.3400000001,60318.73,4.0,-38289.14,138548.15,2407.34,58277.369,227824.99,0,58469.13,700791.3300000001,202451.73,n.d.,21705.89,21705.89,28865.91,256690.9,21705.89,-7160.02,n.d.,1932.86,988565.97,988565.97,218401.76
