Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,1080364.59,575005.87,2071777.59,60110.0,253749.879,4143067.8299999996,392340.67,1333266.48,153225.38999999998,182985.25,336210.64,662470.0,1420730.6090000002,2118914.299,2301577.41,n.d.,51125.58,51125.58,7145046.81,31367.56,7145071.618999999,n.d.,32.379999999999995,3146900.99,n.d.,1182889.71,4047167.83,59.0,-364215.74,1964011.28,76041.11,2058804.3,2819018.54,6724.56,1045328.59,1087089.15,2012675.13,n.d.,131892.049,100524.489,182985.25,3002003.7890000003,100524.489,-51093.2,n.d.,54212.12,5218678.58,5218678.58,2637820.429
2022,1366712.75,813319.5,2244423.79,60110.0,216549.2,3772905.71,649852.9,1239476.42,145825.13,148884.24000000002,294709.37,978288.65,1404445.569,2018389.81,2328484.2800000003,n.d.,54791.12,54791.12,6692243.35,23369.05,6744926.35,n.d.,0.0,2976112.99,n.d.,1103527.31,3990305.71,68.0,-348826.99000000005,1872585.68,26658.72,1958279.81,2823136.3989999997,4015.1,368246.72,1370727.85,1831419.12,n.d.,94093.12,70724.069,148884.24000000002,2972020.639,70724.069,-54791.12,n.d.,4829.73,5220536.78,5220536.78,2623193.65
2021,1234637.24,737687.2,2062709.01,60110.0,162335.04,3380786.7,502365.82,1289369.25,132651.69,86007.08,218658.77,735888.65,1287570.7,1947665.74,2294707.91,n.d.,46668.18,46668.18,6223817.319999999,9656.31,6223817.319999999,n.d.,0.76,2797182.21,n.d.,988596.53,3445786.7,68.0,-329663.94,1808585.68,37451.11,1887555.74,2757023.54,2456.2799999999997,435078.94,1237093.52,1675131.96,n.d.,39339.66,29683.35,86007.08,2843030.62,29683.35,-46667.42,n.d.,12192.71,4859891.22,4859891.22,2513367.44
2020,1274346.75,443984.45,2367492.44,60110.0,145558.81999999998,2430244.13,750984.4400000001,1669405.72,120318.29,84760.07,205078.36,662488.65,1887909.92,1917982.39,1863217.99,n.d.,49578.39,49578.39,4809641.37,9941.19,4810941.37,n.d.,0.04,2386560.63,n.d.,953398.42,2437744.13,64.0,-312400.89,1433162.21,35598.07,1857872.39,2295937.17,1327.07,365427.97,1275673.82,1560396.86,n.d.,35181.719999999994,25240.53,84760.07,2380697.24,25240.53,-49578.350000000006,n.d.,10339.67,4754053.07,4754053.07,2068296.39
2019,603542.7,638280.65,2072579.33,60110.0,156764.41999999998,2523308.08,802304.3,1254213.47,125666.35,88590.89,214257.24,657426.2,1273359.02,1892741.86,1824334.6,n.d.,47407.52,47407.52,4906920.89,10085.3,4908320.89,n.d.,0.0,2181247.67,n.d.,803085.4600000001,2644308.08,55.0,-346420.97000000003,1378162.21,160939.66,1832631.86,2296421.92,793.08,316164.41000000003,604335.7799999999,1756749.36,n.d.,41183.37,31098.07,88590.89,2385012.809,31098.07,-47407.52,n.d.,142303.87999999998,4253827.0,4253827.0,2038591.84
2018,408662.89,474545.75,2088684.14,60110.0,140270.25,2780323.21,1280309.28,1462849.0,99946.07,99044.21,198990.28,530468.65,1518771.9,1861644.88,1566575.04,n.d.,46523.51,46523.51,4832943.78,12196.52,4837143.78,n.d.,0.0,2210052.71,n.d.,834860.42,2821323.21,50.0,-291255.25,1375192.29,95366.49,1801534.88,1957776.3590000002,827.69,272746.36,409490.58,2027601.39,n.d.,52520.7,40324.179,99044.21,2056820.57,40324.179,-46523.51,n.d.,76730.70999999999,4298736.85,4298736.85,1765565.32
2017,191182.62,384731.01,1412216.29,60110.0,119257.75,1586292.3800000001,524650.05,850674.93,75611.45999999999,97016.03,172627.49,462238.65,928182.57,1821320.7,1382760.5,n.d.,34503.98,34503.98,3476586.87,18865.76,3480786.87,n.d.,0.0,1765407.01,n.d.,420254.76,1573292.38,41.0,-339106.5,1345152.25,99302.709,1761210.7,1797478.46,385.01,255353.91,191567.63,1164734.97,n.d.,62512.05,43646.28999999999,97016.03,1894494.49,43646.28999999999,-34503.98,n.d.,80666.93,3177623.3,3177623.3,1555387.99
2016,121893.35,302808.51,1496066.38,60110.0,68559.25,1008050.15,721852.75,883771.22,42988.78,69792.31,112781.09,468468.65,1049431.36,1777674.41,1188706.54,n.d.,34476.68,34476.68,2605098.54,9745.16,2610898.54,n.d.,0.0,1634370.02,n.d.,321264.04,981050.15,34.0,-301360.76,1313105.98,143826.51,1717564.41,1533056.08,156.35000000000002,206051.03,122049.7,1230712.29,n.d.,35315.63,25570.469,69792.31,1602848.3900000001,25570.469,-34476.68,n.d.,123936.25,3130436.4,3130436.4,1301487.63
2015,317017.42000000004,306381.8,1429022.48,60110.0,90985.12,1378541.81,433333.33,722079.52,33853.259999999995,103534.42,137387.68,443818.65,859516.3690000001,1752103.94,1233299.65,n.d.,31915.88,31915.88,3033786.71,17863.05,3037986.71,n.d.,3376.3700000000003,1627761.31,n.d.,278395.33,1296091.81,35.0,-288757.569,1349365.98,263124.31,1691993.94,1555910.48,1721.1899999999998,246226.11,318738.61,985941.24,n.d.,74994.90999999999,57131.86,103534.42,1659444.9,57131.86,-28539.51,n.d.,65617.35,3056783.79,3056783.79,1374063.6990000005
2014,77384.95999999999,450065.64999999997,1872181.31,60110.0,55450.819,1392068.51,94703.93,822979.4,18023.87,72664.90999999999,90688.78,528338.65,901252.4,1694972.08,1112803.36,n.d.,27936.21,27936.21,2870495.9,12755.89,2875745.9,n.d.,5454.14,664883.57,n.d.,228557.55,1381218.51,32.0,-280185.25,436326.019,520863.26,1634862.08,1411012.48,4067.2,215871.06,81452.16,760640.64,n.d.,50182.84,37426.95,72664.90999999999,1483677.3900000001,37426.95,-22482.07,n.d.,53356.3,2537064.88,2537064.88,1208946.28
