Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,222863.27000000002,259925.18,1194121.86,222370.0,59007.3,1665719.32,16722.74,50059.05,38510.41,41972.1,80482.51,877172.12,667305.99,1065311.36,626669.66,n.d.,11183.54,11183.54,2728817.46,10291.67,2733091.91,n.d.,0.0,1325915.91,7755.34,1317920.57,1665719.32,18.0,-360220.42000000004,240,266890.69,842941.3600000001,1025400.49,0,955215.22,222863.27000000002,1231863.14,n.d.,30788.56,20496.89,41972.1,1067372.59,20496.89,-11183.54,n.d.,250814.63,2520037.77,2520037.77,707152.1699999999
2022,222863.27000000002,323563.7,1371106.88,303505.0,55831.48,1306997.62,91720.93,77285.05,37660.16,35577.57,73237.73,879341.76,633063.11,1414798.21,555910.3600000001,n.d.,10535.5,10535.5,2167137.36,6870.75,2170587.659,n.d.,0.0,1364426.32,13342.240000000002,1350844.08,1306997.62,18.0,-234441.949,240,414480.07,1111293.21,828012.47,0,682587.09,222863.27000000002,1097871.72,n.d.,25042.07,18171.32,35577.57,863590.039,18171.32,-10535.5,n.d.,398404.01,2735533.2,2735533.2,629148.09
2021,403825.24,260136,1402714.24,303505.0,147406.26,1287539.1800000002,78145.54,91596.75,39305.42,138966.54,178271.96,731067.93,562528.6799999999,1424626.89,488490.2,n.d.,12048.7,12048.7,2056842.59,18817.0,2073282.59,n.d.,0.0,1341558.11,7707.74,1333610.37,1287539.1800000002,16.0,-118981.25,240,580049.56,1121121.89,646776.87,0,577538.6789999999,403825.24,915820.22,n.d.,126917.84,108100.84,138966.54,785743.41,108100.84,-12048.7,n.d.,548973.5,2744272.35,2744272.35,666762.16
2020,432969.53,295463.71,1579930.11,303505.0,100642.99,2059537.03,124949.93999999999,35722.03,41626.89,130605.73,172232.62,726702.19,466960.509,1348526.05,444501.38,n.d.,11238.79,11238.79,3017148.48,60350.84,3052872.18,n.d.,0.0,1372693.53,n.d.,1372693.53,2059537.03,19.0,-376601.14999999997,n.d.,817505.89,1045021.049,862729.42,123546.16,627168.25,556515.69,1047581.9,123546.16,119366.94,59016.1,130605.73,993335.15,59016.1,-11238.79,n.d.,786429.8300000001,2952623.64,2952623.64,616734.0
2019,314749.28,223890.61000000002,2145532.88,303505.0,99121.26,1378159.9,n.d.,16840.43,33771.57,102018.97,135790.54,734491.62,527441.4400000001,1468359.27,480257.29,n.d.,18109.05,18109.05,2210428.15,19004.57,2215303.15,n.d.,444.34,1419537.58,n.d.,1419537.58,1378159.9,16.0,-221095.41999999998,n.d.,1394200.83,1164854.27,735124.2789999999,0,1558071.3,314749.28,1781961.91,n.d.,84354.26,65349.689,102018.97,837143.25,65349.689,-17664.71,n.d.,1342124.77,3565070.46,3565070.46,616492.169
2018,394660.02,292172.75,1458805.95,303505.0,109081.249,1576334.55,n.d.,37486.67,32864.809,110704.94,143569.749,707335.75,452649.67,1403009.58,426759.64,n.d.,12897.88,12897.88,2399401.65,21687.82,2399401.65,n.d.,97.2,1079940.28,n.d.,1079940.28,1576334.55,16.0,-252737.71000000002,n.d.,713983.53,1099504.58,712362.159,0,448903.88,394660.02,741076.63,n.d.,97904.26,76216.43999999999,110704.94,823067.0989999999,76216.43999999999,-12800.679,n.d.,653907.47,2538746.23,2538746.23,570426.5889999999
2017,474962.4,219276.24000000002,1406042.36,303505.0,142017.4,1771969.4,480.42999999999995,52358.28,30435.29,153579.6,184014.89,601130.4,434212.44,1326793.14,382467.64,n.d.,8034.49,8034.49,2532135.18,34028.33,2532135.18,n.d.,65.33,950225.01,n.d.,950225.01,1771969.4,15.0,-193683.25,n.d.,752553.6789999999,1023288.14,606586.1799999999,0,334755.16,474962.4,554511.8300000001,n.d.,145610.44,111582.11,153579.6,760165.7799999999,111582.11,-7969.160000000001,n.d.,681477.62,2356267.37,2356267.37,566547.8600000001
2016,130833.81,240925.11000000002,1259491.1700000002,303505.0,117470.1,1525801.26,480.42999999999995,53032.45,24575.72,125176.62,149752.34,697479.63,509586.97,1215211.03,303908.57,n.d.,5107.77,5107.77,2199663.79,27876.9,2199663.79,n.d.,702.43,893102.3,n.d.,893102.3,1525801.26,12.0,-220201.62,n.d.,508979.09,911706.03,548685.909,0,565143.09,130833.81,806548.63,n.d.,120771.28,92894.38,125176.62,673862.53,92894.38,-4405.34,n.d.,507903.03,2152593.47,2152593.47,454363.339
2015,162897.44,254659.56,1221619.91,303505.0,116544.19,1939095.48,480.42999999999995,79374.82,23887.07,134287.97,158175.04,640889.1,465604.359,1122316.65,246224.6,n.d.,11205.98,11205.98,2521112.1,31073.460000000003,2521112.1,n.d.,648.59,907605.33,n.d.,907605.33,1939095.48,10.0,-177616.97999999998,n.d.,501355.9900000001,818811.65,447728.64999999997,0,588871.16,162897.44,844011.15,n.d.,123730.58,92657.12,134287.97,582016.62,92657.12,-10557.39,n.d.,500279.93000000005,2129225.24,2129225.24,405048.23
2014,192597.69,295975.86,1155451.38,303505.0,51510.810000000005,1496283.95,480.42999999999995,93249.71,37211.32,32090.88,69302.2,863448.7799999999,660722.63,1029659.53,249622.9,n.d.,12486.88,12486.88,1958747.27,5895.27,1958747.27,n.d.,590.76,925507.49,n.d.,925507.49,1496283.95,10.0,-143538.22,n.d.,198752.889,726154.53,430372.44,0,562245.3600000001,192597.69,858701.65,n.d.,20194.76,14299.489,32090.88,462463.32,14299.489,-11896.119,n.d.,197507.58,2080958.87,2080958.87,319515.86
