Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,325711.06,281236.16,1014346.48,60101.21,22255.54,734813.87,47630.340000000004,98221.41,18971.94,11287.23,30259.17,754499.22,571484.47,727215.97,369878.56,n.d.,6892.18,6892.18,1285377.22,1144.53,1285425.42,n.d.,33.08,694943.52,4662.56,298164.86,756611.47,11.0,-150473.81999999998,392116.1,161625.84999999998,667114.759,539324.3200000001,0,327496.47000000003,325711.06,656362.97,n.d.,4428.13,3283.6,11287.23,550611.55,3283.6,-6859.1,n.d.,161625.84999999998,1709290.0,1709290.0,400170.81
2022,152168.06,183351.59,1064876.27,60101.21,16492.29,610231.08,1577.51,74772.72,12653.93,12915.87,25569.8,912794.72,804215.8500000001,723932.37,386163.88,n.d.,7798.06,7798.06,1143793.36,1279.45,1144388.76,n.d.,0.0,353442.03,4234.99,114513.03,595246.64,11.0,-122424,234694.009,77308.83,663831.159,521241.81,0,357288.77,152168.06,542217.87,n.d.,5117.81,3838.36,12915.87,534157.6799999999,3838.36,-7798.06,n.d.,77297.62000000001,1418318.3,1418318.3,411733.68
2021,152168.06,159585.09,1054113.5,60101.21,8966.289,629361.22,68645.78,87378.48,12329.63,8712.98,21042.61,897067.98,824861.37,722692.59,369136.47,n.d.,12497.9,12497.9,1120282.08,-416.8,1120282.08,n.d.,4.78,366375.41,4619.610000000001,125782.34,588931.22,14.0,-100741.78,235973.46,69667.04,662591.38,482207.88,0,317397.39,152168.06,545628.26,n.d.,-3780.14,-3363.3390000000004,8712.98,490920.86,-3363.3390000000004,-12493.119,n.d.,69659.81,1420488.91,1420488.91,390183.86
2020,411546.18,181983.24000000002,1138882.35,60101.21,5119.98,617227.07,65992.42,76964.37000000001,12471.68,4674.23,17145.91,981848.95,876830.0789999999,724228.8200000001,279977.88,n.d.,14250.64,14250.64,1047467.56,-2217.23,1047467.56,n.d.,7.48,329023.75,2000,91467.09,666208.13,13.0,-133116.7,235556.66,80069.03,664127.61,425566.26,4500,79655.43999999999,416046.18,327631.1,4500,-9568.93,-7351.7,4674.23,430240.49000000005,-7351.7,-14243.16,n.d.,80069.03,1467906.1,1467906.1,297131.27
2019,425422.63999999996,96299.92,1113348.88,60101.21,47227.67,421529.88,73865.36,52365.93,27357.29,41574.25,68931.54,1033302.08,989368.09,732836.3500000001,450985.79,n.d.,15256.25,15256.25,1023830.8,6447.620000000001,1023830.8,n.d.,0.0,325239.93000000005,133.12,91767.38,390773.75,17.0,-82383.59,233339.43,27680.87,672735.14,560726.669,0,110164.54,425422.63999999996,280329.82,n.d.,26318.0,19870.38,41574.25,602300.92,19870.38,-15256.25,n.d.,27034.24,1438588.81,1438588.81,519917.329
2018,502890.67,47939.340000000004,1169812.66,60101.21,42816.380000000005,289803.35,147524.55,32123.26,29749.19,34977.55,64726.74,1119193.82,1103377.74,713628.01,526042.37,n.d.,17580.37,17580.37,990000.45,4329.99,1017445.86,n.d.,0.0,337408.38,311.58,95757.37,328293.35,19.0,-136873.4,241339.43,18495.58,653526.7989999999,692664.9600000001,0,95238.47,502890.67,290702.36,n.d.,17397.18,13067.19,34977.55,727642.509,13067.19,-17580.37,n.d.,17758.88,1507221.04,1507221.04,590769.11
2017,576661.09,41642.46,1209720.1,60101.21,60626.41,403769.1,120103.05,53260.27,35703.719999999994,51992.49,87696.209,1146512.62,1158130.43,721458.58,635506.9,n.d.,19286.460000000003,19286.460000000003,1151124.4,7783.34,1184107.75,n.d.,0.0,346068.11,490.04,104238.64,486749.1,23.0,-57135.54,241339.43,9947.21,661357.37,728346.16,0,95923.03,576661.09,257668.54,n.d.,32706.03,24922.69,51992.49,780338.65,24922.69,-19286.460000000003,n.d.,9437.81,1555788.21,1555788.21,723203.11
2016,650758.53,64746.37,1280057.75,60101.21,58406.289,476604.6,80493.97,68363.17000000001,29088.35,60542.63,89630.98,1208691.71,1212308.509,706308.89,594616.53,n.d.,22125.21,22125.21,1313568.03,9099.98,1346434.76,n.d.,0.5,371164.85,370.40999999999997,117455.01,495288.34,22.0,-185582.65,253339.43,3002.8700000000003,646207.6789999999,809287.53,0,148914.84,650758.53,294155.18,n.d.,38417.92,29317.94,60542.63,869830.159,29317.94,-22124.71,n.d.,2298.57,1651222.6,1651222.6,684248.01
2015,606622.3300000001,94618.38,1255120.41,60101.21,59322.94,611222.26,155411.53,54095.52,35719.74,57239.75,92959.489,1187501.98,1146979.12,676990.9500000001,631974.23,n.d.,24907.37,24907.37,1512797.98,8733.91,1543997.98,n.d.,4.729,374586.47,828.21,130177.45,701522.26,23.0,-207842,243580.81,13522.91,616889.74,875535.97,0,96063.69,606622.3300000001,346093.6,n.d.,32337.11,23603.2,57239.75,932775.72,23603.2,-24902.64,n.d.,7568.79,1629706.88,1629706.88,724938.4500000001
2014,671424.4,95256.22,1362285.79,60101.21,70756.08,565408.3200000001,68296.89,53115.78999999999,36525.33,74083.11,110608.44,1268764.99,1226624.56,653387.75,642699.41,n.d.,27715.26,27715.26,1470916.0,12141.91,1503538.0,n.d.,4.81,217457.36,1389.77,156367.25,586843.3200000001,23.0,-184821.83,59700.34,40405.01,593286.54,864046.57,0,91377.89,671424.4,254931.0,n.d.,46372.66,34230.75,74083.11,938129.6799999999,34230.75,-27710.449,n.d.,35882.39,1579743.15,1579743.15,753312.66
2013,776700.3,77744.48999999999,734160.9400000001,60101.21,52978.98,610373.09,81890.47,109122.54,26761.86,62187.32,88949.18000000001,607272.3500000001,638650.4,623506.3300000001,593837.3600000001,n.d.,27231.99,27231.99,1462695.26,8739.06,1493797.63,n.d.,0.8500000000000001,918991.13,381.85,858908.9400000001,593623.09,21.0,-200638,59700.34,17766.05,563405.12,821237.2189999999,0,93310.48,776700.3,252945.44,n.d.,34956.18,26217.12,62187.32,883424.54,26217.12,-27231.14,n.d.,13243.43,1653152.07,1653152.07,682787.39
2012,763583.72,101134.18000000001,744764.23,60101.21,48595.05,697095.62,64451.13,81045.79,32772.82,57975.99,90748.81,629451.92,609363.53,597289.21,547115.0,n.d.,37332.97,37332.97,1544553.1700000002,4826.79,1573867.569,n.d.,6.0,873116.06,n.d.,815842.72,610462.62,21.0,-238908.139,57273.34,34266.52,537188.0,818795.9600000001,134.17,91287.88,763717.89,256873.19,n.d.,20649.02,15822.23,57975.99,876771.949,15822.23,-37326.97,n.d.,34266.52,1617880.29,1617880.29,637869.809
2011,795615.55,133186.049,732426.01,60101.21,80953.38900000001,605765.39,62738.28999999999,55151.09,37563.02,97279.05,134842.07,654601.63,576566.671,581466.98,569606.43,n.d.,34761.4,34761.4,1478051.99,19149.76,1530098.08,n.d.,22.48,957607.26,n.d.,900333.92,585265.39,19.0,-219884.19,57273.34,22673.29,521365.769,827053.64,1274.75,115751.65,796890.3,311675.99000000005,n.d.,62540.13,43390.369,97279.05,924332.69,43390.369,-34738.92,n.d.,22673.29,1690033.27,1690033.27,704470.98
