Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,559024.5,55078.13,17054927.629,78131.57,303195.61,11693426.44,7779768.13,1428089.35,252240.51,240540.15,492780.66,15510995.36,16884006.58,6259224.48,1107345.44,n.d.,173199.8,173199.8,14818614.25,17211.7,15068966.79,n.d.,826.4499999999999,2207781.83,n.d.,2196329.18,11693426.44,15.0,-1775414.25,11452.65,115842.92,6181092.909,3135000.199,17253.760000000002,4592360.46,576278.26,12427206.72,n.d.,68166.8,50955.1,240540.15,3375540.349,50955.1,-172373.349,n.d.,55281.53,19262709.46,19262709.46,1600952.55
2022,105506.08,135086.47,12885974.99,78131.57,955661.66,18681562.88,5983141.87,1398297.6800000002,226646.16,991631.4,1218277.56,11378358.87,12641570.079,6208269.38,1047410.38,n.d.,19591.23,19591.23,21895942.26,243030.84,22119922.130000003,n.d.,6.17,2432735.31,n.d.,2427730.03,18681562.88,14.0,-1172671.31,5005.28,109318.43999999999,6130137.81,2446727.8499999996,18146.19,2868560.31,123652.27,8986788.65,n.d.,972046.34,729015.5,991631.4,3438359.25,729015.5,-19585.06,n.d.,48757.05,15318710.3,15318710.3,2265694.11
2021,131199.97,750149.54,13759063.42,78131.57,517069.51,16480074.3,4873629.13,2308908.62,161217.25,490853.62,652070.87,10498007.54,12056766.62,5479253.89,883711.53,n.d.,26097.82,21489.05,18828856.67,118805.13,19049643.43,n.d.,9901.59,2232224.0,n.d.,2225866.09,16480074.3,15.0,-1033786.73,6357.91,952147.26,5401122.318999999,2078715.51,19038.62,4738016.2700000005,150238.59,10361794.94,n.d.,474657.39,355852.26,490853.62,2569569.13,355852.26,-16196.23,n.d.,831085.87,15991287.42,15991287.42,1541075.22
2020,504551.6,478324.16,12636080.78,78131.57,254779.03,10022862.44,3794645.469,1958158.17,163075.81,160675.76,323751.57,9874693.73,11354527.739999998,5123401.63,725838.16,n.d.,41062.21,41062.21,11755021.57,27913.15,11980983.71,n.d.,2.82,2353243.27,n.d.,2345532.73,10022862.44,14.0,-908531.54,7710.54,803228.88,5045270.06,1797445.51,19931.05,5068470.14,524482.65,9341439.77,n.d.,119616.37,91703.22,160675.76,1958121.27,91703.22,-41059.39,n.d.,496381.27,14989324.05,14989324.05,1049592.55
2019,589589.1,92212.29,10277210.68,78131.57,353983.04,12583567.42,3787707.52,1459731.99,157266.24000000002,300636.85,457903.089,8520600.038999999,9888119.738999998,5062275.63,675231.7699999999,n.d.,38347.78,38347.78,14395560.8,65572.27,14576208.86,n.d.,0.0,2406383.66,n.d.,2397320.49,12583567.42,13.0,-859506.58,9063.17,296878.64999999997,4984144.06,1692004.5890000002,21160.329999999998,3130649.47,610749.43,7010569.28,n.d.,262289.07,196716.8,300636.85,1992641.44,196716.8,-38347.78,n.d.,296878.64999999997,12683594.34,12683594.34,1133134.86
2018,741181.31,41056.05,8653077.67,78131.57,506706.8,9012867.38,2485535.24,1730681.02,118595.38,552110.1699999999,670705.55,6367606.7,8057231.67,4865558.83,1143021.86,n.d.,34135.67,34135.67,11486935.03,129863.08,11522023.799,n.d.,0.0,2480066.39,n.d.,2471950.59,9012867.38,29.0,-695429.01,8115.8,554789.9500000001,4787427.26,1957046.25,22559.41,2977253.22,763740.72,5503844.51,n.d.,517974.5,388111.42,552110.1699999999,2509156.4189999998,388111.42,-34135.67,n.d.,554789.9500000001,11133144.06,11133144.06,1813727.41
2017,888121.71,1807495.57,6813397.430000001,78131.57,538487.42,7995568.109999999,204032.5,1150043.59,92392.0,617640.42,710032.42,5318925.17,4661473.188999999,4477447.41,1072478.34,n.d.,23907.73,23907.73,10189933.38,148698.47999999998,10221346.01,n.d.,1061.21,2026163.23,n.d.,2016694.8,7995568.109999999,28.0,-443267.13999999996,9468.43,344428.67,4399315.84,1608137.48,23958.5,1438504.97,912080.21,3450033.04,n.d.,594793.9,446095.42,617640.42,2225777.9,446095.42,-22846.52,n.d.,344428.67,8839560.66,8839560.66,1783571.97
2016,517821.85,724243.05,4982640.78,78131.57,304041.95,5419837.31,107887.1,703066.06,99461.76,290134.26,389596.02,3880686.06,3859509.07,4031351.99,992467.8,n.d.,17376.45,12383.23,7232736.189999999,68251.4,7260026.42,n.d.,73.78,1390676.2,n.d.,1379855.14,5419837.31,28.0,-458125.28900000005,10821.06,398888.66,3953220.42,1550054.8490000002,26139.47,965873.52,543961.3200000001,1798003.6700000002,n.d.,272831.59,204580.19,290134.26,1840189.11,204580.19,-17302.67,n.d.,398888.66,6373316.98,6373316.98,1377144.38
2015,n.d.,1180585.05,4372469.22,78131.57,163453.349,4384617.319999999,241427.83,316254.59,108956.28,83852.02,192808.3,3683814.63,2819484.17,3826771.8,753496.09,n.d.,13730.82,13730.82,5726710.68,15764.16,5749631.06,n.d.,140.03,1407505.25,n.d.,1395331.56,4384617.319999999,22.0,-418709.35,12173.69,372400,3748640.23,1281161.72,34403.9,496785.89,34403.9,1918798.77,n.d.,70261.23,54497.069,83852.02,1365013.739,54497.069,-13590.789,n.d.,372400,5779974.470000001,5779974.470000001,946444.419
2014,85588.25,872602.89,4420344.29,78131.57,145062.58,3259615.46,42259.619,1186722.98,105208.58,66282.8,171491.37999999998,2961966.58,3276086.67,3772274.73,766448.56,n.d.,14380.77,14380.77,4512690.46,12145.83,4531893.14,n.d.,97.8,1462588.7,n.d.,1449062.38,3259615.46,17.0,-334337.74,13526.32,271654.73000000004,3694143.16,1205994.8800000001,50667.74,1059539.76,136255.99,1974402.27,n.d.,51999.83,39854.0,66282.8,1272277.6790000002,39854.0,-14282.97,n.d.,271654.73000000004,5882932.99,5882932.99,938037.74
