Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,39599.98,352721.78,33055.0,11360.73,142909.19,n.d.,101896.26,6289.29,6586.28,12875.57,151897.08,214193.359,360078.08,180910.69,n.d.,0,n.d.,430644.53,1514.84,430710.54,n.d.,0.0,62316.75,n.d.,61116.75,148834.6,4,-94015.09,1200,98928.44,327023.08,281215.07,767.26,14593.21,767.26,54193.19,n.d.,6586.28,5071.44,6586.28,287801.35,5071.44,0.0,n.d.,93928.44,415038.53,415038.53,193786.26
2022,n.d.,30350.29,333346.3,33055.0,16413.88,122750.09,n.d.,65552.3,6879.94,12711.92,19591.86,145905.2,181107.21,355006.64,188146.38999999998,n.d.,0,n.d.,458359.91000000003,3177.98,458359.91,n.d.,0.0,67406.04,n.d.,67406.04,155197.24000000002,6,-127871.57,n.d.,121888.8,321951.64,322897.9,767.26,14628.15,767.26,44978.44,n.d.,12711.92,9533.94,12711.92,335609.82,9533.94,0.0,n.d.,116888.8,400752.34,400752.34,207738.25
2021,n.d.,74682.12000000001,363999.95,33055.0,31349.36,192122.88999999998,n.d.,85234.4,8331.59,30690.36,39021.95,112640.82,123193.1,345472.7,176003.37999999998,n.d.,0,n.d.,505353.12,7672.59,505353.12,n.d.,0.0,74285.98,n.d.,74285.98,217312.17,6,-98204.9,n.d.,166124.73,312417.7,282539.87,767.26,17363.85,767.26,92045.97,n.d.,30690.36,23017.77,30690.36,313230.23000000004,23017.77,0.0,n.d.,166124.73,438285.93000000005,438285.93000000005,215025.33
2020,n.d.,55643.92,320687.85,33055.0,29126.19,131265.599,n.d.,66547.64,8130.3,28328.41,36458.71,87451.54,98355.26,322454.93000000005,138074.3,n.d.,0,n.d.,369911.78,7332.52,370445.89,n.d.,0.0,76667.57,n.d.,76667.57,136419.86,6,-64647.28,n.d.,166688.67,289399.93000000005,210851.879,0,19256.57,n.d.,74900.48999999999,n.d.,28328.41,20995.89,28328.41,239180.29,20995.89,0.0,n.d.,166688.67,397355.42,397355.42,174533.009
2019,n.d.,39060.5,274163.06,33055.0,17012.23,111358.36,n.d.,84520.6,7458.929999999999,12737.73,20196.66,82297.28,127757.38,301459.04,159357.29,n.d.,0,n.d.,365312.21,3184.4300000000003,365312.21,n.d.,0.0,88861.2,n.d.,84797.87000000001,111358.36,6,-74399.9,4063.3300000000004,107345.18,268404.03900000005,241216.12,92.84,22411.88,92.84,61472.380000000005,n.d.,12737.73,9553.3,12737.73,253953.84999999998,9553.3,0.0,n.d.,107345.18,363024.26,363024.26,179553.94999999998
2018,n.d.,32316.2,255751.83,33055.0,20851.44,149054.34,n.d.,63648.76,7411.63,17919.75,25331.38,97591.93999999999,128924.5,291905.74,151645.75,n.d.,0,n.d.,399700.19,4479.94,399700.19,n.d.,0.0,86396.32,n.d.,79046.47,157156.61000000002,5,-73668.72,7349.85,94511.13,258850.739,232726.1,194.93,17731.280000000002,194.93,50047.48,n.d.,17919.75,13439.81,17919.75,250645.84999999998,13439.81,0.0,n.d.,94511.13,342148.15,342148.15,176977.13
2017,n.d.,48029.09,278368.99000000005,33055.0,24463.82,119641.2,n.d.,76905.40999999999,6797.41,23554.72,30352.13,89489.67000000001,118365.99,278465.93000000005,140584.49,n.d.,0,n.d.,384725.31,5888.8,385027.59,n.d.,0.49,64743.51,1431.24,51290.01,137261.46,4,-94449.769,12022.26,111973.91,245410.929,241831.669,386.40999999999997,16231.07,386.40999999999997,64260.16,n.d.,23555.21,17666.41,23554.72,265386.39,17666.41,0.49,n.d.,111973.91,343112.5,343112.5,170937.11000000002
2016,n.d.,8043.06,235381.69,33055.0,21173.16,74456.08,n.d.,50940.25,4640.360000000001,22043.73,26684.09,71869.40999999999,114766.6,260799.52,143546,n.d.,0,n.d.,309625.68,5510.929999999999,309625.68,n.d.,0.0,51282.59,6296.28,26845.25,76740.17000000001,4,-64939.51,18141.06,112572.03,227744.52,213125.87,616.41,17205.29,616.41,25248.35,n.d.,22043.73,16532.8,22043.73,235169.6,16532.8,0.0,n.d.,112572.03,286664.28,286664.28,170230.09
2015,n.d.,12460.02,210390.39,33055.0,-289.7,68217.51,n.d.,58657.77,9287.93,-12770.18,-3482.25,69585.32,115783.069,244266.72,133628.5,n.d.,0,n.d.,273861.86,-3192.55,273861.86,n.d.,0.0,61727.56,8749.55,29032.34,68217.51,5,-75498.1,23945.67,82147.3,211211.72,218414.52899999998,910.09,14481.12,910.09,26941.14,n.d.,-12770.18,-9577.63,-12770.18,205644.349,-9577.63,0.0,n.d.,82147.3,272117.95,272117.95,130146.25
2014,n.d.,12922.710000000001,212534.06,33055.0,-22612.28,69513.42,n.d.,56524.87,13021.29,-47511.43,-34490.14,71526.8,115128.96,254294.08,121855.77,n.d.,0,n.d.,226984.19,-11877.86,226984.19,n.d.,0.0,69278.51,11202.82,35867.0,74193.77,4,-70105.14,22208.69,84482.39,221239.08,204982.2,2365.66,12230.12,2365.66,25152.83,n.d.,-47511.43,-35633.57,-47511.43,157470.77000000002,-35633.57,0.0,n.d.,84482.39,281812.57,281812.57,87365.63
