Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,137174.21000000002,964120.51,4062925.37,456769.19,477885.9900000001,4560893.98,301371.91000000003,1737061.88,55475.59,540147.4600000001,595623.049,440203.61,1213144.979,3200042.25,758413.03,n.d.,9642.08,9040.76,6411626.18,127138.82,6423491.6,n.d.,19043.84,908980.87,1214.92,530244.91,4560893.98,14,-508561.54,377521.04,1885659.88,2743273.06,1322450.1600000001,0,369197.36,137174.21000000002,1634689.78,n.d.,549549.22,422410.399,540147.4600000001,1862597.6190000002,422410.399,9401.76,n.d.,1885659.88,4971906.24,4971906.24,1372478.6
2022,438489.99000000005,855444.75,3952279.71,456769.19,468779.87,5164076.91,301299.28,1532183.59,57840.52,553744.48,611585.0,627866.75,1304605.5890000002,2777631.85,763951.92,n.d.,11789.88,11789.88,7069417.55,131269.41999999998,7090762.74,n.d.,254.17,938426.23,1674.92,581098.8500000001,5164076.91,15,-551148.91,355652.46,1792229.37,2320862.66,1372941.35,0,517840.07,438489.99000000005,1674584.1,n.d.,542208.7699999999,410939.35,553744.48,1926685.83,410939.35,-11535.71,n.d.,1792229.37,4890705.94,4890705.94,1375791.0890000002
2021,672132.49,1148689.05,4430355.92,456769.19,229436.34,4499450.63,288287.63999999996,1642175.98,53619.34,243712.85,297332.19,837653.72,1331140.65,2366692.5,717134.93,n.d.,15807.449,15247.96,5993607.55,53154.01,5994903.818999999,n.d.,1065.61,548490.3500000001,2178.3100000000004,543808.9500000001,4499450.63,15,-480986.07,2503.09,1950526.22,1909923.31,1251740.34,0,503044.59,672132.49,1940021.28,n.d.,228971.01,175817.0,243712.85,1495453.1890000002,175817.0,-14741.839,n.d.,1950526.22,4978846.2700000005,4978846.2700000005,1014973.24
2020,1122558.75,777294.6699999999,3998872.47,456769.19,217377.68,3229204.03,50628.44,1297335.7,47720.99,231444.48,279165.47000000003,638747.2899999999,1158788.319,2190875.5,642098.59,n.d.,10628.769,10392.97,4529712.659999999,52457.66,4531504.7,n.d.,1298.64,535457.319,4555.1900000000005,528399.04,3229204.03,12,-381036.61,2503.09,2062789.48,1734106.31,1070856.1900000002,0,392972.43000000005,1122558.75,1220895.54,n.d.,222114.35,169656.69,231444.48,1302300.6700000002,169656.69,-9330.13,n.d.,2061789.48,4534329.79,4534329.79,922326.899
2019,173189.3,691890.99,2718667.77,456769.19,169787.26,3661192.3899999997,58472.77,1355973.1700000002,43950.12,165523.33,209473.449,750044.88,1414127.059,2021218.81,641963.4400000001,n.d.,4776.53,3869.92,4931299.119999999,37372.84,4931384.98,n.d.,2463.18,557928.8600000001,7340.1900000000005,548085.58,3661192.39,13,-418755.7,2503.09,612649.72,1564449.6190000002,1104669.26,0,331824.76,173189.3,1082188.52,n.d.,163209.97999999998,125837.14,165523.33,1270192.59,125837.14,-2313.349,n.d.,611649.72,3276596.63,3276596.63,852993.4600000001
2018,203952.53,710547.75,2650390.43,456769.19,179774.96,3517374.79,49882.65,1281387.28,41587.86,187796.69,229384.55,738270.04,1309109.57,1895381.67,597302.02,n.d.,6991.679,4989.94,4742170.649999999,43478.810000000005,4743735.41,n.d.,860.9,547315.3300000001,10125.19,534803.23,3517374.79,12,-399674.05,2386.9100000000003,630733.11,1438612.48,1038563.93,0,337941.16,203952.53,1098371.56,n.d.,181665.91,138187.1,187796.69,1226360.62,138187.1,-6130.78,n.d.,629733.11,3197705.76,3197705.76,825545.73
2017,224600.99,676184.2699999999,2493492.86,456769.21,112233.6,3365526.17,49141.25,1197857.59,35629.65,103742.26,139371.91,757095.4,1278768.72,1757194.57,497498.61,n.d.,4870.150000000001,4617.35,4397665.57,25572.2,4398866.74,n.d.,3304.04,533388.2699999999,n.d.,513040.91,3365526.17,12,-396470.051,20347.36,538539.87,1300425.3590000002,929598.3110000001,0,319760.05,224600.99,1045085.57,n.d.,102176.15,76603.95,103742.26,1033340.57,76603.95,-1566.11,n.d.,537539.87,3026881.13,3026881.13,639921.76
2016,260461.28,606966.7899999999,2284015.2800000003,456769.21,53018.25,2926609.55,43769.82,1105217.49,30706.22,43653.69,74359.90999999999,874345.89,1372596.5890000002,1680590.62,512713.11,n.d.,11257.91,9759.42,3889373.35,10725.16,3892373.35,n.d.,641.41,564164.19,n.d.,518244.63,2926609.55,12,-378690.78,45919.56,304451.9,1223821.41,922110.11,0,256390.96,260461.28,907127.57,n.d.,33037.189999999995,22312.03,43653.69,965763.8,22312.03,-10616.5,n.d.,303451.9,2848179.47,2848179.47,586215.9400000001
2015,245368.78,593874.8400000001,2215931.7,456769.21,23615.54,2535915.3299999996,26121.21,899206.8600000001,22699.8,12823.45,35523.25,953996.57,1259328.5890000002,1658278.59,446997.47,n.d.,10447.699,10271.48,3367913.59,2582.74,3369413.59,n.d.,1122.73,522222.33,n.d.,465577.61,2535915.33,12,-350977.54,56644.72,362728.27,1201509.38,820674.81,0,214510.61,245368.78,834506.66,n.d.,3498.48,915.74,12823.45,833498.259,915.74,-9324.97,n.d.,311728.27,2738154.03,2738154.03,483467.2290000001
2014,271651.22000000003,556738.1799999999,2172395.97,456769.21,35664.93,2325684.3299999996,25618.578999999998,812537.1799999999,20106.31,25196.08,45302.39,902263.88,1158062.88,1657362.85,443451.54,n.d.,5709.589,4753.110000000001,3174454.23,7386.98,3174769.64,n.d.,3459.11,541575.06,n.d.,482869.04,2325684.33,12,-360331.38,58706.02,457594.91,1200593.64,823889.23,0,202600.2,271651.22000000003,784956.9600000001,n.d.,22945.6,15558.619,25196.08,849085.31,15558.619,-2250.4790000000003,n.d.,456594.91,2713971.03,2713971.03,491256.559
