Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,780420.71,3390100.84,13275613.34,2361689.6,260178.09,37286943.68,5349502.67,8403916.1,194662.61,444059.23,638721.8400000001,2206755.56,7220570.819999999,5290846.159999999,1483360.13,n.d.,379960.3,273370.53,42065670.29000001,21784.01,42142743.839,n.d.,23200.56,3002429.02,n.d.,1578384.15,37335403.09,32.0,-2733718.19,1424044.8690000002,2664941.68,2929156.56,4411740.930000001,25340.21,1441831.77,805760.92,10181435.28,n.d.,87299.48999999999,65515.48,444059.23,4855800.158999999,65515.48,-356759.74,n.d.,2618537.96,16278042.36,16278042.36,2038692.76
2022,1077460.6900000002,4503805.7700000005,16401928.33,2361689.6,331667.33900000004,40788925.849999994,6685802.94,11302353.6,189513.27,462785.61,652298.88,2646157.42,9444705.25,5241880.5,1402508.4,n.d.,277052.35,113722.38,46053240.42,46727.91,46115518.58,n.d.,3148.72,2594484.12,425.65000000000003,1351691.02,40939568.82,32.0,-3271785.4499999997,1242367.45,2453417.31,2880190.9,4863807.118999999,24540.79,1462921.759,1102001.48,12652530.47,n.d.,188881.98,142154.07,462785.61,5326592.728999999,142154.07,-273903.63,n.d.,2438182.1,18996412.45,18996412.45,1894626.029
2021,1127220.93,3519145.53,12482507.57,2361689.6,226581.46,28606571.91,3773010.909,8294974.46,174396.59,98784.52,273181.11,2225016.96,7000845.89,5116276.25,1365663.23,n.d.,59624.09,59624.09,32822960.22,16804.54,32898790.2,n.d.,29828.980000000003,2295970.43,1684.1399999999999,1499604.65,28811544.17,31.0,-2653373.949,794681.64,1962516.15,2754586.65,4193433.7690000003,23819.69,1219004.6900000002,1151040.62,8511161.129999999,n.d.,68989.40999999999,52184.87,98784.52,4292218.289,52184.87,-29795.109,n.d.,1952059.08,14778478.0,14778478.0,1668673.32
2020,600692.13,2861567.16,10274181.239999998,2361689.6,290347.67,24558078.41,2418458.49,6329583.52,175923.12,193094.8,369017.92,1837907.75,5305924.108999999,5073595.819999999,1332213.6,n.d.,43668.8,43668.8,28549588.28,37352.729999999996,28709223.6,n.d.,2351.28,1829059.82,3725.4700000000003,1273211.94,24488329.54,31.0,-2449913.67,552122.41,2106689.97,2711906.219,3958050.3899999997,25976.91,1122950.55,626669.04,6402976.2,n.d.,151777.28,114424.549,193094.8,4151145.19,114424.549,-41317.52,n.d.,2085065.82,12103241.06,12103241.06,1703582.8
2019,127607.02,2508905.1,8821825.32,2952112.0,458318.24,22153417.79,1749652.2,5707183.119999999,170222.63,442192.87,612415.5,1746067.96,4944345.98,4926908.319999999,1273628.2,n.d.,61759.19,42685.82,26402018.46,94717.73999999999,26428402.47,n.d.,2379.67,1624940.6,4002.3900000000003,1324344.39,22383602.5,29.0,-2388940.98,296593.82,1368574.24,1974796.319,3832791.8099999996,15222.6,1118470.6800000002,142829.62,5377027.98,n.d.,382813.35,288095.61,442192.87,4274984.68,288095.61,-59379.52,n.d.,1340532.71,10446765.92,10446765.92,1869349.999
2018,202475.44,2562372.83,8928991.99,2952112.0,397130.6,23342107.788,1973899.28,6453460.03,174892.63,517194.47,692087.1,1470717.15,5361804.35,4644521.19,1217579.7,n.d.,371302.519,43758.05,27554709.44,-74208.36,27579821.45,n.d.,2137.66,1624619.59,2013.94,1322820.72,23276157.06,27.0,-2328046.86,299784.93000000005,1004814.809,1692409.1900000002,3720519.19,17125.43,1153217.41,219600.87,5689489.52,n.d.,148029.61000000002,222237.969,517194.47,4237713.660999999,222237.969,-369164.86,n.d.,975170.57,10553611.58,10553611.58,1584259.99
2017,22550.6,2254774.89,8474108.527999999,2952112.0,595911.2989999999,19176754.66,1946213.5,5248091.39,172717.27000000002,456841.56,629558.8300000001,1630850.64,4624167.139,4370906.930000001,960907.05,n.d.,33304.04,33304.04,22945547.62,2404.9500000000003,22989940.02,n.d.,2061.46,1493824.65,n.d.,1409989.28,19216618.79,23.0,-2222719.48,83835.37000000001,1595166.5,1418794.93,3356343.8,0,1373487.26,22550.6,5574475.649999999,n.d.,425598.98,423194.029,456841.56,3813185.3589999997,423194.029,-31242.58,n.d.,1229028.7,9967933.18,9967933.18,1592527.34
2016,376078.1,2045889.23,7113911.59,2952112.0,246993.449,17451161.23,1497222.74,4853969.75,170274.43,225397.84,395672.27,1594923.55,4403004.07,3947712.9,886637.1699999999,n.d.,231035.889,44708.62,20707469.59,-77040.65000000001,20782481.37,n.d.,5316.42,1560165.75,n.d.,1473925.43,17481586.35,22.0,-2049010.7,86240.32,665018.2899999999,995600.9,3105922.3,0,807174.37,376078.1,4350286.34,n.d.,-321.63,76719.019,225397.84,3331320.14,76719.019,-225719.469,n.d.,637542.81,8674077.34,8674077.34,1101298.59
2015,137193.86,2253695.27,7853985.77,2952112.0,393454.05,18966216.110000003,1813497.83,5517548.9,156451.99,330256.88,486708.87,1466605.85,4730459.48,4173493.88,904448.83,n.d.,53823.84,53823.84,22329241.76,39986.5,22391637.83,n.d.,555.52,1503803.15,n.d.,1460762.4,19018078.81,22.0,-2034264.02,43040.75,869831.02,1221381.88,3095164.84,0,979908.08,137193.86,5047101.18,n.d.,276988.56,237002.06,330256.88,3425421.72,237002.06,-53268.32,n.d.,718220.47,9357788.92,9357788.92,1391713.22
2014,89069.38,2064392.75,7209163.74,2952112.0,312174.05,17694308.009,1633097.7,4616876.79,166503.79,227500.77,394004.56,1434333.06,3986817.099,3936491.82,855209.09,n.d.,73993.86,73993.86,20866913.02,16615.609999999997,20926055.610000003,n.d.,8778.96,1460510.5,n.d.,1415749.79,17599895.49,21.0,-1982533.95,44760.71,1157953.89,984379.819,3004246.8299999996,386.39,946236.2,89455.77,4643726.649999999,n.d.,162285.87,145670.26,227500.77,3231747.6,145670.26,-65214.9,n.d.,986080.03,8669674.239999998,8669674.239999998,1257992.61
