Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,262300.40900000004,1351640.6,150275.0,70544.18000000001,599485.3200000001,n.d.,390044.37,9935.7,82517.9,92453.599,862901.05,990645.011,1357798.2,548898.04,n.d.,4590.429999999999,4590.429999999999,1535577.79,17652.03,1535577.79,n.d.,333.04,327698.91000000003,55.28,137643.63,689863.73,12.0,-294740.83,190000,98695.18,1207523.2,853574.57,0,59240.9,n.d.,321541.31,n.d.,78260.51,60608.479,82517.9,936092.47,60608.479,-4257.39,n.d.,98695.18,1679339.51,1679339.51,641684.6799999999
2022,n.d.,158673.09,1193254.41,150275.0,111142.01,577935.69,n.d.,349641.56,34617.950000000004,102382.25,137000.2,629953.42,820921.89,1297189.72,530904.74,n.d.,3732.91,3732.91,1511442.71,22966.91,1511442.71,n.d.,841.63,333126.35,55.28,143071.07,646373.6799999999,11.0,-265602.08,190000,213659.43,1146914.719,831124.7699999999,0,70517.95,n.d.,229191.04,n.d.,99490.97,76524.06,102382.25,933507.019,76524.06,-2891.279,n.d.,213659.43,1526380.76,1526380.76,668746.57
2021,n.d.,179261.47999999998,1105938.82,150275.0,111462.37,552781.37,n.d.,321407.07,36266.880000000005,103279.18,139546.06,536217.88,678363.47,1220665.66,492348.85,n.d.,5379.22,3795.61,1467257.44,22704.47,1467257.44,n.d.,0,364362.65,55.28,174307.37,510278.47,12.0,-282581.16,190000,248313.87,1070390.66,811196.89,0,70374.33,n.d.,249635.81,n.d.,97899.96,75195.48999999999,103279.18,914476.07,75195.48999999999,-5379.22,n.d.,248313.87,1470301.47,1470301.47,630311.2989999999
2020,n.d.,144493.21000000002,1149506.29,150275.0,105658.16,540977.51,n.d.,272603.36,40164.13,88566.42,128730.549,574028.91,702139.06,1145470.1700000002,473238.44,n.d.,3641.31,3641.31,1371378.03,19431.08,1372001.51,n.d.,0,207497.6,55.28,207442.31999999998,549300.71,13.0,-229055.009,n.d.,302874.02,995195.17,742457.58,0,67040.509,n.d.,211533.72,n.d.,84925.11,65494.03,88566.42,831024,65494.03,-3641.31,n.d.,302874.02,1357003.89,1357003.89,601968.99
2019,n.d.,128132.78,1083112.23,150275.0,119744.71,562805.88,n.d.,299648.1,43238.8,104959.44,148198.24000000002,553457.91,724973.23,1079976.14,474198.98,n.d.,2772.18,2772.18,1447379.29,25681.35,1448310.08,n.d.,0,196695.27,55.28,196639.99,572871.05,14.0,-263106.97900000005,n.d.,230006.22,929701.14,780544.76,0,71698.58,n.d.,199831.36,n.d.,102187.26,76505.90999999999,104959.44,885504.2,76505.90999999999,-2772.18,n.d.,230006.22,1279807.5,1279807.5,622397.22
2018,n.d.,113092.06,1012276.93,150275.0,106105.91,544587.529,31617.18,306054.71,42081.07,86195.3,128276.37,538258.2799999999,731220.929,1003470.23,472796.45,n.d.,3621.67,3621.67,1429202.57,18548.79,1429202.57,n.d.,0,214951.12,55.28,214895.84,567760.21,14.0,-283542.22000000003,n.d.,167963.94,853195.23,798419.739,0,79048.58,n.d.,223757.82,n.d.,82573.63,64024.84,86195.3,884615.04,64024.84,-3621.67,n.d.,167963.94,1227228.05,1227228.05,601072.8200000001
2017,32217.25,162228.64,1001642.76,150275.0,108413.67,603368.59,31663.66,389002.86,42729.65,91378.08,134107.73,507274.02,734048.24,939181.0,460796.22,n.d.,4734.51,4734.51,1458152.79,20959.55,1458152.79,n.d.,0,241927.5,55.28,241872.22,578335.52,12.0,-259880.25,n.d.,105365.88,788906.0,763406.12,0,78279.70999999999,32217.25,272172.01,n.d.,86643.57,65684.02,91378.08,854784.2,65684.02,-4734.51,n.d.,105365.88,1243570.26,1243570.26,594903.9500000001
2016,63880.91,150758.29,1008672.14,150275.0,79021.23,594113.38,30919.09,338059.0,37827.54,60685.78999999999,98513.33,542358.48,729659.19,873496.98,467996.18,n.d.,6058.01,6058.01,1431998.38,13434.09,1431998.38,n.d.,0,178977.69,55.28,178922.41,599889.61,14.0,-271375.49000000005,n.d.,128254.66,723221.98,777199.21,0,68594.56,63880.91,250271.94,n.d.,54627.78,41193.69,60685.78999999999,837884.999,41193.69,-6058.01,n.d.,128254.66,1187649.83,1187649.83,566509.51
2015,n.d.,186112.8,916885.9,150275.0,92206.34,573270.9,8035.55,348406.61,52174.98,60111.78999999999,112286.77,531442.839,693736.649,832303.2899999999,437021.98,n.d.,6465.7,6367.55,1392452.11,13614.73,1392452.11,n.d.,0,174290.6,55.28,174235.31999999998,563143.5,14.0,-269872.46,n.d.,37036.45,682028.2899999999,759069.419,0,64724.86,n.d.,258873.21,n.d.,53646.09,40031.36,60111.78999999999,819181.21,40031.36,-6465.7,n.d.,37036.45,1091176.5,1091176.5,549210.6
2014,n.d.,199612.09,840722.3500000001,150275.0,80751.92,524461.339,6600.85,274097.12,62178.54,32995.17,95173.709,551930.7799999999,626415.81,792271.93,418480.86,n.d.,8214.0,8214.0,1298823.24,6207.79,1300790.47,n.d.,0,212746.71,55.28,212691.43,527641.5889999999,15.0,-262674.56,n.d.,14694.45,641996.93,743333.9600000001,0,54984.19,n.d.,261197.13,n.d.,24781.17,18573.379,32995.17,776329.13,18573.379,-8214.0,n.d.,14694.45,1053469.06,1053469.06,513654.569
