Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,3209.48,66744.14,322803.27,15025.0,23173.339,1538305.83,8337.730000000001,188996.65,9616.03,18667.17,28283.199,37503.7,159756.209,322609.9,238808.66,n.d.,360.78,360.78,1996243.2,4801.79,2017699.52,n.d.,52.71,103924.15,n.d.,51142.42,1538305.83,7,-212301.83,52781.729999999996,96302.92,307584.9,460726.52,0,25826.17,3209.48,100908.04,n.d.,18359.1,13557.309,18667.17,479393.689,13557.309,-308.07,n.d.,85891.19,426727.42,426727.42,267144.57
2022,10831.230000000001,69612.58,320300.86,15025.0,27366.85,1401347.07,8749.53,194360.29,13741.4,18763.12,32504.519,62801.03,187548.74,309052.59,256711.57,n.d.,1426.13,1127.76,1882378.98,3741.44,1902578.33,n.d.,29.9,111713.79,n.d.,60758.45,1401347.07,7,-212015.169,50955.340000000004,63139.539,294027.59,482468.13999999996,0,33768.719999999994,10831.230000000001,112130.83,n.d.,17366.89,13625.449,18763.12,501231.26,13625.449,-1396.23,n.d.,52727.810000000005,432014.65,432014.65,288947.62
2021,18339.58,77602.73,305196.94,15025.0,36862.45,1476716.11,11789.02,187167.17,12851.11,30986.32,43837.43,2998.4500000000003,112562.89,295427.14,237722.91,n.d.,700.63,472.06,1923950.87,6285.31,1946229.06,n.d.,10.96,118608.67,1011.13,66808.31,1476716.11,9,-187952.61000000002,50789.229999999996,115031.319,280402.14,438526.63,0,20647.14,18339.58,110038.89,n.d.,30296.65,24011.34,30986.32,469512.949,24011.34,-689.6700000000001,n.d.,105089.18,423805.61,423805.61,281342.73000000004
2020,34392.380000000005,71167.34,319726.35,15025.0,63332.399,1474210.29,3546.58,218581.95,11778.03,71393.06,83171.09,n.d.,147414.61000000002,271415.8,208095.26,n.d.,2811.22,1355.76,1898217.14,17066.420000000002,1919201.789,n.d.,38.949999999999996,105020.9,2072.07,52691.04,1474210.29,7,-153725.15,50257.78999999999,101144.4,256390.8,373598.44,0,44225.15,34392.380000000005,118939.07,n.d.,68620.79,51554.369,71393.06,444991.49900000007,51554.369,-2772.27,n.d.,87205.26,424747.25,424747.25,289849.84
2019,n.d.,43415.219999999994,202065.36,15025.0,6793.33,854951.4600000001,n.d.,172885.88999999998,3242.4300000000003,6946.18,10188.61,n.d.,129470.67,219861.43,116716.15,n.d.,1731.73,1731.73,1062382.8790000002,1743.6,1076156.8690000002,n.d.,80.05,85996.55,2805.2799999999997,32671.02,854951.4600000001,2,-94300.65000000001,50520.25,29179.47,204836.43,214259.229,0,24785.26,n.d.,68200.48,n.d.,5294.5,3550.9,6946.18,221205.40899999999,3550.9,-1651.6799999999998,n.d.,15240.33,288061.91000000003,288061.91000000003,126984.809
2018,3040,14288.740000000002,187149.65,15025.0,21868.01,847162,n.d.,143240.47999999998,2453.48,28087.49,30540.97,n.d.,128951.74,216310.53,95317.04,n.d.,2773.34,2773.34,1033432.26,5925.25,1052732.36,n.d.,25.630000000000003,66717.8,n.d.,13420.01,847162.0,1,-79712.35,53297.78999999999,43909.17,201285.53,177482.87,0,20228.18,3040,34516.92,n.d.,25339.78,19414.53,28087.49,205570.36,19414.53,-2747.71,n.d.,29970.03,253867.45,253867.45,125883.639
2017,3040,17414.17,171159.75,15025.0,21266.92,649035.4,n.d.,138725.56,2386.86,30145.3,32532.16,n.d.,121311.39,196896.0,67278.08,n.d.,3919.92,3919.92,815824.48,7407.85,835160.47,n.d.,62.53,69171.28,n.d.,15873.49,649035.4,1,-86314.83,53297.78999999999,32434.19,181871.0,155979.77000000002,0,22980.86,3040,40395.03,n.d.,26287.91,18880.059,30145.3,186125.069,18880.059,-3857.39,n.d.,19091.79,240331.03,240331.03,99872.769
2016,3000,13410.27,176105.16,15025.0,47758.22899999999,597616.57,23985.82,155553.93,19564.980000000003,39442.69,59007.67,2250.96,144394.62,178015.94,58659.0,n.d.,2349.98,2349.98,776015.48,8900.39,794069.48,n.d.,0.929,55884.89,n.d.,3606.07,597616.57,1,-78786.239,52278.82,18300.27,162990.94,157010.22,0,13578.02,3000,50974.11,n.d.,37093.64,28193.25,39442.69,196452.91,28193.25,-2349.05,n.d.,7700.269999999999,231990.05,231990.05,117667.599
2015,3000,14133.97,65750.229,15025.0,9569.619,538292.54,59182.3,29465.56,17112.480000000003,-3339.36,13773.119,1654.45,16986.04,68817.61,68900.67000000001,n.d.,3602.69,3555.61,665817.64,787.76,683871.64,n.d.,186.95000000000002,85987.93999999999,n.d.,23171.05,538292.54,n.d.,-62905.310000000005,62816.89,34630.219999999994,53792.61,148918.46,0,6604.29,3000,79920.56,n.d.,-6755.1,-7542.860000000001,-3339.36,145579.099,-7542.860000000001,-3415.74,n.d.,34630.219999999994,151738.17,151738.17,82813.66
2014,n.d.,11301.66,26760.99,15025.0,5976.96,547695.4600000001,29112.06,25084.32,15660.06,-7209.34,8450.720000000001,n.d.,13782.66,76360.47,64729.27,n.d.,5704.429999999999,5704.429999999999,683507.4600000001,-3227.7,701852.8600000001,n.d.,2.9699999999999998,99881.62,n.d.,40283.53,547695.4600000001,1,-80977.40999999999,59598.09,1676.6699999999998,61335.47,161366.74000000002,0,9868.42,n.d.,50282.14,n.d.,-12910.8,-9683.099,-7209.34,154157.4,-9683.099,-5701.46,n.d.,1145.48,126642.61,126642.61,73182.959
