Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,3041401.18,4828608.87,24055170.58,60110.0,5137666.970000001,29173102.5,1340513.83,476693.24,566508.2899999999,6005789.79,6572298.08,15946132.03,11594216.399,25515557.88,4738399.8,n.d.,73431.65000000001,68201.84,43398539.56,1388840.71,43761059.96,n.d.,27641.25,13084704.42,924100.3500000001,10180362.63,29173102.5,76.0,-3277259.58,1980241.44,7632345.31,25455447.88,8582167.67,0,2413793.24,3041401.18,8582915.936999999,n.d.,5959999.39,4571158.68,6005789.79,14587957.46,4571158.68,-45790.399,n.d.,5554619.48,37139875.0,37139875.0,11333109.32
2022,2064959.12,4817290.54,22434771.49,60110.0,5275977.939,25147566.1,2319616.3699999996,441003.52,404979.24,6483618.98,6888598.22,14772544.48,10396257.46,20944399.49,3779671.99,n.d.,69305.9,69263.16,38044411.35,1559030.44,38244444.98,n.d.,15716.06,10434863.16,976813.92,7762190.91,25147566.1,57.0,-2428608.669,1695858.33,7221223.49,20884289.49,6613259.9,0,2723369.128,2064959.12,9860276.04,n.d.,6430029.14,4870998.698999999,6483618.98,13096878.88,4870998.698999999,-53589.84,n.d.,5152039.119999999,32869634.65,32869634.65,10683943.53
2021,4975987.6,3558614.18,21505356.82,60110.0,4130018.53,19151379.810000002,2669868.9499999997,218214.25,349850.52,5125197.649999999,5475048.17,14239123.27,10898723.34,16073400.79,3105822.38,n.d.,97516.9,97516.9,29757564.74,1260104.2,29942786.849,n.d.,12591.46,7771165.17,1034638.8500000001,5027246.58,19151379.81,52.0,-2210536.489,1709279.74,7048019.3,16013290.79,5666209.39,0,1998650.47,4975987.6,8227133.6,n.d.,5040272.21,3780168.01,5125197.649999999,10791407.04,3780168.01,-84925.43999999999,n.d.,5612314.470000001,29276521.99,29276521.99,8593462.01
2020,6894777.09,2685216.86,17963624.93,60110.0,1179593.21,13696157.370000001,2756437.8499999996,190513.36,344513.04,1217995.34,1562508.38,13626063.87,11131360.37,12293232.78,2690415.3,n.d.,135150.759,135149.9,19356644.14,279560.06,19499701.47,n.d.,31795.65,8203436.859999999,10430.52,4952809.92,13696157.37,45.0,-1550620.42,3240196.42,4147047.7,12233122.78,4585548.76,0,1537397.21,6894777.09,6979051.92,n.d.,1114640.23,835080.169,1217995.34,5803544.1,835080.169,-103355.109,n.d.,3078501.61,26167061.79,26167061.79,4284718.469
2019,8650444.950000001,3550047.08,22193241.53,60110.0,2113072.27,15823045.59,2562630.01,303016.56,373711.07,2422721.05,2796432.119,14228409.29,10981378.77,11458152.61,2766559.58,n.d.,147280.78,147227.9,22727454.03,543831.19,22960783.82,n.d.,7752.120000000001,8452880.869,18651.85,5181842.68,15823045.59,43.0,-1574746.53,3252386.34,7661815.68,11398042.61,4715017.18,0,4424847.75,8650444.950000001,10537524.84,n.d.,2283192.39,1739361.2,2422721.05,7137738.23,1739361.2,-139528.66,n.d.,6814322.85,30646122.4,30646122.4,5570690.94
2018,11088538.14,3257716.44,27196384.52,60110.0,1476273.47,13943435.25,2686102.46,502856.13999999996,391994.51,1622866.31,2014860.82,14655670.63,11900810.33,7612688.27,2395940.35,n.d.,198294.31,198212.85,19666062.99,361716.16,19863834.08,n.d.,21423.12,8726028.59,29089.2,5733640.06,13943435.25,41.0,-1509597.6600000001,2963299.33,12037857.75,7552578.27,4297532.52,0,11277367.8,11088538.14,17221186.7,n.d.,1445995.12,1084278.96,1622866.31,5920398.828999999,1084278.96,-176871.19,n.d.,11162192.77,35922413.11,35922413.11,4432142.83
2017,4428581.2,3093475.16,11673194.57,60110.0,1757425.63,14914930.719999999,1568907.91,525524.03,340788.27,2017977.79,2358766.06,9352380.68,6784429.549,10832154.96,1995393.01,n.d.,144954.34999999998,144954.34999999998,20489051.72,472212.47,20732931.16,n.d.,15826.39,9095670.62,45529,6055784.76,14914930.72,36.0,-1463841.37,2994356.86,1795289.8590000002,10772044.959,3800022.65,0,845745.9600000001,4428581.2,5508129.03,n.d.,1888849.83,1416637.36,2017977.79,5818000.439,1416637.36,-129127.96,n.d.,1079905.21,20768865.19,20768865.19,4369985.459
2016,4399208.41,4088224.4499999997,11419974.87,60110.0,1847605.28,14875191.04,1113547.04,803720.2699999999,313489.22000000003,2136375.47,2449864.69,9218797.31,5934293.13,9415517.57,1811401.2,n.d.,150986.84999999998,150986.84999999998,20344667.58,462228.42,20558729.09,n.d.,10955.86,8898603.02,34294.09,5836865.619999999,14875191.04,31.0,-1422272.1600000001,3027443.31,1397457.288,9355407.57,3547162.579,0,1302080.42,4399208.41,6503851.91,n.d.,1996344.48,1534116.06,2136375.47,5683538.05,1534116.06,-140030.99,n.d.,1055485.6590000002,20318577.89,20318577.89,4272221.749
2015,2258465.42,3706381.08,8227424.619999999,60110.0,1828179.369,13223061.09,628679.42,668065.02,238738.94,2296257.55,2534996.489,5698214.649999999,2659898.59,7881401.51,1228016.06,n.d.,140131.93,140131.93,17895335.9,579849.62,18125592.54,n.d.,13164.43,7328184.79,21785.47,4296207.69,13223061.09,26.0,-1139518.9,3010191.63,1861144.95,7821291.51,2606273.9,0,1080681.98,2258465.42,5415742.48,n.d.,2169290.05,1589440.429,2296257.55,4902531.449,1589440.429,-126967.5,n.d.,1498051.6300000001,15555609.41,15555609.41,3776176.98
2014,2955483.14,2003335.45,6094308.609999999,60110.0,1244689.07,12328831.29,1004808.31,490821.85,307451.07,1527329.43,1834780.5,4737212.81,3224699.2090000003,6291961.08,1150435.24,n.d.,189779.76,189779.76,15932677.47,411958.17,16189908.65,n.d.,11646.5,7026313.46,1853.47,3782696.42,12328831.29,25.0,-875861.62,3241763.57,866273.9500000001,6231851.08,2333747.9299999997,0,865034.09,2955483.14,3873177.85,n.d.,1349196.1700000002,937238.0,1527329.43,3861077.36,937238.0,-178133.26,n.d.,519193.68,13120622.07,13120622.07,2996862.24
2013,3757077.62,3603572.8299999996,7217424.01,60110.0,768173.81,11563409.450000001,913192.04,1201628.45,305136.15,841583.7,1146719.85,5415143.319999999,3013198.94,5354723.08,1102137.65,n.d.,190646.44,190646.44,14383761.81,199364.52,14642979.46,n.d.,11464.92,7294466.57,n.d.,4043688.08,11563409.45,28.0,-830712.51,3250778.489,600652.24,5294613.08,2237986.309,0,883325.01,3757077.62,5400089.88,n.d.,662402.1799999999,463037.66,841583.7,3079570.01,463037.66,-179181.52,n.d.,312275.09,14511890.58,14511890.58,2260322.42
2012,3720350.27,3154938.8899999997,6351854.81,60110.0,739695.0,9342267.850000001,1075720.73,617439.19,292260.39,832239.62,1124500.01,5399499.930000001,2862000.2290000003,4891685.42,1065681.8890000002,n.d.,204683.71,204683.71,12197205.53,191757.69,12405387.04,n.d.,11636.39,7315853.7,n.d.,4059901.71,9342267.85,29.0,-872937.2899999999,3255951.99,334915.69,4831575.42,2230879.569,0,825013.2,3720350.27,5055672.819999999,n.d.,639192.3,447434.61,832239.62,3063119.1890000002,447434.61,-193047.32,n.d.,45405.82,13667708.51,13667708.51,2201818.2890000003
