Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,49709.82,51848.24,2225.6,110283.5,n.d.,n.d.,27752.95,1666.23,n.d.,-1021.6,-1021.6,n.d.,-50182.009,-222383.39,n.d.,n.d.,3468.23,3468.23,n.d.,n.d.,n.d.,n.d.,0.0,n.d.,n.d.,n.d.,n.d.,n.d.,-1021.6,n.d.,559.37,-332666.89,1021.6,0,95297.98,49709.82,174899.17,n.d.,-4489.83,-4489.83,-1021.6,n.d.,-4489.83,-3468.23,n.d.,559.37,2225.6,2225.6,-1021.599
2022,62108.729999999996,54826.64,2444.65,110283.5,n.d.,n.d.,27147.69,1666.23,n.d.,-1014.02,-1014.02,n.d.,-53160.409,-217893.56,n.d.,n.d.,6446.46,6446.46,n.d.,n.d.,n.d.,n.d.,0.0,n.d.,n.d.,n.d.,n.d.,n.d.,-1014.02,n.d.,778.42,-328177.059,1014.02,0,76255.15000000001,62108.729999999996,158229.47999999998,n.d.,-7460.48,-7460.48,-1014.02,n.d.,-7460.48,-6446.46,n.d.,778.42,2444.65,2444.65,-1014.019
2021,70640,66491.08,2648.8300000000004,110283.5,n.d.,76537.90999999999,27360.68,1910.35,n.d.,-80849.7,-80849.7,n.d.,-64580.73,-210433.08,707.54,n.d.,7567.09,7567.09,n.d.,382.31,n.d.,n.d.,0.0,n.d.,n.d.,n.d.,76537.90999999999,n.d.,-3604.25,n.d.,738.48,-320716.58,4311.79,0,48590.15,70640,142441.91,n.d.,-88416.79,-88799.099,-80849.7,-76537.90999999999,-88799.099,-7567.09,n.d.,738.48,2648.8300000000004,2648.8300000000004,-80142.16
2020,55540,100888.63,79260.85,110283.5,n.d.,264689.44,41524.67,1297.6,n.d.,-181219.31,-181219.31,77503.89,-22087.14,-121633.98,54221.54,n.d.,9730.0,9730.0,162572.84,n.d.,162572.84,n.d.,0.0,1677.05,n.d.,n.d.,264689.44,2,-24881.17,1677.05,459.36,-231917.479,79102.70999999999,0,4618.58,55540,147031.87999999998,n.d.,-190949.31,-190949.31,-181219.31,-102116.6,-190949.31,-9730.0,n.d.,459.36,80937.9,80937.9,-126997.769
2019,15101.89,94305.26,233846.39,110283.5,n.d.,143061.31999999998,37996.59,1115.05,n.d.,14427.37,14427.37,232511.67,139321.46,69315.33,49434.93,n.d.,10523.14,10523.14,231902.12,n.d.,231902.12,n.d.,0.0,1677.05,n.d.,n.d.,143061.31999999998,2,-24978.5,1677.05,219.67,-40968.17,74413.43,0,18804.37,15101.89,151106.22,n.d.,3904.23,3904.23,14427.37,88840.799,3904.23,-10523.14,n.d.,219.67,235523.44,235523.44,63862.3
2018,21156.69,108258.62000000001,239225.91,110283.5,n.d.,145158.87,40995.03,6021.07,n.d.,13078.14,13078.14,232495.88999999998,130258.34,65411.1,43817.67,n.d.,10122.33,10122.33,227958.83,n.d.,227958.83,n.d.,0.0,1677.05,n.d.,n.d.,145158.87,2,-25904.149999999998,1677.05,708.9499999999999,-44872.4,69721.82,0,5081.52,21156.69,154335.17,n.d.,2955.8100000000004,2955.8100000000004,13078.14,82799.959,2955.8100000000004,-10122.33,n.d.,708.9499999999999,240902.96,240902.96,56895.810000000005
2017,29521.53,87141.98999999999,229218.96,110283.5,n.d.,132790.07,44567.46,2132.3,n.d.,10802.06,10802.06,226980.44999999998,141970.76,62455.28999999999,50389.68,n.d.,10297.01,10297.01,219857.57,n.d.,219857.57,n.d.,0.0,1677.05,n.d.,n.d.,132790.07,2,-25875.760000000002,1677.05,106.21,-47828.21,76265.43999999999,0,7209.74,29521.53,138919.19,n.d.,505.05,505.05,10802.06,87067.5,505.05,-10297.01,n.d.,106.21,230896.01,230896.01,61191.74
2016,20289.809999999998,74400.16,222464.03,110283.5,n.d.,161465.46,59245.82,7065.360000000001,n.d.,10078.1,10078.1,213918.18,146583.379,61950.24,64061.840000000004,n.d.,9886.66,9886.66,259549.59,n.d.,259549.59,n.d.,0.0,1283.83,n.d.,n.d.,161465.46,3,-23944.19,1283.83,1480.49,-48333.26,88006.03,0,7861.83,20289.809999999998,141507.81,n.d.,191.44,191.44,10078.1,98084.13,191.44,-9886.66,n.d.,1480.49,223747.86,223747.86,74139.93999999999
2015,13477.81,76137.47,218302.92,110283.5,-10616.15,186346.7,58772.54,3311.36,78.48,-321.63,-243.149,214148.08,141321.96899999998,61758.8,89579.26,n.d.,10373.0,10373.0,300150.67,n.d.,300150.67,n.d.,0.0,1283.83,n.d.,n.d.,186346.7,4,-24467.86,1283.83,843.48,-48524.7,114125.599,0,9440.13,13477.81,144350.14,n.d.,-10694.63,-10694.63,-321.63,113803.969,-10694.63,-10373.0,n.d.,843.48,219586.75,219586.75,89336.10900000001
2014,25726.66,60822.92,216565.99,110283.5,-15762.710000000001,154477.15,51437.37,4730.610000000001,1175.1799999999998,-7379.19,-6204.009,211546.65,155454.33899999998,72453.43,92401.3,n.d.,9558.7,9558.7,266486.659,n.d.,266486.659,n.d.,0.0,1362.31,n.d.,78.48,154477.15,4,-25812.22,1283.83,288.73,-37830.07,119388.7,0,7487.92,25726.66,119748.21,n.d.,-16937.89,-16937.89,-7379.19,112009.508,-16937.89,-9558.7,n.d.,288.73,217928.3,217928.3,86197.29
