Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,2569.2599999999998,63846.83,290117.02,119719.2,4609.85,383803.05,7631.22,54935.55,1028.9,6985.18,8014.08,217691.75,208780.469,184672.23,85591.97,n.d.,2304.73,2304.73,517221.58,1099.5,517221.58,n.d.,0,8609.220000000001,n.d.,5804.9,383803.05,3.0,-39812.48,2804.32,17489.72,64953.03,126433.349,0,40006.7,2569.2599999999998,111484.75,n.d.,4680.45,3580.9500000000003,6985.18,133418.53,3580.9500000000003,-2304.73,n.d.,17489.72,298726.24,298726.24,93606.049
2022,10823.44,78689.56,307052.47000000003,119719.2,1658.51,368723.5,6894.73,48711.67,621.06,4072.22,4693.28,222955.65,192977.76,181091.28,89102.04,n.d.,2688.9500000000003,2688.9500000000003,503207.6,345.82,503207.6,n.d.,0,9638.12,n.d.,6833.8,368723.5,3.0,-40688.78,2804.32,35385.15,61372.079,130411.87900000002,0,39191.58,10823.44,124775.87,n.d.,1383.27,1037.45,4072.22,134484.099,1037.45,-2688.9500000000003,n.d.,35385.15,316690.59,316690.59,93795.319
2021,17718.17,66741.03,310142.24,119719.2,10157.21,370177.75,10390.32,54084.4,9275.0,3965.42,13240.42,227981.35,215324.72,180053.83,85154.03,n.d.,2789.16,2789.16,512666.25,294.05,512666.25,n.d.,0,5277.58,n.d.,2473.26,370177.75,3.0,-44094.049,2804.32,28076.49,60334.63,138523.08,0,40516.47,17718.17,117647.82,n.d.,1176.26,882.21,3965.42,142488.5,882.21,-2789.16,n.d.,28076.49,315419.82,315419.82,98394.45
2020,28108.49,46698.15,290427.41000000003,119719.2,10232.8,279611.66,9840.439,37296.18,9476.44,4355.73,13832.17,228759.45,219357.48,179171.62,80625.81,n.d.,3347.25,3347.25,417154.84,252.12,417154.84,n.d.,0,13881.91,n.d.,10929.51,279611.66,3.0,-43085.2,2952.4,24371.780000000002,59452.42,133187.44999999998,0,40490.62,28108.49,97029.21,n.d.,1008.48,756.3599999999999,4355.73,137543.18,756.3599999999999,-3347.25,n.d.,24371.780000000002,304309.32,304309.32,94457.98
2019,7948.929999999999,40537.33,258493.77,119719.2,9854.240000000002,245811.18,4779.56,28919.12,9113.35,5215.620000000001,14328.97,229574.65,217956.44,178415.26,88922.16,n.d.,4211.1,4211.1,390366.55,263.63,390366.55,n.d.,0,23010.47,n.d.,19805.95,245811.18,3.0,-41304.240999999995,3204.52,n.d.,58696.06,139339.751,0,49823.16,7948.929999999999,95140.05,n.d.,1004.52,740.89,5215.620000000001,144555.37,740.89,-4211.1,n.d.,n.d.,281504.24,281504.24,103251.13
2018,12728.49,50170.87,259522.86,119719.2,6838.559,295994.7,4601.55,38958.26,5588.03,5427.660000000001,11015.689,220564.6,209351.99,177674.37,77903.55,n.d.,3760.28,3760.28,424748.4900000001,416.85,424748.4900000001,n.d.,0,25387.45,n.d.,21919.3,295994.7,3.0,-39834.55,3468.15,n.d.,57955.17,123326.13,0,39735.03,12728.49,94507.45,n.d.,1667.38,1250.53,5427.660000000001,128753.789,1250.53,-3760.28,n.d.,n.d.,284910.31,284910.31,88919.23999999999
2017,n.d.,57747.58,271638.53,119719.2,4066.32,283671.22000000003,n.d.,50783.95,3696.76,4347.17,8043.929999999999,220854.58,213890.949,176423.84,77295.90999999999,n.d.,3854.42,3854.42,408051.05,123.19,408051.05,n.d.,0,9785.35,n.d.,5900.35,283671.22000000003,3.0,-39039.99,3885.0,n.d.,56704.64,120032.65900000001,0,47252.46,n.d.,105000.04,n.d.,492.75,369.56,4347.17,124379.83,369.56,-3854.42,n.d.,n.d.,281423.88,281423.88,85339.84
2016,n.d.,38375.53,252194.01,47599.2,3108.24,273158.77,n.d.,36830.4,2418.3900000000003,4099.91,6518.299,215363.61,213818.479,103934.28,83316.43,n.d.,3146.78,3146.78,399001.76,263.28,399001.76,n.d.,0,9945.31,n.d.,7379.55,273158.77,3.0,-36008.259999999995,2565.76,n.d.,56335.08,121743.07900000001,0,119829.51,n.d.,158205.04,n.d.,953.13,689.8499999999999,4099.91,125842.989,689.8499999999999,-3146.78,n.d.,n.d.,262139.32,262139.32,89834.73
2015,n.d.,52161.24,258999.66,47599.2,3294.2,304336.05,5861.89,43839.23,2138.23,5131.929999999999,7270.160000000001,213845.46,205523.45,103244.43,85186.67000000001,n.d.,3590.63,3590.63,432033.33,385.33,432033.33,n.d.,0,11310.28,n.d.,6781.24,304336.05,3.0,-35240.450000000004,4529.04,1314.97,55645.23,122565.349,0,109042.38,n.d.,167065.51,n.d.,1541.3,1155.97,5131.929999999999,127697.28,1155.97,-3590.63,n.d.,1314.97,270309.94,270309.94,92456.83
2014,5861.89,54672.880000000005,269994.39,47599.2,4448.001,295532.61,26895.25,37515.69,3679.96,4924.0,8603.96,205211.97,188054.78,102088.46,84532.36,n.d.,3899.94,3899.94,427619.17,256.019,428167.339,n.d.,0,11202.48,n.d.,6288.110000000001,295532.61,3.0,-39498.409,4914.37,27266.73,54489.26,127710.73,0,91678.39,5861.89,173246.52,n.d.,1024.06,768.04,4924.0,132634.729,768.04,-3899.94,n.d.,27266.73,281196.87,281196.87,93136.32
2013,11257.140000000001,47219.13,257380.84,47599.2,5299.559,277917.83999999997,28455.260000000002,34424.28,4217.650000000001,6518.79,10736.439,199727.85,186933.0,101320.42,83440.64,n.d.,5059.58,5059.58,412088.75,377.3,412424.75,n.d.,0,15138.46,n.d.,9968.07,277917.84,3.0,-40329.83,5170.389,23228.71,53721.22,127988.119,0,84267.35,11257.140000000001,159941.74000000002,n.d.,1459.21,1081.91,6518.79,134506.90899999999,1081.91,-5059.58,n.d.,23228.71,272519.3,272519.3,94177.08
2012,18212.43,42960.7,227783.86,47599.2,-2681.209,263996.53900000005,7101.7699999999995,34141.44,4776.2,-2832.88,1943.319,193642.42,184823.16,100238.51,96243.14,n.d.,7110.469999999999,7110.469999999999,398229.92,-2485.8,398229.92,n.d.,0.14,15623.41,n.d.,10075.72,263996.53900000005,3.0,-36046.92,5547.6900000000005,n.d.,52639.310000000005,137066.26,0,74893.86,18212.43,124956.33,n.d.,-9943.21,-7457.409,-2832.88,134233.38099999996,-7457.409,-7110.33,n.d.,n.d.,243407.27,243407.27,98186.599
2011,25314.21,62010.68,231806.4,47599.2,5714.469999999999,299203.29000000004,6605.820000000001,37931.73,4215.09,7253.620000000001,11468.71,193874.67,169795.72,107695.92,106255.58,n.d.,5379.660000000001,4637.74,460029.66,374.84,460029.66,n.d.,0.26,17443.56,n.d.,14381.67,299203.29000000004,3.0,-43102.08,3061.8900000000003,n.d.,60096.719,153572.75,0,47623.33,25314.21,116239.83,n.d.,1874.22,1499.38,7253.620000000001,160826.37,1499.38,-5379.4,n.d.,n.d.,249249.96,249249.96,116982.63
2010,n.d.,94442.22,235003.39,47599.2,5543.4,268386.71,n.d.,54940.09,4028.92,6355.160000000001,10384.08,180063.3,140561.169,106196.54,101332.93,n.d.,4462.469999999999,4462.469999999999,429621.96,378.62,429621.96,n.d.,0.41000000000000003,15302.72,n.d.,12240.83,268386.71,3.0,-49518.24,3061.8900000000003,n.d.,58597.34,154880.09,0,49667.350000000006,n.d.,144109.57,n.d.,1893.1,1514.48,6355.160000000001,161235.25,1514.48,-4462.06,n.d.,n.d.,250306.11,250306.11,111717.42
