Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,251945.31999999998,157003.2,5204211.06,608632.7,1252727.64,7149662.81,48092.32,3079860.6,78186.95,1237672.84,1315859.79,960064.3,3882921.7,3455085.6,3135563.67,n.d.,18624.21,13993.03,11652629.61,44507.94,12396433.94,n.d.,0.0,1252985.72,2391.0,1191776.01,7144607.46,51.0,-795347.6699999999,58818.71,1164286.16,2846452.9,4009098.29,0,2545070.34,251945.31999999998,2750165.86,n.d.,1219048.63,1174540.6900000002,1237672.84,5246771.13,1174540.6900000002,-18624.21,n.d.,1164286.16,6457196.78,6457196.78,4446792.28
2022,n.d.,153263.81999999998,4354063.609999999,608632.7,699096.7899999999,6216522.08,67939.23999999999,2306609.71,87685.1,613383.1,701068.2,1224414.11,3377760.0,2480544.91,2795107.34,n.d.,6594.55,2884.38,9866137.739999998,-4623.14,10649961.88,n.d.,0.0,952313.05,3785.0,893433.73,6350285.71,46.0,-937264.26,55094.32,823039.7899999999,1871912.21,3820056.7,0,2604628.69,n.d.,2825831.75,n.d.,606788.55,611411.69,613383.1,4433439.8,611411.69,-6594.55,n.d.,823039.7899999999,5306376.659999999,5306376.659999999,3492465.369
2021,67572.34,178311.31999999998,4091758.52,608632.7,-263956.949,5123888.4,203729.37999999998,2198867.22,88053.73999999999,-353308.61,-265254.87,575754.6699999999,2596310.57,1869133.22,2494431.23,n.d.,17954.7,17954.7,8268781.5,2608.72,8798202.939,n.d.,21861.34,937405.91,372.0,886562.73,5258609.119999999,45.0,-1445138.1800000002,50471.18,1317136.63,1260500.52,4027623.15,0,2710418.17,67572.34,3092458.87,n.d.,-349401.97000000003,-352010.689,-353308.61,3674314.539,-352010.689,3906.639,n.d.,1301261.37,5029164.430000001,5029164.430000001,2251037.7
2020,898952.6699999999,173471.01,5473221.5,608632.7,-195868.47,6919116.619999999,390105.51,3603721.02,91556.83,-232056.97,-140500.14,366698.78,3796948.79,2221143.91,2483966.17,n.d.,56741.43,19606.02,9643862.87,-1373.1,10176857.199,n.d.,0.0,984469.63,2137.0,929852.73,6726689.88,48.0,-914274.55,52479.9,1502801.7,1612511.21,3489797.55,0,2774018.03,898952.6699999999,3337594.55,n.d.,-288798.4,-287425.3,-232056.97,3257740.5779999997,-287425.3,-56741.43,n.d.,1502801.7,6457691.13,6457691.13,2306330.62
2019,17508,185321.44999999998,4390277.96,608632.7,372903.13,5488811.028999999,606781.88,3375358.54,106050.68,281952.47000000003,388003.149,502579.24,3692616.33,2508569.21,2530328.82,n.d.,15100.02,14791.29,8832596.12,n.d.,9494467.049,n.d.,0.0,1009930.53,4239.0,954584.73,5527722.52,48.0,-1087324.049,51106.8,512340.18,1899936.51,3723703.55,0,2082027.95,17508,2874131.2800000003,n.d.,266852.45,266852.45,281952.47000000003,4005656.019,266852.45,-15100.02,n.d.,486863.12,5400208.49,5400208.49,2918023.24
2018,130863.48999999999,425684.86,3761540.19,608632.7,524229.94,5288477.03,860834.9500000001,3158126.36,97667.08,447307.57,544974.65,461261.82,3193703.32,2241716.76,2360912.55,n.d.,26428.62,21000.37,8617280.19,-5666.91,9280865.35,n.d.,17.0,1087607.28,11121.0,1025854.53,5231379.91,45.0,-1086501.1190000002,50631.75,142152.01,1633084.06,3545080.75,0,1190047.409,130863.48999999999,2476567.22,n.d.,420895.95,426562.86,447307.57,3992388.32,426562.86,-26411.62,n.d.,121725.58,4849147.470000001,4849147.470000001,2900475.95
2017,130059.14,326228.56,4447694.31,608632.7,-36333.78999999999,6489436.96,444515.48000000004,3681601.12,91724.67,-91503.53,221.139,415136.33,3770508.89,1815153.9,2168824.51,n.d.,36627.74,35188.619999999995,9040844.46,n.d.,9718414.37,n.d.,72.81,1098136.33,13351.0,1039718.73,6080193.0,42.0,-1059931.76,45066.6,350956.86,1206521.2,3320480.94,101.76,2829771.8,130160.9,3600515.84,n.d.,-128058.46,-128058.46,-91503.53,3228977.4099999997,-128058.46,-36554.93,n.d.,329825.42000000004,5545830.64,5545830.64,2167679.34
2016,241985,398213.86,4222259.41,608632.7,373190.35,4812725.1,140495.49,3284455.14,99673.87,364945.76,464619.63,451358.44,3337599.72,1943212.35,2075183.66,n.d.,58289.1,56555.95,7514476.29,33560.14,8362473.189999999,n.d.,419.96,1121383.54,24465.0,1051236.94,4719059.45,41.0,-1009944.8,45681.6,486445.83,1334579.65,3184802.3299999996,346.76,2619389.489,242331.76,3158098.84,n.d.,307076.62,273516.48000000004,364945.76,3549748.09,273516.48000000004,-57869.14,n.d.,470414.33,5343642.95,5343642.95,2538490.1
2015,1134240.8800000001,462053.05,4143873.79,608632.7,295831.19,4722496.41,68090.6,2468599.55,117633.44,302743.22000000003,420376.66,816794.65,2823341.15,1669695.88,1699681.4,n.d.,63844.979,62023.77,7730675.79,60969.25,7730675.79,n.d.,268.76,1216968.6800000002,39316.0,1098165.94,4737902.930000001,39.0,-888121.3200000001,79486.739,858479.59,1061063.1790000002,2705436.159,591.76,2026170.299,1134832.6400000001,2556313.95,n.d.,239167.0,178197.75,302743.22000000003,3008179.38,178197.75,-63576.219,n.d.,855340.2799999999,5360842.470000001,5360842.470000001,2118505.609
2014,1115505.34,457931.23000000004,5066516.970000001,608632.7,155320.15,5799509.56,110474.75,3656306.95,110476.65,138657.5,249134.15,963325.38,4161701.1,1491498.12,1553884.12,n.d.,80741.39,78859.95,8566855.869,14947.84,8566855.869,n.d.,1875.23,1333368.95,20477.1,1169884.64,5796928.53,37.0,-964328.04,143007.21000000002,446884.64,882865.42,2628688.8099999996,3142.9900000000002,3221333.49,1118648.33,3789739.47,n.d.,59791.34,44843.5,138657.5,2767346.309,44843.5,-78866.16,n.d.,440687.5,6399885.92,6399885.92,1803012.06
