Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,24806.72,278441.18,85103.31,64587.27,325663.12,n.d.,82348.97,1037.1799999999998,82548.08,83585.26,12235.67,69777.92,284786.58,96648.62,n.d.,15.49,15.49,428021.35,18982.5,550415.929,n.d.,0.0,58222.01,n.d.,7070.71,330973.76,1.0,-44518.93,51151.3,183856.54,199683.27,142204.729,0,27069.89,n.d.,51876.61,n.d.,82532.59,63550.09,82548.08,224752.80899999998,63550.09,-15.49,n.d.,183590.82,336663.19,336663.19,180233.879
2022,n.d.,2119.4,267584.99000000005,85103.31,65190.25,393755.46,334.58,48891.06,836.99,85819.84,86656.83,10651.75,57423.409,276792.06,87793.3,n.d.,15.49,15.49,514416.21,21451.09,606640.64,n.d.,0.0,58800.54,n.d.,7649.24,422640.45,4.0,-38435.05,51151.3,208042.18,191688.75,127065.34,0,47139.49,n.d.,49593.47,n.d.,85804.35,64353.26,85819.84,212885.18,64353.26,-15.49,n.d.,208042.18,326385.53,326385.53,174450.13
2021,n.d.,28877.69,237700.92,85103.31,40705.89,238073.21000000002,n.d.,27115.75,974.13,50936.17,51910.29899999999,15076.240000000002,13314.3,261297.17,100890.21,n.d.,0.0,n.d.,352132.36,13243.92,428948.01,n.d.,2039.51,58968.21,n.d.,7816.91,238073.21,4.0,-38074.28999999999,51151.3,195508.93,176193.86,139938.63,0,6494.27,n.d.,35371.96,n.d.,52975.68,39731.76,50936.17,190874.8,39731.76,2039.51,n.d.,195508.93,296669.13,296669.13,154840.02
2020,n.d.,77948.43999999999,360355.74,85103.31,46693.350000000006,302079.37,n.d.,166043.67,682.76,61362.94,62045.7,19354.13,107449.36,247491.34,107386.94,n.d.,15.49,15.49,419983.55,15336.86,511032.79,n.d.,0.0,13139.47,4661.54,7326.63,312361.82,2.0,-39520.78,1151.3,174957.94,162388.02899999998,147590.47999999998,0,48055.43,n.d.,126003.87,n.d.,61347.45,46010.59,61362.94,208953.419,46010.59,-15.49,n.d.,174957.94,373495.21,373495.21,169432.64
2019,n.d.,91866.08,318488.82,85103.31,23081.25,326713.89,n.d.,187900.68,144.86,30612.84,30757.7,28800.0,124834.599,201480.75,143489.62,n.d.,30.98,30.979999999999997,440432.88,7645.469999999999,525547.959,n.d.,0.0,12931.56,5180.54,6499.73,340500.84,2.0,-24586.75,1251.29,101788.14,116377.439,168221.229,0,38073.55,n.d.,129939.63,n.d.,30581.86,22936.39,30612.84,198834.069,22936.39,-30.98,n.d.,101788.14,331420.38,331420.38,174247.319
2018,n.d.,6342.2,209668.09,85103.31,n.d.,230911.04,n.d.,64571.6,n.d.,83354.92,83354.92,7133.4,65362.8,178544.36,75053.51,n.d.,15.49,15.49,327587.42000000004,20867.47,428323.38,n.d.,0.0,7685.96,5180.54,1199.41,230911.04,2.0,-39003.91,1306.01,137963.09,93441.05,114057.42,0,32467.49,n.d.,38809.69,n.d.,83339.43,62471.959,83354.92,197412.34,62471.959,-15.49,n.d.,137963.09,217354.05,217354.05,158408.43
2017,n.d.,42894.810000000005,231622.62,60101.21,69200.9,429267.17,n.d.,185366.91,1050.75,90677.99,91728.74,2227.01,144699.11000000002,151829.97,91511.73,n.d.,393.49,393.48999999999995,587063.8600000001,22716.72,659727.669,n.d.,582.37,5089.17,3883.75,1199.41,429267.17,1.0,-47220.03,6.01,44028.7,91728.76,139782.51,0,41987.01,n.d.,84881.82,n.d.,90866.87,68150.15000000001,90677.99,230460.49899999998,68150.15000000001,188.88,n.d.,44028.7,236711.79,236711.79,183822.839
2016,n.d.,85797.78,274940.97000000003,18030.36,48542.880000000005,347371.75,n.d.,77648.27,10343.66,49952.91,60296.57,95705.26,87555.75,279522.68,94254.45,n.d.,594.4,594.4,465866.06,12733.07,531612.8,n.d.,1573.78,120856.27,1804.75,119045.51,347371.75,2.0,-29690.03,6.01,101587.44,261492.32,134288.139,0,30476.78,n.d.,116274.56,n.d.,50932.28999999999,38199.22,49952.91,184241.05,38199.22,979.38,n.d.,101587.44,395797.24,395797.24,156124.8
2015,16261.8,74157.18000000001,321208.62,18030.36,77436.959,317889.61,n.d.,171851.28,10142.96,92841.56,102984.519,4171.81,101865.91,314519.06,69692.45,n.d.,2317.3900000000003,2317.3900000000003,429834.0,23253.61,521602.71,n.d.,23.44,126695.17,n.d.,126689.16,317889.61,1.0,-31036.129999999997,6.01,145185.53,296488.7,110871.54,0,42965.75,16261.8,117122.93,n.d.,90547.61,67294.0,92841.56,203713.1,67294.0,-2293.9500000000003,n.d.,145185.53,447903.79,447903.79,172700.41
2014,36809.59,76374.45999999999,327045.09,18030.36,88735.39,289141.81,20000,177025.52,5305.13,111629.13,116934.26,13543.71,114194.769,277725.06,53854.310000000005,n.d.,1557.96,1557.96,399751.57,27810.09,480538.02,n.d.,1169.1799999999998,136838.13,n.d.,136832.12,289141.81,1.0,-20607.64,6.01,136475.86,259694.7,79767.08,0,52974.11,36809.59,149348.57,n.d.,111240.35,83430.26,111629.13,191396.21000000002,83430.26,-388.78,n.d.,136378.81999999998,463883.22,463883.22,171957.75
