Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,508418.83,1551288.13,60101.21,645823.59,7424566.48,200000,39779.48,292163.07,488955.54,781118.61,1117307.43,648668.0789999999,3812470.66,1157538.56,n.d.,20630.9,20630.9,10169143.43,114801.75,10249100.99,n.d.,137.63,3361305.77,n.d.,2935294.88,7424566.48,44.0,-885877.3400000001,426010.89,394201.22,3752369.45,2335578.969,95389.15000000001,296315.259,95389.15,1004734.09,n.d.,468462.27,353660.52,488955.54,2824534.51,353660.52,-20493.27,n.d.,385039.98,4912593.9,4912593.9,1938794.8
2022,197124.88999999998,464726.03,1566099.37,60101.21,599420.98,7038547.9,359061.04,50520.82,246309.43,481329.01,727638.4400000001,943186.84,528981.629,3685284.55,1012181.29,n.d.,10087.28,10087.28,9562393.18,118256.24,9646238.17,n.d.,126.06,3451931.64,n.d.,3046188.84,7038547.9,47.0,-867870.539,405742.8,572391.71,3625183.34,2126361.259,80641.98,231192.52,277766.87,1054979.59,n.d.,471367.79,353111.55,481329.01,2607690.2690000003,353111.55,-9961.22,n.d.,499208.82,5018031.01,5018031.01,1739945.79
2021,n.d.,408734.87,1657585.13,60101.21,502706.41,6087797,900,8681.81,222252.94,376934.52,599187.4600000001,984450.59,584397.53,3421098.3,941907.46,n.d.,6725.27,6725.27,8410432.139999999,89820.31,8474265.94,n.d.,64.53,2369605.2,n.d.,2357605.2,6087797.0,42.0,-845374.02,12000.0,664452.73,3360997.09,2009534.42,68395.70999999999,128061.45,68395.70999999999,537696.3200000001,n.d.,370273.78,280453.47000000003,376934.52,2386468.94,280453.47000000003,-6660.74,n.d.,651783.25,4027190.33,4027190.33,1541159.45
2020,4743.22,401555.89,1252111.08,60101.21,360767.39,4941372.96,46158.28,40166.57,226307.1,187785.34,414092.44,894587.8,533198.48,3142040.94,812936.5,n.d.,10578.23,10578.23,6769782.37,42770.52,6819890.73,n.d.,23.7,2501601.74,n.d.,2489601.74,4941372.96,35.0,-651488.8300000001,12000.0,317356.71,3081939.73,1690732.43,59220.65,99993.84,63963.87,547708.01,n.d.,177230.81,134460.29,187785.34,1878517.77,134460.29,-10554.529,n.d.,297404.94,3753712.82,3753712.82,1227052.64
2019,44532.11,488105.33,1408831.9,60101.21,417505.78,6532005.109999999,437670.579,61830.04,229443.88,263428.78,492872.66,1126344.56,700069.2699999999,3007926.61,1051575.96,n.d.,13354.82,13354.82,8900361.56,62165.84,8947662.41,n.d.,153.78,2675933.88,n.d.,2663933.88,6532005.109999999,55.0,-871208.6789999999,12000.0,220657.3,2947825.4,2152228.52,50627.98,55903.17,95160.09,981679.08,n.d.,250227.74,188061.9,263428.78,2415657.3,188061.9,-13201.039,n.d.,213106.63,4084765.78,4084765.78,1544602.4
2018,169421.74000000002,337081.8,1261819.97,60101.21,306081.98000000004,6065849.84,583838.03,42806.87,227474.09,125789.76,353263.85,1100386.55,806111.62,2819864.71,1004436.07,n.d.,20784.1,20784.1,8284398.819999999,26621.78,8327138.74,n.d.,224.01,2787144.45,n.d.,2775144.45,6065849.84,49.0,-903588.98,12000.0,118626.55,2759763.5,2135499.139,39022.17,99735.97,208443.91,1020655.8,n.d.,105229.67,78607.89,125789.76,2261288.9,78607.89,-20560.09,n.d.,111089.55,4048964.42,4048964.42,1357923.93
2017,226566.88999999998,497729.05,1360179.26,60101.21,225700.31,5819842.02,746641.66,108172.2,233319.69,7985.8,241305.49,1182723.03,793166.1789999999,2745812.07,961251.14,n.d.,28303.219,26070.69,7901506.319999999,-12441.8,7944608.359999999,n.d.,256.24,3002599.98,n.d.,2960843.05,5819842.02,47.0,-922209.71,41756.93,69284.03,2685710.86,2116780.54,31030.93,114998.64,257597.82,1359369.35,n.d.,-20061.18,-7619.38,7985.8,2124766.34,-7619.38,-28046.979,n.d.,61443.850000000006,4362779.24,4362779.24,1200580.3390000002
2016,436961.89,392033.73000000004,1955443.32,60101.21,283031.33900000004,4362084.83,1302541.93,333286.06,159957.07,180433.87,340390.94,1442395.3,1383647.63,2781791.62,885853.7899999999,n.d.,25734.31,25734.31,6393796.71,32374.06,6448913.51,n.d.,748.7700000000001,3154663.13,n.d.,3119686.37,4362084.83,46.0,-860583.9500000001,34976.759,179761.96,2721690.41,1906394.81,34324.659999999996,162452.62,471286.55,1857028.28,n.d.,155448.33,123074.269,180433.87,2086828.6790000002,123074.269,-24985.54,n.d.,154573.59,5110106.45,5110106.45,1226993.5
2015,261309.5,215436.64,1584312.96,60101.21,322712.70900000003,4883057.25,104388.42,91854.05,136722.59,254299.11,391021.699,864533.31,740950.72,2658717.35,876296.22,n.d.,19125.87,19125.87,7104088.74,50050.45,7161814.18,n.d.,867.3299999999999,1844911.27,n.d.,1821934.51,4883057.25,40.0,-1011439.01,22976.76,627925.6,2598616.14,2024457.82,31915.809999999998,157456.51,293225.31,477281.57,n.d.,236040.57,185990.12,254299.11,2278756.9299999997,185990.12,-18258.539,n.d.,608427.8,3429224.23,3429224.23,1268185.25
2014,365697.92000000004,215022.44,1464013.88,60101.21,309468.66,3694397.03,120371.95,145751.29,143597.13,217554.09,361151.22,896415.53,827144.38,2476194.6,743017.7799999999,n.d.,13894.75,13894.75,5467407.430000001,40427.45,5513269.479,n.d.,2639.64,1796388.96,n.d.,1776418.2,3694397.03,36.0,-714703.4500000001,19970.76,421847.06,2416093.389,1601318.36,36388.37,46727.56,402086.29,382121.95,n.d.,206298.98,165871.53,217554.09,1818872.449,165871.53,-11255.11,n.d.,410011.79,3260402.84,3260402.84,1106808.64
