Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,316.86,n.d.,1425894.53,99167.0,346295.31,781104.8600000001,n.d.,781579.97,88409.27,281973.55,370382.82,n.d.,781579.97,1617779.76,862644.21,n.d.,3.97,3.9699999999999998,2142846.88,41508.53,2188317.12,n.d.,17424.99,352275.69,4410.35,326090.34,781104.8600000001,17,-174185.23,21775,644314.56,1518612.76,1125238.71,0,160073.6,316.86,160073.6,n.d.,299394.57,257886.04,281973.55,1407212.26,257886.04,17421.02,n.d.,644298.7799999999,1778170.22,1778170.22,1250452.02
2022,2006.33,n.d.,1463107.49,99167.0,304468.83900000004,1081820.21,n.d.,667451.43,68040.51,315191.14,383231.65,n.d.,667451.43,1355524.92,751042.8,n.d.,26.98,26.979999999999997,2396172.46,78767.78,2419005.7,n.d.,31.95,150703.41999999998,-0.02,145203.44,1081820.21,16,-202911.04,5500,795656.06,1256357.92,1021994.3500000001,0,256279.66,2006.33,256279.66,n.d.,315196.11,236428.33,315191.14,1337185.49,236428.33,4.969,n.d.,795656.06,1613810.91,1613810.91,1134306.4
2021,n.d.,n.d.,1104217.03,99167.0,178295.039,785422.25,n.d.,428366.0,71696.18000000001,144219.29,215915.47,n.d.,428366.0,1119096.59,649713.47,n.d.,684.72,684.72,1887305.6,37336.76,1905867.48,n.d.,401.05,224141.7,32.759,218608.94,785422.25,17,-254816.29,5500,675851.03,1019929.59,976225.9400000001,0,209262.139,n.d.,209262.14,n.d.,143935.62,106598.859,144219.29,1120445.23,106598.859,-283.67,n.d.,675851.03,1328358.73,1328358.73,866029.99
2020,15690.12,n.d.,1135395.92,99167.0,65711.37000000001,607813.64,n.d.,532828.5789999999,87853.73999999999,-59481.86,28371.88,n.d.,532828.5789999999,1262497.73,855698.2799999999,n.d.,58.61,58.61,1708356.34,-7380.79,1729983.99,n.d.,30017.31,317049.29000000004,1114.48,288658.4,607813.64,19,-238100.19,27276.41,602567.3400000001,1163330.73,1181652.21,0,174257.36,15690.12,174257.36,n.d.,-29523.16,-22142.37,-59481.86,1122170.35,-22142.37,29958.7,n.d.,602567.3400000001,1452445.21,1452445.21,914087.47
2019,15690.12,n.d.,1219284.87,99167.0,75817.72,874624.23,n.d.,592751.16,74063.45999999999,1882.16,75945.62000000001,n.d.,592751.16,1284640.1,872573.2799999999,n.d.,0.0,n.d.,2128318.63,584.75,2148964.159,n.d.,456.85,349421.62,2196.2,347225.42000000004,874624.23,17,-325821.02900000004,n.d.,626533.71,1185473.1,1272457.77,0,268376.27,15690.12,268376.27,n.d.,2339.01,1754.26,1882.16,1274339.929,1754.26,456.85,n.d.,626533.71,1568706.49,1568706.49,948975.75
2018,15390.12,n.d.,1220882.31,99167.0,159983.99,1021615.1,n.d.,675892.66,84824.59,99619.16,184443.75,n.d.,675892.66,1282885.84,782185.07,n.d.,0.0,n.d.,2254271.74,25053.14,2284748.64,n.d.,593.38,291701.08,2737.06,288964.02,1021615.1,18,-296504.72000000003,n.d.,544989.65,1183718.8390000002,1163514.3800000001,0,214307.43,15390.12,214307.43,n.d.,100212.54,75159.4,99619.16,1263133.54,75159.4,593.38,n.d.,544989.65,1512583.39,1512583.39,967222.2
2017,19390.12,n.d.,1082999.22,99167.0,155386.72,932035.81,n.d.,687776.15,57590.69,128901.52,186492.21,n.d.,687776.15,1207726.44,709975.76,n.d.,0.0,n.d.,2124372.91,32598.68,2145053.5,n.d.,1493.1899999999998,368781.25,-0.01,368781.26,932035.81,18,-316549.72000000003,n.d.,395223.07,1108559.44,1084116.1700000002,0,224663.91,19390.12,224663.91,n.d.,130394.71,97796.03,128901.52,1213017.6900000002,97796.03,1493.1899999999998,n.d.,395223.07,1451780.47,1451780.47,897961.159
2016,19390.12,n.d.,1186522.75,99167.0,179777.79,1011401.48,n.d.,766359.7699999999,37243.91,189129.81,226373.72,n.d.,766359.7699999999,1109930.41,745516.99,n.d.,532.7700000000001,532.7700000000001,2161502.35,47511.3,2187631.03,n.d.,1448.14,243084.85,n.d.,240584.85,1011401.48,18,-204338.84,2500,420162.98000000004,1010763.41,987099.739,0,300287.07,19390.12,300287.07,n.d.,190045.18,142533.87999999998,189129.81,1176229.55,142533.87999999998,915.37,n.d.,420162.98000000004,1429607.6,1429607.6,973338.85
2015,87320.22,n.d.,1200401.1,99167.0,309875.41000000003,1064557.62,7223.38,825853.3200000001,40260.48,354785.18,395045.66,n.d.,825853.3200000001,967396.53,693046.99,n.d.,1056.9,1056.9,2183143.65,86550.01,2203788.64,n.d.,2436.66,176096.53,n.d.,173596.53,1064557.62,19,-51138.369,2500,374547.78,868229.53,784445.8400000001,0,314557.5,87320.22,321780.88,n.d.,356164.94,269614.93000000005,354785.18,1139231.02,269614.93000000005,1379.759,n.d.,374547.78,1376497.63,1376497.63,1090529.309
2014,107278.45,n.d.,840724.49,99167.0,104401.58,1031403.69,17769.08,750672.71,107259.88,-865.3399999999999,106394.54,n.d.,750672.71,697781.6,706645.93,n.d.,3093.3500000000004,3093.3500000000004,2087503.21,-952.77,2108807.98,n.d.,147.62,268811.62,n.d.,213857.01,1031403.69,19,-264363.82,54954.61,90051.78,598614.6,1078269.6300000001,0,286706.98000000004,107278.45,304476.06,n.d.,-3811.07,-2858.3,-865.3399999999999,1077404.29,-2858.3,-2945.73,n.d.,90051.78,1109536.11,1109536.11,813188.09
