Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,19445653.66,1920141.34,6976002.46,277511.75,10383524.43,8936515.639999999,2590749.2800000003,515011.22,2855105.83,10168001.23,13023107.06,252004.44999999998,-1153125.6700000002,49625888.8,15631715.3,n.d.,1067918.12,1067918.12,54471607.220000006,2102505.23,54950943.3,n.d.,530840.72,71875342.51,94689.8,38047225.03,8936515.639999999,482.0,-17359605.299,33733427.68,6208986.79,49348377.05,35846426.43,0,5268911.89,19445653.66,9779802.51,n.d.,9630923.83,7528418.6,10168001.23,46014427.660000004,7528418.6,-537077.4,n.d.,483986.79,78851344.97,78851344.97,29185663.08
2022,23150187.27,1997539.3800000001,3384311.86,277511.75,10691730.93,7441163.39,2595187.9499999997,1204916.91,2975730.93,11075547.7,14051278.629,157673.97999999998,-634948.49,42108301.03,13403069.38,n.d.,853867.14,853867.14,44920590.06,2524811.7,45423171.35,n.d.,19131.14,68128911.34,40222.48,32745919.25,7441163.39,426.0,-10527659.950000001,35342769.61,2021720.97,41830789.28,26906460.259,0,1662007.57,23150187.27,6254734.9,n.d.,10240811.7,7715999.999,11075547.7,37982007.96,7715999.999,-834736.0,n.d.,1421720.97,71513223.2,71513223.2,27473479.15
2021,26419613.84,1413990.85,6633394.149999999,277511.75,3795843.65,4000446.07,8294634.63,835316.9600000001,2767285.81,2061631.08,4828916.89,351641.28,-227032.61,34403131.849999994,6969306.359999999,n.d.,760783.8,760783.7899999999,22322301.62,290900.8,23457483.110000003,n.d.,18611.36,65089886.190000005,94689.8,27332945.81,4000446.07,253.0,-7658813.79,37662250.58,5446435.91,34125620.1,17395405.959,0,1191909.1700000002,26419613.84,10900534.65,n.d.,1319458.64,1028557.839,2061631.08,19457037.04,1028557.839,-742172.4400000001,n.d.,5372533.91,71723280.34,71723280.34,11816834.6
2020,28868037.4,306477.68,1736732.33,277511.75,-1586004.769,2663573.69,1309620.84,975990.0,1836925.14,-3863422.91,-2026497.77,265299.78,934812.1,33385404.84,5883664.609999999,n.d.,759810.3400000001,759810.3400000001,12156638.97,-1181293.94,12477691.36,n.d.,19009.4,62469664.48,91989.8,29099967.25,2663573.69,251.0,-5956950.83,33277707.43,495442.55,33107893.09,13677540.58,31007.309999999998,305848.74,28899044.71,1921947.26,n.d.,-4604223.85,-3422929.909,-3863422.91,9814117.67,-3422929.909,-740800.9400000001,n.d.,401609.54,64206396.81,64206396.81,3876176.24
2019,30143838.51,1684869.11,17168594.87,277511.75,5332317.57,6566235.4,1234682.97,700313.11,2807617.23,3641078.92,6448696.149999999,251462.76,-733093.24,36819165.59,11528398.39,n.d.,768891.91,768891.91,36298428.06,643040.2699999999,36848012.260000005,n.d.,295553.6,53706566.48,n.d.,30212936.85,6566235.4,421.0,-12304682.32,23493629.630000003,16216819.0,36541653.84,26640697.939999998,62374.83,930230.34,30206213.34,3849782.42,n.d.,3167740.61,2524700.34,3641078.92,30281776.86,2524700.34,-473338.31,n.d.,16006726.06,70875161.35,70875161.35,18272648.14
2018,19169515.87,1364492.6700000002,10893475.98,277511.75,6148847.02,6544036.38,1164033.1300000001,3010191.47,2763061.15,4666440.25,7429501.4,158592.36,1804291.16,34305296.08,9905528.5,n.d.,682674.04,682674.04,32724134.71,924026.25,33299999.23,n.d.,326045.91000000003,46503964.8,35986.1,30885802.79,6544036.38,364.0,-9420932.950000001,15582175.91,7724692.149999999,34027784.33,22089522.599,93742.35,1300360.6800000002,19263258.22,3828886.48,n.d.,4309812.119999999,3385785.87,4666440.25,26755962.85,3385785.87,-356628.13,n.d.,7619137.07,57397440.78,57397440.78,17661075.810000002
2017,13144977.44,1096777.46,9636424.54,277511.75,6078115.430000001,5273844.96,n.d.,1131955.11,2703089.61,4771178.03,7474267.64,115315.22,150492.87,30930341.04,8814491.05,n.d.,724097.97,724097.97,32726405.39,956675.04,33212463.43,n.d.,284620.8,36884956.760000005,35986.1,30745475.6,5273844.96,300.0,-11649859.78,6103495.06,8389154.209999999,30652829.29,23167440.439999998,125109.87000000001,1224175.49,13270087.31,2320952.95,n.d.,4331700.859999999,3375025.82,4771178.03,27938618.47,3375025.82,-439477.17,n.d.,8168082.96,46521381.3,46521381.3,16573379.49
2016,15105335.29,1402129.51,9154469.739999998,277511.75,5166248.108999999,5008870.78,n.d.,941936.46,2619897.15,3805008.56,6424905.71,68404.57,-391788.48,27566145.35,8064573.84,n.d.,822015.2799999999,822015.2799999999,29183103.39,722724.57,29642085.3,n.d.,286082.25,37621286.68,35986.1,30937472.52,5008870.78,288.0,-10143734.97,6647828.06,8144128.71,27288633.6,20828205.959999997,156477.38999999998,2545668.88,15261812.68,3947798.39,n.d.,3269075.53,2546350.96,3805008.56,24633214.52,2546350.96,-535933.03,n.d.,7871100.34,46775756.42,46775756.42,14775561.799
2015,15611509.41,613160.88,6860670.25,277511.75,4093031.809,4509229.13,2110920.8189999997,630817.72,2776703.86,3928670.33,6705374.188999999,256757.43,274414.26900000003,25030624.52,8014735.03,n.d.,2347577.57,895980.87,25990482.02,518075.25,26410870.49,n.d.,253310.44,37711362.93,827.8299999999999,29538360.0,4509229.13,279.0,-7181532.14,8172175.1,5973095.1,24753112.769,17972971.03,187844.9,1017972.649,15799354.31,3742054.35,n.d.,1834403.2,1316327.95,3928670.33,21901641.36,1316327.95,-2094267.13,n.d.,5534661.92,44572033.18,44572033.18,13521822.959
2014,17392378.89,621781.42,5258248.51,277511.75,3101567.949,3986509.16,2364837.94,795257.11,2919908.57,2735152.07,5655060.64,333621.32,507097.009,23725127.4,7639727.0,n.d.,2853041.82,1011719.54,23411579.25,-48340.14,23974147.36,n.d.,251208.99,39765769.28,12547.26,30043390.34,3986509.16,270.0,-6692850.56,9709831.68,4129370.08,23447615.65,17252486.130000003,187844.9,732047.24,17580223.79,3718666.6,n.d.,133319.239,181659.379,2735152.07,19987638.2,181659.379,-2601832.83,n.d.,1566476.97,45024017.79000001,45024017.79000001,11704674.349
