Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,776546.97,4134194.8699999996,11357506.87,6671.1,1229488.55,37112062.620000005,3484259.59,6899690.45,475867.89,1250854.73,1726722.62,4306402.59,7071898.168999999,5572117.98,1075731.66,n.d.,304421.69,304421.69,40550481.1,192812.38,40612046.0,n.d.,0,2882513.07,317740.02,1653250.86,37112062.620000005,40.0,-697529.1,911522.19,151413.83,5565446.88,2249128.65,0,272900.53,776546.97,7891354.99,n.d.,946433.04,753620.66,1250854.73,3499983.38,753620.66,-304421.69,n.d.,151413.83,14240019.94,14240019.94,2802454.2800000003
2022,599206.93,1949064.31,8198944.99,6671.1,784422.87,28384814.1,3377383.74,6237270.28,469482.28,553481.14,1022963.42,1898374.67,6186580.64,3918497.32,900004.05,n.d.,182791.91,182791.91,31338930.17,55748.64,31351786.76,n.d.,0,1786861.47,362175.5,1413163.78,28384814.1,37.0,-1044005.19,11522.19,63300.04,3911826.219,2413491.519,0,141654.16,599206.93,5468102.21,n.d.,370689.23,314940.58900000004,553481.14,2966972.66,314940.58900000004,-182791.91,n.d.,674.51,9985806.46,9985806.46,1922967.47
2021,1955355.98,2253675.75,8291315.470000001,6671.1,781542.49,29290363.150000002,2485855.9499999997,6418301.03,449177.15,513899.34,963076.49,1866387.02,6031012.3,3603556.72,861731.55,n.d.,113874.34,113874.34,31649082.43,67659.66,32146923.47,n.d.,0,2178541.75,410460.9,1756558.66,29290363.15,42.0,-1031752.2799999999,11522.19,6627.42,3596885.619,2342660.98,0,171412.81999999998,1955355.98,4910944.52,n.d.,400025.0,332365.33900000004,513899.34,2856560.32,332365.33900000004,-113874.34,n.d.,6627.42,10469857.22,10469857.22,1824808.04
2020,1950316.49,2446005.65,7829104.54,6671.1,660981.149,30501704.279999997,2781670.57,6628104.04,234992.21,591626.25,826618.4600000001,1197818.0,5379916.39,3271191.38,1109937.08,n.d.,89471.15000000001,88571.15000000001,33221914.82,77051.6,33381373.16,n.d.,885.4399999999999,2711135.22,451375.04,2248237.99,30501704.28,42.0,-943113.3400000001,11522.19,3182.5,3264520.2800000003,2288042.63,0,91055.67,1950316.49,5318731.89,n.d.,503040.54,425988.9390000001,591626.25,2879668.8789999997,425988.9390000001,-88585.709,n.d.,3182.5,10540239.76,10540239.76,1936540.98
2019,771541.4400000001,1068453.6290000002,6343618.7,6671.1,346057.949,28319509.74,3344381.659,5655674.2,78626.6,360806.47,439433.069,686842.2,5274062.771000001,2265491.44,1048239.11,n.d.,58741.03,58740.94,30293012.53,35720.03,30293022.57,n.d.,1085.94,1578720.28,504723.68,1064975.409,28319509.74,45.0,-485840.649,9021.19,1102.3,2258820.339,1612706.36,0,472470.81,771541.4400000001,4885306.1,n.d.,303151.38,267431.349,360806.47,1973512.83,267431.349,-57655.09,n.d.,1102.3,7922338.98,7922338.98,1488758.03
2018,596269.7799999999,448330.13999999996,4727813.78,6010.0,218379.63,18116609.71,3096517.63,3777643.87,45129.33,261312.74,306442.07,923920.15,4253233.88,998060.09,371377.85,n.d.,34344.51,34344.51,19225890.29,53750.310000000005,19225890.29,n.d.,32.379999999999995,587726.99,666.76,580540.04,18573821.78,13.0,-431460.66,6520.1900000000005,26249.76,992050.09,847967.8400000001,0,176363.13,596269.7799999999,3721210.9,n.d.,227000.61,173250.3,261312.74,1109280.5790000001,173250.3,-34312.13,n.d.,6359.76,5315540.7700000005,5315540.7700000005,677852.2989999999
2017,n.d.,1746206.55,2598860.73,6010.0,119284.92,8985439.02,404463.22000000003,2116593.62,49534.42,103634.9,153169.31999999998,466708.08,837095.15,824809.7899999999,291678.13,n.d.,12552.11,12552.1,9727643.31,21618.02,9741589.09,n.d.,285.72999999999996,426726.24,1608.08,418597.97,8962784.52,6.0,-311302.62,6520.1900000000005,15559.03,818799.7899999999,652515.1699999999,0,50107.41,n.d.,2200777.18,n.d.,91368.52,69750.5,103634.9,756150.07,69750.5,-12266.38,n.d.,15559.03,3025586.97,3025586.97,445133.17
2016,105000.18000000001,1084355.99,1965678.13,6010.120000000001,94377.98,8407355.850000001,491391.79000000004,1532784.48,55133.98,65809.43999999999,120943.42,389109.58,837538.07,755059.2899999999,318087.32,n.d.,19361.480000000003,19361.44,9085579.27,7942.34,9100445.549,n.d.,738.38,487514.52,2543.04,463202.97,8407355.850000001,9.0,-254058.96,21768.51,43784.07,749049.1699999999,627280.26,0,17385.4,105000.18000000001,1593133.1800000002,n.d.,47186.34,39244.0,65809.43999999999,693089.6989999999,39244.0,-18623.1,n.d.,43784.07,2453192.65,2453192.65,439769.08
2015,201944.55,972106.64,1606432.93,6010.120000000001,122118.14,10998965.98,212571.24000000002,1182215.82,59467.380000000005,99306.09,158773.47,404538.45,614647.63,715815.2899999999,335669.11,n.d.,21875.69,21875.67,11771151.55,16570.09,11785848.44,n.d.,1790.45,536031.0789999999,3478,504893.06,10998965.98,10.0,-292439.88,27660.02,19678.66,709805.1699999999,687576.37,0,40026.28999999999,201944.55,1224704.1700000002,n.d.,79220.85,62650.76,99306.09,786882.4600000001,62650.76,-20085.239,n.d.,19678.66,2142464.009,2142464.009,496233.009
2014,132077.15,723891.03,1491764.48,6010.120000000001,127931.599,14708596.39,501410.58,989586.66,76570.26,133593.81999999998,210164.08,409406.93000000005,675102.56,668164.53,371317.32,n.d.,50560.71,50560.71,15610543.69,32340.36,15625212.53,n.d.,668.59,589865.3200000001,n.d.,556544.41,14708596.39,12.0,-335134.74,33320.91,92770.89,662154.409,783022.3200000001,0,56086.509,132077.15,1281388.12,n.d.,83701.7,51361.34,133593.81999999998,916616.139,51361.34,-49892.12,n.d.,92770.89,2081629.8,2081629.8,582149.99
2013,122191.89,774272.71,1573315.05,6010.120000000001,137297.23,17735606.55,578369.09,1055758.27,86314.05,154370.72,240684.77,505254.43000000005,786739.99,631993.05,412861.15,n.d.,69342.13,69342.13,18794211.53,34045.77,18808321.98,n.d.,0.36000000000000004,632322.87,n.d.,625802.6799999999,17735606.55,13.0,-419169.51,6520.1900000000005,12302.35,625982.93,918344.71,0,98811.18,122191.89,1451452.98,n.d.,85028.95,50983.18,154370.72,1072715.429,50983.18,-69341.77,n.d.,12302.35,2205637.92,2205637.92,653546.2799999999
