Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,509422.33999999997,9237125.57,19821068.6,6000000.0,5730044.119999999,50767083.44,n.d.,10476513.9,1751954.2,5107826.859999999,6859781.06,6867902.29,8107290.619999999,20305935.78,6776828.63,n.d.,724.64,n.d.,72821206.11,1165564.77,72906388.14,n.d.,36552.47,12756870.43,241286.35,12502919.99,51644476.87,157.0,-8502695.01,12664.09,2476652.41,14305935.78,17031477.84,35151.810000000005,2490303.53,544574.15,11727429.1,n.d.,5143654.69,3978089.92,5107826.859999999,22139304.7,3978089.92,35827.83,n.d.,2476652.41,32577939.03,32577939.03,13672437.52
2022,374924.67,10736757.82,17275791.02,6000000.0,2994258.74,48624872.32,n.d.,9659230.3,1326027.34,2087371.16,3413398.5,6002627.06,4925099.539,17852631.810000002,5858794.73,n.d.,2051.11,n.d.,66265742.16,423921.75,66399595.849,n.d.,6833.1,12503420.0,292120.88,12182965.89,49723762.53,143.0,-8502530.3,28333.23,1613933.66,11852631.81,15687352.370000001,43890.24,771006.48,418814.91000000003,11507764.3,n.d.,2092153.15,1668231.4,2087371.16,17774723.529,1668231.4,4781.99,n.d.,1613933.66,29779211.02,29779211.02,9276975.22
2021,210362.25,7614716.78,16870993.25,6000000.0,4967544.41,33692784.83,n.d.,8915263.55,1293909.07,4742423.359999999,6036332.430000001,4244755.23,5545302.0,16916736.7,5546611.91,n.d.,0,n.d.,51239314.94,1099729.61,51283450.66,n.d.,30941.59,8862640.25,298443.91000000003,8448199.027999999,33825951.46,148.0,-6007721.49,115997.31,3710974.47,10916736.7,12848242.469,53830.450000000004,937987.32,264192.7,8552704.1,n.d.,4773364.95,3673635.34,4742423.359999999,17590665.830000002,3673635.34,30941.59,n.d.,3710974.47,25733633.5,25733633.5,11613885.93
2020,n.d.,6037784.39,12739576.98,6000000.0,3798135.22,31402188.650000002,n.d.,7304693.930000001,1211520.94,3405084.21,4616605.149999999,3344478.63,4611388.168999999,14275615.63,5072817.3,n.d.,47282.880000000005,15120.84,46051845.8,776841.99,46105766.919,n.d.,5654.94,8782617.6,226027.38,8452928.83,30604554.68,140.0,-5014155.819999999,103661.39,2090404.42,8275615.63,11298494.059,65144.99,1143649.57,65144.99,7181433.96,n.d.,3363456.27,2586614.2800000003,3405084.21,14703578.269,2586614.2800000003,-41627.94,n.d.,2090404.42,21522194.58,21522194.58,9662915.35
2019,n.d.,8657357.28,14734834.3,6000000.0,3406877.83,39629489.98,n.d.,8964085.9,1085188.03,2949760.93,4034948.96,4796901.99,5103630.609999999,13722556.2,5375903.49,n.d.,0,n.d.,55201007.5,639673.5,55275466.24,n.d.,11602.369,8702110.79,180732.82,8430052.5,39794007.41,143.0,-6235123.81,91325.47,973846.41,7722556.2,12696215.329,76806.39,980225.22,76806.39,9637582.5,n.d.,2961363.3,2321689.8,2949760.93,15645976.26,2321689.8,11602.369,n.d.,973846.41,23436945.09,23436945.09,9422454.82
2018,n.d.,7539757.3,13867618.12,6000000.0,4554735.84,38253281.55,n.d.,8068007.72,982190.71,4685700.87,5667891.58,4295148.72,4823399.14,13084421.25,5327266.819999999,n.d.,2997.48,n.d.,55601002.0,1121463.55,55696995.29000001,n.d.,11305.29,8027106.5,109429.96,7834204.319999999,39723866.86,142.0,-6448555.34,83472.22,1504461.6800000002,7084421.25,12758012.870000001,88467.79,1182078.28,88467.79,8721835.58,n.d.,4694008.68,3572545.13,4685700.87,17443713.74,3572545.13,8307.81,n.d.,1504461.6800000002,21894724.62,21894724.62,11003466.21
2017,n.d.,5249335.73,12448997.89,6000000.0,3800298.96,23858942.439999998,n.d.,5758903.39,760562.53,4020502.87,4781065.4,4668654.2700000005,5178221.930000001,10328130.43,4351541.8,n.d.,59144.42,2120.61,36942780.73,948895.54,37451040.519,n.d.,27273.519,6879386.42,68454.29,6711798.35,23907407.16,115.0,-4459490.879,99133.78,2021440.23,4328130.430000001,9571595.208999999,27695.68,3723222.469,27695.68,8972558.2,n.d.,3988631.97,3039736.43,4020502.87,13592098.079,3039736.43,-31870.9,n.d.,2021440.23,19328384.31,19328384.31,9102856.909
2016,n.d.,4893004.930000001,19477337.08,6000000.0,4590362.63,21332276.87,n.d.,5040543.02,821179.87,4855672.25,5676852.119999999,1571461.89,1718999.979,18993396.75,4313664.74,n.d.,75129.35,44128.83,35076377.809999995,1178243.03,35646139.64,n.d.,166882.88999999998,5433775.38,25941.51,4086371.26,21473714.05,113.0,-4323345.909,1321462.6090000002,12865332.17,12993396.75,9458190.52,29839.71,994871.07,29839.71,5887876.0,n.d.,4947425.79,3769182.76,4855672.25,14313862.77,3769182.76,91753.54,n.d.,8860771.850000001,24911112.46,24911112.46,10126399.23
2015,n.d.,5054961.22,19249448.0,6000000.0,3500791.299,21796441.21,n.d.,5023694.859999999,802628.3200000001,3365321.72,4167950.04,1298423.86,1267157.5,18229216.74,4176368.71,n.d.,175710.9,39921.65,33374490.65,1057163.55,33988738.089,n.d.,565715.71,5320535.95,34368.13,3443692.36,21700263.07,111.0,-3847978.13,1842475.46,12927329.28,12229216.739999998,8826975.16,31983.74,1253822.25,31983.74,6308783.470000001,n.d.,3755326.53,2698162.979,3365321.72,12192296.879,2698162.979,390004.809,n.d.,3206796.36,24569983.95,24569983.95,8774245.208999999
2014,n.d.,4344983.03,16705182.55,6000000.0,2758396.489,20154611.5,n.d.,5153453.98,885683.38,2079604.75,2965288.13,1597519.37,2405990.32,15536056.51,3566266.43,n.d.,28956.420000000002,28956.420000000002,29800994.12,814176.8500000001,30259071.6,n.d.,636241.629,4654130.67,25997.7,2767795.86,20381709.76,102.0,-3572905.54,1860337.11,9954209.2,9536056.51,8024855.35,37965.82,1440307.8590000002,37965.82,5785290.89,n.d.,2686889.96,1872713.109,2079604.75,10104460.1,1872713.109,607285.2089999999,n.d.,1560382.74,21359313.22,21359313.22,7167796.19
