Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,1585.52,200015.59,3010.0,n.d.,193203.69,n.d.,52504.32,n.d.,121517.45,121517.45,n.d.,50918.8,116343.18,1053880.49,n.d.,417.24,417.24,1386655.21,13624.25,1386655.21,n.d.,0.0,865.4599999999999,n.d.,n.d.,193203.69,33.0,-18053.58,865.4599999999999,147511.27000000002,113333.18,1071934.07,0,82952.35,n.d.,84537.87000000001,n.d.,121100.21,107475.96,121517.45,1193451.52,107475.96,-417.24,n.d.,147511.27000000002,200881.05,200881.05,1175397.94
2022,n.d.,2094.13,124712.27,3010.0,n.d.,140601.44,n.d.,78800.04,n.d.,17504.09,17504.09,n.d.,76705.909,8867.220000000001,928714.22,n.d.,0.0,n.d.,1098596.42,4376.02,1099323.16,n.d.,0.0,14489.71,n.d.,n.d.,140601.44,31.0,-12503.41,14489.71,45912.23,5857.219,941217.63,0,128240.63,n.d.,130334.76,n.d.,17504.09,13128.07,17504.09,958721.72,13128.07,0.0,n.d.,45912.23,139201.97999999998,139201.97999999998,946218.309
2021,n.d.,n.d.,61998.04,3010.0,n.d.,57660.46,n.d.,35096.05,n.d.,-3756.82,-3756.82,n.d.,35096.05,-4260.85,504766.4900000001,n.d.,33.42,33.42,477004.41,n.d.,565385.1,n.d.,0.0,18865.73,n.d.,n.d.,57660.46,20.0,-6714.969999999999,18865.73,26901.99,-7270.85,511481.45900000003,0,85124.62000000001,n.d.,85124.62000000001,n.d.,-3790.24,-3790.24,-3756.82,507724.639,-3790.24,-33.42,n.d.,26901.99,80863.77,80863.77,501009.67
2020,n.d.,n.d.,37364.07,3010.0,n.d.,35736.28,n.d.,529.63,n.d.,-47223.13,-47223.13,n.d.,529.63,-470.61,413783.31,n.d.,84.55,84.55,312651.23000000004,n.d.,415278.42,n.d.,0.0,18865.73,n.d.,n.d.,35736.28,24.0,-12981.96,18865.73,36834.44,-3480.61,426765.27,0,56700.409,n.d.,56700.41,n.d.,-47307.68,-47307.68,-47223.13,379542.13999999996,-47307.68,-84.55,n.d.,36834.44,56229.8,56229.8,366560.18
2019,n.d.,1812.6599999999999,138722.07,3010.0,n.d.,156601.19,n.d.,42216.9,n.d.,2473.78,2473.78,n.d.,40404.24,46837.07,1148539.94,n.d.,0.0,n.d.,1330963.0,620.8299999999999,1330963.0,n.d.,0.0,18865.73,n.d.,n.d.,156601.19,52.0,-23348.09,18865.73,96505.17,43827.069,1171888.03,0,108938.07,n.d.,110750.73,n.d.,2473.78,1852.95,2473.78,1174361.81,1852.95,0.0,n.d.,96505.17,157587.8,157587.8,1151013.72
2018,n.d.,751.74,136782.68,3010.0,n.d.,182886.66,n.d.,23941.06,n.d.,4853.17,4853.17,n.d.,23189.32,44984.12,1141667.47,n.d.,11.25,11.25,1361824.15,1326.34,1366373.819,n.d.,0.0,19486.56,n.d.,n.d.,182886.66,48.0,-36966.52,19486.559,112841.62,41974.119,1178633.99,0,110533.38,n.d.,111285.12,n.d.,4841.92,3515.58,4853.17,1183487.1600000001,3515.58,-11.25,n.d.,112841.62,156269.24000000002,156269.24000000002,1146520.64
2017,n.d.,1607.41,112220.47,3010.0,n.d.,188497.91,n.d.,32590.14,n.d.,3099.3,3099.3,n.d.,30982.73,41468.54,1107084.75,n.d.,0.0,n.d.,1360807.0,774.8299999999999,1360807.0,n.d.,0.0,20812.9,n.d.,n.d.,188497.91,39.0,-62125.04,20812.899,79630.33,38458.539,1169209.79,0,89957.42,n.d.,91564.83,n.d.,3099.3,2324.4700000000003,3099.3,1172309.09,2324.4700000000003,0.0,n.d.,79630.33,133033.37,133033.37,1110184.05
2016,n.d.,10202.46,136557.59,3010.0,n.d.,194800.5,n.d.,69535.42,n.d.,2689.21,2689.21,n.d.,59332.96,39144.07,1279225.34,n.d.,0.0,n.d.,1530235.5,672.3,1530235.5,n.d.,0.0,21587.73,n.d.,n.d.,194800.5,44.0,-53520.450000000004,21587.73,67022.17000000001,36134.069,1332745.79,0,108798.79,n.d.,119001.25,n.d.,2689.21,2016.91,2689.21,1335435,2016.91,0.0,n.d.,67022.17000000001,158145.31999999998,158145.31999999998,1281914.55
2015,n.d.,1669.31,114659.14,3010.0,n.d.,152869.84999999998,n.d.,51548.77,n.d.,1537.12,1537.12,n.d.,49879.46,37127.16,1058405.86,n.d.,0.0,n.d.,1273509.5,501.67,1273509.5,n.d.,254.56,22260.03,n.d.,n.d.,152869.84999999998,39.0,-60696.67,22260.03,63110.37,34117.159,1119102.53,0,98122.7,n.d.,99792.01,n.d.,1791.6799999999998,1290.01,1537.12,1120639.6500000001,1290.01,254.56,n.d.,63110.37,136919.17,136919.17,1060197.54
2014,n.d.,40500.93,117301.72,3010.0,n.d.,115052.64,n.d.,103856.0,n.d.,4775.87,4775.87,n.d.,63355.07,35837.15,988550.41,n.d.,1931.73,1931.73,1170919.5,1975.41,1170919.5,n.d.,7.27,22761.7,n.d.,n.d.,115052.64,35.0,-62540.58,22761.7,13445.72,32827.149,1051090.99,0,63725.34,n.d.,104226.27,n.d.,2851.4100000000003,875.999,4775.87,1055866.86,875.999,-1924.46,n.d.,13445.72,140063.41999999998,140063.41999999998,993333.55
