Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,1307492.81,n.d.,784307.43,120400.0,308797.74,1571011.84,264544.57,561769.8600000001,308090.15,36545.65,344635.8,70228.57,631998.429,484024.66,1576496.52,n.d.,34482.28999999999,34482.28999999999,4036229.15,1355.77,4114366.449,n.d.,0.0,1797132.48,13125.54,1582468.78,1571011.84,34,-622222.2899999999,201538.159,152309.0,363624.66,2506808.96,24289.420000000002,501088.449,1331782.23,765633.02,n.d.,2063.36,707.59,36545.65,2543354.609,707.59,-34482.28999999999,n.d.,152309.0,2581439.91,2581439.91,1921132.32
2022,1015694.19,n.d.,743778.6799999999,120400.0,268273.55,1747147.74,141133.97999999998,536859.4,201686.6,80856.07,282542.67,7175.92,544035.3200000001,475724.88,1309895.01,n.d.,23069.28,23069.28,3687958.54,23087.34,3840980.47,n.d.,31887.5,1352109.14,4157.35,1346375.82,1747147.74,28,-501395.05,1575.97,199743.36,355324.88,2012976.6590000002,22672.39,440662.38,1038366.58,581796.3600000001,n.d.,89674.29,66586.95,80856.07,2093832.73,66586.95,8818.220000000001,n.d.,199743.36,2095887.82,2095887.82,1624325.1800000002
2021,971578.659,n.d.,780318.2699999999,120400.0,180967.15,1355795.1300000001,194147.13,571720.7,172908.81999999998,32892.489,205801.309,90188.99,661909.69,409137.93000000005,1181777.52,n.d.,21671.05,21671.05,3242490.19,3163.11,3244530.19,n.d.,0.0,1198953.93,5877.55,1189191.12,1355795.13,29,-501156.23000000004,3885.26,118408.58,288737.93000000005,1855842.57,15583.97,388824.51,987162.63,582971.64,n.d.,11221.44,8058.33,32892.489,1888735.06,8058.33,-21671.05,n.d.,118408.58,1979272.2,1979272.2,1387578.83
2020,954648.81,n.d.,779580.2799999999,120400.0,170065.43,1415578.54,232961.5,526416.439,136052.91999999998,65568.38,201621.3,46152.09,572568.529,429079.6,1131145.1900000002,n.d.,19960.03,19960.03,3286527.31,11595.84,3288027.31,n.d.,0.0,1196452.28,n.d.,1194200.6900000002,1415578.54,31,-539682.2799999999,2251.589,207011.75,308679.6,1806880.3900000001,10187.19,349155.45900000003,964836,582116.9600000001,n.d.,45608.350000000006,34012.509,65568.38,1872448.77,34012.509,-19960.03,n.d.,207011.75,1976032.56,1976032.56,1332766.49
2019,731480.88,n.d.,642326.6799999999,120400.0,165280.44999999998,1591492.22,245051.919,458693.89,134524.09,63561.1,198085.19,149178.01,607871.9,423067.09,1134816.42,n.d.,20705.82,20705.82,3487020.68,12098.92,3489248.68,n.d.,0.0,1137210.49,n.d.,1134921.09,1591492.22,31,-564854.8500000001,2289.3990000000003,34454.78,302667.08900000004,1834195.36,6601.41,373335.87,738082.2899999999,618387.7899999999,n.d.,42855.28,30756.36,63561.1,1897756.46,30756.36,-20705.82,n.d.,34454.78,1779537.1700000002,1779537.1700000002,1332901.61
2018,703073.09,n.d.,675802.19,120400.0,193165.04,1699223.6900000002,213421.40899999999,535573.01,139246.51,88903.47,228149.98,107374.14,642947.15,420310.73,1078157.25,n.d.,16332.1,16332.1,3428283.93,18652.84,3430399.26,n.d.,0.0,1051473.34,n.d.,1049895.1790000002,1699223.6900000002,29,-424868.33999999997,1578.159,32855.04,299910.73000000004,1642272.1,4951.9,385518.399,708024.99,598939.81,n.d.,72571.37000000001,53918.53,88903.47,1731175.57,53918.53,-16332.1,n.d.,32855.04,1727275.53,1727275.53,1306307.23
2017,739432.9500000001,n.d.,720639.76,120400.0,202056.89,1553495.58,238428.03,506885.5,133476.37999999998,108701.72,242178.1,49307.62,556193.12,394392.2,992011.77,n.d.,14517.75,14517.75,3161133.36,25614.88,3166236.869,n.d.,11.42,1049534.99,n.d.,1048519.02,1553495.58,28,-378551.42000000004,1015.97,164446.64,273992.2,1504039.57,0,397921.57,739432.9500000001,636349.6,n.d.,94195.39,68580.51,108701.72,1612741.289,68580.51,-14506.33,n.d.,164446.64,1770174.75,1770174.75,1234201.29
2016,297637.52,n.d.,546334.2799999999,120400.0,167864.38999999998,1405637.98,111651.63,466189.47,108320.11,88408.11,196728.22,25320.18,491509.649,353811.69,932557.76,n.d.,7969.13,7969.13,2868671.54,20895.45,2868671.54,n.d.,0.7500000000000001,787097.72,n.d.,779014.12,1405637.98,28,-333747.58,8083.6,54824.63,233411.69,1374625.45,2514.06,567817.1,300151.58,679468.73,n.d.,80439.73,59544.28,88408.11,1463033.56,59544.28,-7968.38,n.d.,54824.63,1333432.0,1333432.0,1129286.73
2015,165438.4,n.d.,548293.8600000001,120400.0,174166.88999999998,1351857.1800000002,49936.259,428451.32,93876.38,106379.22,200255.6,22870.59,451321.91,322267.41000000003,857975.8400000001,n.d.,9458.75,9458.75,2826088.72,31356.43,2828088.72,n.d.,14726.47,339423.03,n.d.,334467.02,1351857.1800000002,26,-418000.1,4956.01,96971.95,201867.409,1369852.3190000001,4309.13,345765.69,169747.53,395701.95,n.d.,111646.94,80290.51,106379.22,1476231.54,80290.51,5267.719,n.d.,96971.95,887716.89,887716.89,1072957.91
2014,137447.46,n.d.,519674.98,120400.0,89297.709,1563636.44,29439.62,400130.84,68570.4,40658.99,109229.389,31988.63,432119.47,269976.9,832017.13,n.d.,10804.21,10804.21,3036656.82,10095.89,3036656.82,n.d.,968.42,281408.83,n.d.,272470.94,1563636.44,25,-531773.8600000001,8937.89,87555.51,149576.9,1432361.3900000001,7142.95,357076.88,144590.41,386516.5,n.d.,30823.2,20727.31,40658.99,1473020.3800000001,20727.31,-9835.789,n.d.,87555.51,801083.81,801083.81,942214.94
