Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,3838,17789.920000000002,378854.96,180300.0,39515.810000000005,175897,n.d.,58341.78999999999,10125.94,38168.66,48294.6,43886.37,84438.23999999999,615144.53,135853.97,n.d.,0,n.d.,405961.26,8778.79,405961.26,n.d.,0,281409.04,n.d.,281409.04,175897.0,3,-45915.689999999995,n.d.,276626.8,434844.53,191895.6,0,23491.55,3838,41281.47,n.d.,38168.66,29389.87,38168.66,230064.26,29389.87,0.0,n.d.,276626.8,660264.0,660264.0,184148.57
2022,3838,29680.02,372783.09,180300.0,37221.61,294134.9,n.d.,148573.22,10847.95,35164.87,46012.82,54409.67,173302.87,585754.66,163343.93,n.d.,0,n.d.,547772.99,8791.210000000001,552772.99,n.d.,0,291534.98000000004,n.d.,291534.98000000004,294134.9,4,-49281.340000000004,n.d.,169800.2,405454.66,223473.22,0,45045.39,3838,74725.40999999999,n.d.,35164.87,26373.66,35164.87,258638.08899999998,26373.66,0.0,n.d.,169800.2,664318.07,664318.07,209356.75
2021,3838,18286.51,288785.32,180300.0,27130.91,182239.1,n.d.,54450.08,9811.55,23114.960000000003,32926.509,119892.3,156055.87,559381.0,138538.91999999998,n.d.,22.47,22.47,384139.34,5773.13,409903.02,n.d.,0,302382.93000000005,n.d.,302382.93000000005,182239.1,4,-56198.49,n.d.,114442.94,379081.0,204548.96,0,9662.740000000002,3838,27949.25,n.d.,23092.49,17319.36,23114.960000000003,227663.91999999998,17319.36,-22.47,n.d.,114442.94,591168.25,591168.25,171465.43
2020,4961.5,28345.47,319565.55,180300.0,26873.78,195993.1,n.d.,99081.88,8009.469999999999,25152.41,33161.879,87051.11,157787.52,542061.64,123233.74,n.d.,0,n.d.,415547.53,6288.1,415547.53,n.d.,0,283809.7,n.d.,283809.7,195993.1,3,-63158.810000000005,n.d.,133432.56,361761.64,194402.02,0,28006.64,4961.5,56352.11,n.d.,25152.41,18864.309,25152.41,219554.43,18864.309,0.0,n.d.,133432.56,603375.25,603375.25,156395.62
2019,11873.5,30602.79,296552.31,180300.0,26403.22,202104.41999999998,n.d.,121645.98,8009.469999999999,24685.71,32695.18,102589.71,193632.9,523197.33,165055.05,n.d.,160.70999999999998,160.70999999999998,460040.69,6131.25,460040.69,n.d.,0,291819.17,n.d.,291819.17,202104.42,3,-60186.04,n.d.,72316.62000000001,342897.33,233250.56,0,22697.86,11873.5,53300.65,n.d.,24525.0,18393.75,24685.71,257936.27000000002,18393.75,-160.70999999999998,n.d.,72316.62000000001,588371.48,588371.48,197750.229
2018,18785.5,37566.05,288982.33,180300.0,24160.989,169203.18,n.d.,106536.67,8009.469999999999,21845.99,29855.460000000003,116217.9,185188.52,504803.58,144278.17,n.d.,310.64000000000004,310.64000000000004,400164.73,5383.83,400164.73,n.d.,0,299828.64,n.d.,299828.64,188203.18,4,-56827.92,n.d.,66227.759,324503.58,209115.56,0,27655.84,18785.5,65221.89,n.d.,21535.35,16151.519,21845.99,230961.55,16151.519,-310.64000000000004,n.d.,66227.759,588810.97,588810.97,174133.63
2017,26282.09,59278.28999999999,289089.26,180300.0,23457.09,145263.62,n.d.,112960.67,7287.45,22249.72,29537.17,99152.9,152835.28,488652.06,108711.44,n.d.,690.2,690.2,339490.06,5389.88,339490.06,n.d.,0,304950.06,n.d.,304950.06,145263.62,3,-55977.83,n.d.,76975.69,308352.06,171976.72,0,19826.88,26282.09,79105.17000000001,n.d.,21559.52,16169.64,22249.72,194226.44,16169.64,-690.2,n.d.,76975.69,594039.3200000001,594039.3200000001,138248.61000000002
2016,33194.089,71793.85,258688.81,180300.0,27014.47,185509.33,n.d.,103062.54,12582.65,20526.43,33109.08,83917.9,115186.59,458871.36,105303.49,n.d.,1284,1284,358031.09,4810.610000000001,383664.9,n.d.,0,312237.51,n.d.,312237.51,214229.33,3,-59743,n.d.,71708.37000000001,278571.359,177629.139,0,7067.02,33194.089,78860.87000000001,n.d.,19242.43,14431.82,20526.43,198155.57,14431.82,-1284.0,n.d.,71708.37000000001,570926.3200000001,570926.3200000001,138412.57
2015,39069.57,38420.91,216594.84,180300.0,21505.489,114317.17000000001,n.d.,135224.6,8910.05,16793.920000000002,25703.969,55197.9,152001.59,444439.54,95252.15,n.d.,0,n.d.,281500.0,4198.48,310719.84,n.d.,0,324820.16,n.d.,324820.16,114317.17,3,-75446.55,n.d.,26172.34,264139.53900000005,179608.75,0,19484.980000000003,39069.57,57905.89,n.d.,16793.920000000002,12595.439,16793.920000000002,196402.67,12595.439,0.0,n.d.,26172.34,541415.0,541415.0,120956.12
2014,106616.66,34027.28999999999,259346.3,180300.91,16151.95,130763.37900000002,n.d.,124447.04,8910.06,11152.89,20062.949,37337.9,127757.65,431844.1,73950.02,n.d.,1523.62,1523.62,311314.97000000003,2413.96,311314.97000000003,n.d.,26.58,333730.21,n.d.,333730.21,131213.62,2,-86538.62000000001,n.d.,97561.36,251543.19,169398.7,0,20588.460000000003,106616.66,54615.75,n.d.,9655.85,7241.89,11152.89,180551.58899999998,7241.89,-1497.04,n.d.,97561.36,593076.51,593076.51,94039.55
