Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,50008.219999999994,303446.43000000005,21035.0,n.d.,28181.07,11897.4,40630.52,n.d.,16440.508,16440.508,243026.87,233649.17,290388.95,80351.95999999999,n.d.,3352.96,3352.96,155701.94,n.d.,155701.94,n.d.,0.0,112673.43,n.d.,111020.65,46481.07,1.0,-30728.4,1652.78,19789.04,269353.95,111080.36,0,63825.28999999999,n.d.,125730.90999999999,n.d.,13087.55,13087.55,16440.508,127520.87000000001,13087.55,-3352.96,n.d.,19789.04,416119.86,416119.86,96792.47
2022,n.d.,36559.97,258655.59,21035.0,n.d.,74803.82,11307.130000000001,17275.45,n.d.,4839.34,4839.34,224726.87,205442.35,277301.4,84754.07,n.d.,2639.7,2639.7,199110.66,n.d.,199110.66,n.d.,0.0,112673.43,n.d.,111020.65,87568.82,3.0,-34713.43,1652.78,16653.27,256266.4,119467.5,0,46160.52,n.d.,94027.62000000001,n.d.,2199.64,2199.64,4839.34,124306.84,2199.64,-2639.7,n.d.,16653.27,371329.02,371329.02,89593.40999999999
2021,n.d.,16322.730000000001,214375.2,21035.0,n.d.,40554.74,8494.16,3551.63,n.d.,-13499.6,-13499.6,210780.96,198009.86,275101.76,105688.83,n.d.,1504.54,1504.54,166867.38999999998,n.d.,166867.38999999998,n.d.,0.0,112673.43,n.d.,111020.65,73609.73999999999,4.0,-34123.42,1652.78,42.61,254066.76,139812.25,0,27129.980000000003,n.d.,51946.87,n.d.,-15004.14,-15004.14,-13499.6,126312.65000000001,-15004.14,-1504.54,n.d.,42.61,327048.63,327048.63,92189.23
2020,n.d.,74415.48,320081.92000000004,21035.0,n.d.,31840.260000000002,49242.450000000004,16306.720000000001,n.d.,-25652.17,-25652.17,302053.89,243945.13,290105.9,106967.19,n.d.,2933.98,2933.98,150936.2,n.d.,150936.2,n.d.,0.0,112673.43,n.d.,111020.65,64590.26,2.0,-37780.92,1652.78,1721.31,269070.9,144748.11000000002,0,18991.52,n.d.,142649.44999999998,n.d.,-28586.15,-28586.15,-25652.17,119095.93999999999,-28586.15,-2933.98,n.d.,1721.31,432755.35,432755.35,81315.02
2019,n.d.,23962.95,283442.41000000003,21035.0,n.d.,52656.689999999995,14286.630000000001,13343.859999999999,n.d.,2586.36,2586.36,269196.49000000005,258577.399,318692.05,99951.42,n.d.,4091.4,4091.4,197589.5,n.d.,197589.5,n.d.,0.0,112673.43,n.d.,111020.65,97223.69,2.0,-42395.03,1652.78,902.06,297657.05,142346.44999999998,0,39174.21,n.d.,77423.79,n.d.,-1505.04,-1505.04,2586.36,144932.81,-1505.04,-4091.4,n.d.,902.06,396115.84,396115.84,102537.78
2018,n.d.,8899.93,338593.84,21035.0,n.d.,81769.08,70081.55,24803.6,n.d.,-11667.97,-11667.97,301426.97000000003,317330.639,320197.09,96073.13,n.d.,4151.029,4151.029,203022.59,n.d.,203022.59,n.d.,0.0,112673.43,n.d.,111020.65,103769.08,5.0,-36848.350000000006,1652.78,12363.27,299162.09,132921.47999999998,0,52088.7,n.d.,131070.18000000001,n.d.,-15819.0,-15819.0,-11667.97,121253.51,-15819.0,-4151.029,n.d.,10613.27,451267.27,451267.27,84405.15900000001
2017,n.d.,39951.28,425205.53,21035.0,n.d.,62361.840000000004,73976.37000000001,117892.8,n.d.,7555.92,7555.92,279426.97000000003,357368.49000000005,336016.09,116364.66,n.d.,4829.67,4829.67,223098.65,n.d.,223098.65,n.d.,0.0,112673.43,n.d.,111020.65,82352.61,5.0,-36816.229999999996,1652.78,27885.76,314981.09,153180.88999999998,0,87935.22,n.d.,201862.87,n.d.,2726.25,2726.25,7555.92,160736.81,2726.25,-4829.67,n.d.,26135.76,537878.9600000001,537878.9600000001,123920.58
2016,n.d.,17871.64,366771.6,21035.42,n.d.,42238.47,72381.29,69717.19,n.d.,23.86,23.86,259436.2,311281.75,333289.84,136962.72,n.d.,2993.2,2993.2,214338.28,n.d.,214338.28,n.d.,6.42,112673.43,n.d.,111020.65,97270.5,5.0,-35113.229999999996,1652.78,37618.21,312254.42000000004,172075.94999999998,0,55902.259999999995,n.d.,146155.19,n.d.,-2962.92,-2962.92,23.86,172099.81,-2962.92,-2986.779,n.d.,35868.21,479445.03,479445.03,136993.0
2015,n.d.,11180.369999999999,342943.06,21035.42,n.d.,51843.78999999999,57488.310000000005,63762.86,n.d.,11536.95,11536.95,259436.2,312018.69,336252.76,142396.72,n.d.,6593.13,6593.13,237912.94,n.d.,237912.94,n.d.,4.5,112673.43,n.d.,111020.65,51843.78999999999,5.0,-32135.480000000003,1652.78,19744.0,315217.34,174532.2,0,50695.05,n.d.,119363.73,n.d.,4948.320000000001,4948.320000000001,11536.95,186069.15,4948.320000000001,-6588.63,n.d.,17994.0,455616.4900000001,455616.4900000001,153938.17
2014,n.d.,17004.77,363291.37,21035.42,n.d.,61425.74,69533.1,73158.98999999999,n.d.,-8655.41,-8655.41,259444.2,315598.42000000004,331304.44,142565.47999999998,n.d.,0.0,n.d.,242862.83,n.d.,242862.83,n.d.,2.55,112673.43,n.d.,111020.65,61425.74,7.0,-47527.02,1652.78,30688.18,310269.02,190092.5,0,58122.49,n.d.,144660.36,n.d.,-8652.859999999999,-8652.859999999999,-8655.41,181437.09,-8652.859999999999,2.55,n.d.,30688.18,475964.8,475964.8,133912.62
2013,n.d.,21623.35,359516.65,21035.42,n.d.,127133.97,78260.06,73255.39,n.d.,37157.52,37157.52,259810.1,311442.14,339957.3,135668.8,n.d.,6022.71,6022.71,310212.96,n.d.,310212.96,n.d.,4.79,153876.33,n.d.,152223.55,127133.97,7.0,-10252.669,1652.78,26451.16,318921.879,145921.47,0,73552.27,n.d.,173435.68,n.d.,31139.6,31139.6,37157.52,183078.99,31139.6,-6017.92,n.d.,26451.16,513392.98,513392.98,172831.11000000002
2012,3413.5,29980.23,314567.24,21035.42,n.d.,109606.73,70000,50553.219999999994,n.d.,-45733.52,-45733.52,234490.1,255063.09,308817.7,155126.34,n.d.,4384.74,4384.74,269338.54,n.d.,269338.54,n.d.,3.05,155923.43,n.d.,154270.65,155606.73,7.0,-50338.99,1652.78,29523.92,287782.27900000004,205465.33,0,58279.24,3413.5,158259.47,n.d.,-50115.21,-50115.21,-45733.52,159731.80899999998,-50115.21,-4381.6900000000005,n.d.,29523.92,470490.67,470490.67,109395.87
2011,8220.949999999999,30116.09,398632.53,21035.42,n.d.,157175.29,60000,141271.83,n.d.,-38054.75,-38054.75,234490.1,345645.83900000004,358932.91000000003,173060.66,n.d.,4595.9,4595.9,295306.43000000005,n.d.,295306.43000000005,n.d.,0.68,155923.43,n.d.,154270.65,157175.29,7.0,-3125.23,1652.78,22870.6,337897.49000000005,176185.88999999998,0,97286.01,8220.949999999999,187402.1,n.d.,-42649.97,-42649.97,-38054.75,138131.139,-42649.97,-4595.219,n.d.,22870.6,554555.9600000001,554555.9600000001,135006.59
2010,14790.67,31243.21,478305.18,21035.42,n.d.,184427.87,60000,190731.81,n.d.,8230.359999999999,8230.359999999999,259810.1,419298.7,401582.88,214228.79,n.d.,6403.18,6403.18,413850.07,n.d.,413850.07,n.d.,0.05,112673.43,n.d.,111020.65,184427.87,7.0,-6963.05,1652.78,27763.27,380547.459,221191.84,0,83361.85,14790.67,174605.06,n.d.,1827.23,1827.23,8230.359999999999,229422.2,1827.23,-6403.13,n.d.,27763.27,590978.61,590978.61,222459.2
2009,n.d.,40827.15,590180.73,21035.42,9070.59,240925.41,115000,246148.9,4584.4,10682.28,15266.68,282979.1,488300.85,399755.65,260793.87,n.d.,6200.49,6200.49,551290.25,n.d.,551290.25,n.d.,4.4,59160.76,n.d.,57507.98,240925.41,8.0,-34304.28999999999,1652.78,61052.73,378720.23,299682.56,0,93758.69,n.d.,249585.84,n.d.,4486.1900000000005,4486.1900000000005,10682.28,310364.83900000004,4486.1900000000005,-6196.09,n.d.,61052.73,649341.49,649341.49,276064.95
2008,5413.1,47787.58,585386.13,21035.42,-77866.67000000001,267312.8,100000,198675.06,5927.83,-78811.65000000001,-72883.819,328229.1,479116.579,395269.46,270482.93000000005,n.d.,4990.98,4990.98,542877.2799999999,n.d.,542877.2799999999,n.d.,8.129999999999999,38904.93,n.d.,37252.15,267312.8,8.0,-77965.37000000001,1652.78,58481.97,374234.04,354376.13,0,75820.92,5413.1,223608.5,n.d.,-83794.5,-83794.5,-78811.65000000001,275564.48000000004,-83794.5,-4982.849,n.d.,58481.97,624291.06,624291.06,197607.24
2007,16288.67,n.d.,590493.02,21035.42,37644.380000000005,n.d.,n.d.,222979.56,19565.829999999998,31603.25,51169.08,351666.1,574645.659,479063.96,335002.48000000004,n.d.,7743.05,7743.05,962210.52,6026.18,962210.52,n.d.,244.53,44506.8,15852.2,27001.82,493978.31,10.0,n.d.,1652.78,15847.36,458028.54,n.d.,n.d.,139647.19,16288.67,139647.19,n.d.,24104.73,18078.55,31603.25,n.d.,18078.55,-7498.52,n.d.,15410.89,634999.8200000001,634999.8200000001,386416.089
2006,19266.52,n.d.,638927.52,21035.0,57629.6,n.d.,n.d.,281798.08,28712.760000000002,43252.86,71965.62000000001,315850.0,597648.08,460985.41,298317.9,n.d.,2229.8500000000004,2229.8500000000004,761369.38,12392.93,761369.38,207.4,79.36,47022.54,18697.1,26672.66,307585.82,8.0,n.d.,1652.78,41279.44,439950.41,n.d.,n.d.,205698.13,19266.52,205698.13,n.d.,41102.37,28709.44,43252.86,n.d.,28916.84,-2150.49,207.4,40710.02,685950.06,685950.06,370570.28
2005,23780.08,n.d.,574296.48,21035.0,61710.56,n.d.,n.d.,269889.33999999997,30131.5,44633.57,74765.07,251530.0,521419.34,432068.57,324997.89,268.51,2284.61,2284.61,841970.05,12199.96,841970.05,n.d.,1698.57,52228.48,23053.82,27521.88,353813.47000000003,11.0,n.d.,1652.78,52877.139,411033.57,n.d.,n.d.,170676.31,23780.08,170676.31,n.d.,44047.53,31847.57,44633.57,n.d.,31579.06,-586.04,-268.51,52150.880000000005,626524.9600000001,626524.9600000001,401193.02
2004,33470.659999999996,n.d.,596867.56,21035.0,86526.02,n.d.,n.d.,266825.78900000005,49347.259999999995,55103.84,104451.1,236010.0,502835.7890000001,400489.51,316246.49000000005,n.d.,2933.74,2933.74,901694.59,15933.76,901694.59,56.32,886.1,64980.9,31910.86,31417.26,386732.43000000005,1.0,n.d.,1652.78,94031.771,379454.51,n.d.,n.d.,227888.29,33470.659999999996,227888.29,n.d.,53056.2,37122.439,55103.84,n.d.,37178.76,-2047.64,56.32,92471.97,661848.4600000001,661848.4600000001,421640.01
2003,64149.42,n.d.,494264.89,21035.0,103807.12000000001,n.d.,n.d.,224767.22,40258.119999999995,92901.7,133159.81999999998,67130.88,291898.1,363310.75,309518.36,180,3681.43,3681.4300000000003,963881.76,27283.940000000002,963881.76,1077.22,715.4499999999999,92999.95,61463.59,29883.58,406709.24,11.0,n.d.,1652.779,202366.79,342275.75,n.d.,n.d.,159804.67,64149.42,159804.67,n.d.,89935.72,62651.78,92901.7,n.d.,63549.0,-2965.98,897.22,199680.96,587264.8400000001,587264.8400000001,444290.85
2002,77854.48,n.d.,224582.949,21035.0,80320.75,n.d.,n.d.,n.d.,24417.41,83704.11,108121.52,73452.0,73452.0,299761.75,237480.87,n.d.,4684.37,4684.37,881292.03,23958.58,881292.03,596.26,245.92,153033.28,73628.83,32751.67,459504.24,12.0,n.d.,46652.78,151130.949,278726.75,n.d.,n.d.,n.d.,77854.48,n.d.,n.d.,79265.66,55307.08,83704.11,n.d.,55903.34,-4438.45,596.26,41143.08,377616.23,377616.23,346444.569
2001,57725.36,n.d.,323384.16,21035.0,56436.99,n.d.,n.d.,178362.91,21199.1,61826.91,83026.01,94869.94,273232.85,243858.41,220677.97,n.d.,11748.82,11748.82,728479.2799999999,15101.96,728479.2799999999,238.15,23.610000000000003,93571.9,53091.27,38827.850000000006,354452.28,11.0,n.d.,1652.779,50151.310000000005,222823.41,n.d.,n.d.,115372.29,57725.36,115372.29,n.d.,50101.7,34999.74,61826.91,n.d.,35237.89,-11725.21,238.15,45517.22,416956.06,416956.06,303965.74
