Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,4878741.78,777839.3600000001,10945753.08,4590000.0,2737984.39,5900582.430000001,3403623.92,3775135.86,2059806.08,954688.7,3014494.7800000003,1978639.31,4975935.81,8979930.870000001,3034111.66,n.d.,173797.21000000002,171733.47999999998,16686690.96,115163.11,16728439.83,n.d.,12449.93,8202259.88,2004953.2,5874358.79,6105751.98,67.0,-4779250.96,322947.89,5191977.91,4389930.87,9873168.7,59723.450000000004,1048153.58,4938465.23,5229616.859999999,n.d.,793341.42,678178.31,954688.7,10827857.399,678178.31,-161347.28,n.d.,935699.68,19148012.96,19148012.96,6058992.64
2022,1020484.7,599501.6799999999,6797595.17,4590000.0,2872940.149,7483711.51,3990080.89,3692757.28,2099482.359,888505.89,2987988.2490000003,1797106.77,4890362.37,8959191.860000001,2874129.07,n.d.,76252.299,68158.87000000001,16693508.11,44218.3,16755144.35,n.d.,5422.5,8655080.82,2405943.7600000002,5938523.55,7312688.970000001,64.0,-3409315.52,310613.51,1307731.12,4369191.858999999,8382926.949,58980.719999999994,824436.139,1079465.42,5414018.71,n.d.,817676.09,773457.7889999999,888505.89,9271432.84,773457.7889999999,-70829.799,n.d.,702308.62,15452675.99,15452675.99,5859446.388
2021,1757677.0,809515.26,5627400.2700000005,4590000.0,891256.51,6465705.59,3581928.04,3385416.86,2219519.99,-798549.52,1420970.47,1882035.41,4457937.01,8185734.07,2875237.69,n.d.,60276.57,55344.5,14385322.47,469437.39,14444290.87,n.d.,0.0,9729677.04,2806934.32,6631057.94,6306992.99,64.0,-3682377.12,291684.78,359948.0,3595734.07,8777134.8,343613.22000000003,678609.72,2101290.22,5070053.02,267390,-858826.09,-1328263.48,-798549.52,7978585.28,-1328263.48,-60276.57,n.d.,359948.0,15357077.31,15357077.31,4291276.09
2020,3323319.49,805865.72,7077915.58,4590000.0,2336709.23,6782584.470000001,2269808.61,3070428.26,2313799.74,108563.47,2422363.21,1872642.34,4137204.88,9513997.55,5412262.73,n.d.,89295.38,67402.70999999999,18695421.48,-3641.4,18748415.84,n.d.,0.0,11235313.85,3207924.88,7298578.73,6813752.71,94.0,-4131205.4299999997,728810.24,2134844.98,4923997.55,11857267.9,94035.12000000001,2306202.94,3417354.61,5381877.2700000005,n.d.,19268.09,22909.49,108563.47,11965831.369,22909.49,-89295.38,n.d.,2124522.49,18313229.43,18313229.43,7812733.27
2019,4463721.859999999,1108964.4,6713633.819999999,4590000.0,3599828.7800000003,8292905.359999999,3101805.409,4314042.14,2208466.61,1950339.55,4158806.16,1883094.74,5088172.48,9491088.06,3806273.61,n.d.,108480.49,108480.49,19257981.48,452158.51,19267289.05,n.d.,1661.62,12399237.72,3608915.44,8500529.936999999,7980697.53,94.0,-3009303.92,289792.34,516496.94,4901088.06,9024044.138999999,147729.31,799562.5,4611451.17,5010332.31,n.d.,1843520.68,1391362.1700000002,1950339.55,10974383.69,1391362.1700000002,-106818.87,n.d.,511029.09,19112871.54,19112871.54,7966741.39
2018,6464645.109999999,465561.61,4849659.79,4590000.0,1675824.06,5671655.84,2744305.87,2761625.94,1149696.34,774009.62,1923705.96,1632499.1700000002,3928563.499,7857755.05,2669962.96,n.d.,94915.16,94915.16,12649125.2,155630.84,12649375.19,n.d.,2664.1,13679816.96,n.d.,7598514.41,5747862.29,63.0,-2384050.429,6081302.55,455534.68,3267755.05,6203709.728999999,121296.97,875912.14,6585942.08,4085779.62,n.d.,681758.56,526127.72,774009.62,6977719.348999999,526127.72,-92251.06,n.d.,455534.68,18529476.75,18529476.75,4596333.02
2017,1176591.29,573938.25,5083367.24,4590000.0,1755069.29,5342663.22,595629.3,2732971.44,1177499.75,743557.09,1921056.839,1650959.89,3809993.08,7337040.71,2584913.68,n.d.,67626.01,67626.01,12108645.1,124322.01,12113741.1,n.d.,25960.47,5683400.34,n.d.,5497679.09,5431576.109999999,63.0,-2265107.36,185721.25,699435.91,2747040.71,6027520.79,130300.79,953267.24,1306892.08,2122834.79,n.d.,701891.55,577569.54,743557.09,6771077.88,577569.54,-41665.539,n.d.,699435.91,10766767.58,10766767.58,4531930.99
2016,1737676.04,409427.39,4613650.5,4590000.0,1900605.089,5262874.64,823579.74,3107459.6,1113232.91,901138.51,2014371.42,1344946.13,4042978.34,6759471.17,2555976.36,n.d.,114404.819,100742.45,11953009.41,-614.4399999999999,11953403.96,n.d.,24.05,6176614.03,n.d.,5988767.05,5162751.67,62.0,-2120181.54,187846.98,161244.77000000002,2169471.17,5789390.81,143245.36,916864.828,1880921.4,2149871.96,n.d.,786757.74,787372.1789999999,901138.51,6690529.319999999,787372.1789999999,-114380.769,n.d.,152347.77000000002,10790264.53,10790264.53,4556709.46
2015,1826248.32,349801.07,4385395.29,4590000.0,1872038.84,4931928.8,1185852.34,2734176.17,1026532.27,940565.24,1967097.51,1523655.84,3908030.94,5972098.99,2467873.61,n.d.,126756.97,125409.81,11535317.41,-31684.9,11583733.84,n.d.,13.4,5847790.819999999,n.d.,5662183.54,5052359.51,62.0,-2216833.92,185607.28,127563.28,1382098.99,5711239.799,151951.41,747233.98,1978199.73,2282887.39,n.d.,813821.6699999999,845506.57,940565.24,6651805.04,845506.57,-126743.57,n.d.,127563.28,10233186.11,10233186.11,4433637.358999999
2014,1729196.0890000002,306833.54,4239863.678,4590000.0,1958232.109,5146475.359999999,440974.97,2769775.53,1242728.1700000002,717544.61,1960272.779,1368707.55,3831649.54,5126592.42,2459371.33,n.d.,144189.41,143619.37999999998,11361559.75,-142148.74000000002,11430753.17,n.d.,0.0,4563663.57,n.d.,4365555.38,5021813.609999999,61.0,-1864633.7,198108.19,101380.6,536592.419,5566733.2,196137.22,1003793.01,1925333.31,1751601.52,n.d.,573355.2,715503.9400000001,717544.61,6284277.81,715503.9400000001,-144189.41,n.d.,99942.05,8803527.25,8803527.25,4419074.08
