Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,384739.05,1501969.47,63115.5,88581.719,n.d.,183570.37,1293603.38,4193.399,112382.75,116576.149,n.d.,908864.329,645818.75,191081.01,n.d.,5927.79,n.d.,605774.64,25266.64,605774.64,n.d.,3200.0,25959.24,0.07,25959.17,n.d.,6.0,-298117.48000000004,n.d.,208366.09,582703.25,493391.888,0,313800.54,n.d.,882109.9600000001,n.d.,109654.96,84388.32,112382.75,605774.64,84388.32,-2727.79,n.d.,199221.69,1527928.71,1527928.71,304929.369
2022,n.d.,350465.8,1372043.97,63115.5,91987.34,n.d.,206116.97,1166046.92,1930.12,122521.31,124451.43,n.d.,815581.119,561430.43,171434.78,n.d.,5945.04,5945.04,515784.92,30069.07,515784.92,n.d.,3550.02,3538.64,0.07,3538.57,n.d.,6.0,-219898.709,n.d.,205997.05,498314.93000000005,393263.609,0,257569.41,n.d.,814152.1799999999,n.d.,120126.29,90057.22,122521.31,515784.92000000004,90057.22,-2395.02,n.d.,201797.05,1375582.61,1375582.61,299436.23000000004
2021,n.d.,378221.04,1296883.85,63115.5,70877.439,n.d.,265006.669,1086517.96,1930.12,96031.2,97961.319,n.d.,708296.919,493311.23,148538.31,n.d.,7899.969999999999,7899.969999999999,538274.9500000001,22740.58,538274.9500000001,n.d.,3556.67,5468.76,0.07,5468.6900000000005,n.d.,5.0,-291775.32,n.d.,210365.89,430195.73,442243.75,0,165813.669,n.d.,809041.38,n.d.,91687.9,68947.319,96031.2,538274.9500000001,68947.319,-4343.3,n.d.,77889.40999999999,1302352.61,1302352.61,250056.3
2020,n.d.,450096.99000000005,1385374.74,63115.5,69088.209,n.d.,338437.82,1111694.44,1930.12,96453.17,98383.29,n.d.,661597.4500000001,424363.91,145649.6,n.d.,9585.720000000001,9585.720000000001,586675.3300000001,22459.36,586675.3300000001,n.d.,2750.0,7398.88,0.07,7398.81,n.d.,4.0,-342642.44,n.d.,273680.3,361248.41,490222.16,0,179874.9,n.d.,968409.71,n.d.,89617.45,67158.09,96453.17,586675.3300000001,67158.09,-6835.719,n.d.,141203.81999999998,1392773.62,1392773.62,246782.889
2019,n.d.,483476.74,1386566.86,63115.5,40706.810000000005,n.d.,325124.5,1118371.48,2847.26,57886.28,60733.54,n.d.,634894.74,357205.82,140080.23,n.d.,10273.54,10273.54,553580.2,12503.19,553580.2,n.d.,2750.0,9329.0,0.07,9328.93,n.d.,5.0,-352766.43000000005,n.d.,268195.38,294090.32,495693.92000000004,0,230088.8,n.d.,1038690.04,n.d.,50362.74,37859.549,57886.28,553580.2,37859.549,-7523.54,n.d.,135918.9,1395895.86,1395895.86,203563.77
2018,n.d.,454657.76,1320997.97,63115.5,39039.28,134.93,378657.06,1123681.22,3724.45,53017.11,56741.56,n.d.,669023.4600000001,340646.22000000003,137332.99,n.d.,9465.9,9465.9,556279.58,11336.38,556279.58,n.d.,3100.0,12176.26,0.07,12176.19,134.93,4.0,-362070.1,n.d.,197316.75,277530.72000000003,503127.54,0,159213.19,n.d.,992528.01,n.d.,46651.21,35314.83,53017.11,556144.649,35314.83,-6365.9,n.d.,65040.27,1333174.23,1333174.23,197174.55
2017,n.d.,458404.45,1323925.64,63115.5,36220.7,n.d.,318345.02,1142702.49,3670.42,50516.69,54187.11,n.d.,684298.04,320666.09,136954.52,n.d.,11976.83,11976.83,510644.4,9339.58,510644.4,n.d.,3350.0,15900.71,0.07,15900.64,n.d.,4.0,-319502.77,n.d.,181223.15,257550.59,460127.70900000003,0,242410.789,n.d.,1019160.26,n.d.,41889.86,32550.28,50516.69,510644.4,32550.28,-8626.83,n.d.,48946.67,1339826.35,1339826.35,194491.63
2016,n.d.,404761.36,1326861.9,63115.5,42996.18,n.d.,372793.27,1139581.79,8274.82,52103.47,60378.28999999999,n.d.,734820.43,288115.81,126633.7,n.d.,15222.43,15222.43,522658.81,9509.68,522658.81,n.d.,7350.0,19571.13,2984.46,16586.668999999998,n.d.,4.0,-335646.81799999997,n.d.,187280.11,225000.31,470555.338,0,280762.58900000004,n.d.,1058317.22,n.d.,44231.04,34721.36,52103.47,522658.81,34721.36,-7872.429999999999,n.d.,55003.63,1346433.03,1346433.03,194361.99
2015,n.d.,657999.42,1169342.9,63115.5,74911.85,n.d.,331660.79000000004,1046126.57,3808.32,99195.0,103003.32,n.d.,388127.149,253394.45,125697.43,n.d.,15842.25,15842.25,515209.68,19474.22,515209.68,n.d.,7225.0,119156.62,3590.9500000000003,115565.67,n.d.,4.0,-286508.93000000005,n.d.,123216.329,190278.95,416014.68,0,45444.86,n.d.,1035105.07,n.d.,90577.75,71103.53,99195.0,515209.68,71103.53,-8617.25,n.d.,911.18,1288499.52,1288499.52,235925.75
2014,n.d.,707129.37,1075030.52,63115.5,18892.59,n.d.,274836.21,933963.72,1091.1699999999998,31928.31,33019.48,n.d.,226834.349,182290.92,134321.2,n.d.,16352.01,16352.01,493251.79,4875.55,493251.79,n.d.,7100.67,122964.94,2984.46,119980.48,n.d.,4.0,-325911.11,n.d.,141066.799,119175.42,461323.48000000004,0,33738.96,n.d.,1015704.54,n.d.,22676.97,17801.420000000002,31928.31,493251.79000000004,17801.420000000002,-9251.34,n.d.,7155.0,1197995.46,1197995.46,174441.34999999998
