Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,6851.4,148208.87,583023.54,25000.0,14572.109,432767.67,20349.960000000003,296744.0,2938.26,16912.56,19850.82,205681.8,354216.93000000005,387650.09,457622.15,n.d.,1400.76,1400.76,1099517.94,3877.9500000000003,1099517.94,n.d.,0.0,234736.85,0.01,210932.75,432767.67,15,-189277.3,23804.09,80597.73999999999,362650.09,649837.71,0,254700.07,6851.4,423258.9,n.d.,15511.8,11633.849,16912.56,666750.2699999999,11633.849,-1400.76,n.d.,80597.73999999999,817760.39,817760.39,477472.97
2022,27201.36,115023.92,557607.3300000001,25000.0,16905.74,453771.71,61581.850000000006,326454.21,3132.15,19640.21,22772.36,210661.92,422092.21,376016.24,477152.48,n.d.,1253.76,1253.76,1124564.1800000002,4612.860000000001,1127179.28,n.d.,0.0,237865.14,0.01,210183.09,453771.71,14,-173482.73,27682.04,20491.2,351016.24,653767.3600000001,0,215649.1,27201.36,392254.87,n.d.,18386.45,13773.59,19640.21,673407.57,13773.59,-1253.76,n.d.,20491.2,795472.47,795472.47,499924.84
2021,47248.58,137793.71000000002,510413.54,25000.0,14048.93,368284.55,19748.960000000003,302909.23000000004,4575.88,14572.07,19147.95,192805.66,357921.18,362242.65,479252.7,n.d.,1682.8,1682.8,1031616.1,3416.22,1031616.1,n.d.,0.0,243181.15,0.01,210886.24,368284.55,15,-164930.9,32294.9,14698.65,337242.65,648759.48,0,186560.79,47248.58,344103.46,n.d.,12889.27,9473.05,14572.07,663331.55,9473.05,-1682.8,n.d.,14698.65,753594.69,753594.69,498400.65
2020,81689.06,123105.42,512635.01,25000.0,-8438.25,335636.07,1063.6699999999998,305616.47000000003,3179.07,-9216.27,-6037.2,178438.74000000002,360949.79,346772.91000000003,476285.8,n.d.,2401.05,2401.05,970128.44,n.d.,970128.44,n.d.,0.0,241945.67,0.01,210279.88,335636.07,16,-164243.77000000002,31665.78,28579.8,321772.91000000003,643708.64,0,201949.62,81689.06,326118.71,n.d.,-11617.32,-11617.32,-9216.27,634492.3690000001,-11617.32,-2401.05,n.d.,28579.8,754580.6799999999,754580.6799999999,470248.6
2019,1689.06,133740.519,442303.42,25000.0,9645.02,361958.3,1063.6699999999998,268799.97000000003,3505.06,9950.1,13455.16,159630.16,294689.611,358390.23000000004,471426.97,n.d.,1763.48,1763.48,1022197.77,2046.6599999999999,1022197.77,n.d.,0.0,242439.05,0.01,210773.26,361958.3,15,-175357.34,31665.78,13873.29,333390.23000000004,650289.37,0,189858.99,1689.06,324663.18,n.d.,8186.620000000001,6139.96,9950.1,660239.47,6139.96,-1763.48,n.d.,13873.29,684742.47,684742.47,484882.129
2018,1689.06,138104.11000000002,423928.79,25000.0,14184.22,369376.8,1063.6699999999998,249387.97,4865.04,14127.77,18992.81,150413.09,261696.95,352250.27,449182.24,n.d.,1975.5,1975.5,1012023.37,3106.3900000000003,1012023.37,n.d.,273.3,245719.14,0.01,212006.69,369376.8,16,-174471.52,33712.44,24127.73,327250.27,628518.8,0,176540.81999999998,1689.06,315708.6,n.d.,12425.57,9319.18,14127.77,642646.57,9319.18,-1702.2,n.d.,24127.73,669647.93,669647.93,468448.35
2017,9854.07,109114.57,433994.83,25000.0,19026.739,334292.31,1777.03,248425.72,10878.25,12566.98,23445.23,161887.24000000002,301198.389,352167.9,433075.61,n.d.,1702.32,1412.2,952204.13,2716.17,952204.13,n.d.,0.0,250124.4,0.01,216021.73,334292.31,16,-161390.97999999998,34102.659,23681.87,327167.9,605344.8400000001,0,211205.66,9854.07,322097.26,n.d.,10864.66,8148.49,12566.98,617911.8200000001,8148.49,-1702.32,n.d.,23681.87,684119.23,684119.23,456230.72
2016,9854.07,101559.84,432422.12,25000.0,40553.74,315088.51,32888.98,270599.55,28515.63,19248.8,47764.43,150413.09,319452.8,344019.41000000003,407705.66,n.d.,3165.3500000000004,2202.8500000000004,938050.84,4045.34,938050.84,n.d.,0.0,262117.84,0.01,225299.0,315088.51,16,-167492.24000000002,36818.83,11409.48,319019.41000000003,603713.53,0,206217.659,9854.07,340666.48000000004,n.d.,16083.45,12038.11,19248.8,622962.3300000001,12038.11,-3165.3500000000004,n.d.,11409.48,694539.9600000001,694539.9600000001,454507.589
2015,9854.07,105444.33,358139.51,25000.0,26905.129,268688.82,24185.49,192669.07,21315.14,11574.62,32889.759999999995,162826.13,250050.87,333576.13,393166.63,n.d.,4121.29,3491.76,841053.63,1863.34,842987.1699999999,n.d.,0.0,277958.43000000005,0.01,239734.96,268688.82,16,-148241.96,38223.46,2644.3100000000004,308576.13,562723.73,0,163037.919,9854.07,292667.74,n.d.,7453.33,5589.99,11574.62,574298.3500000001,5589.99,-4121.29,n.d.,2644.3100000000004,636097.9400000001,636097.9400000001,425426.86
2014,1868.85,96283.08,350295.39,25000.0,33286.449,261609.6,7009.92,205784.47,30954.36,5681.6900000000005,36636.05,144510.91999999998,254012.31,327986.14,428818.78,n.d.,2992.229,2642.72,852507.92,777.37,852561.41,n.d.,420.0,256282.61,0.01,216195.8,261609.6,16,-125496.98,40086.79899999999,n.d.,302986.14,585270.12,0,173430.01,1868.85,276723.01,n.d.,3109.46,2332.09,5681.6900000000005,590951.81,2332.09,-2572.229,n.d.,n.d.,606578.0,606578.0,465525.32
