Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,289596.42000000004,n.d.,207939.05,39889.0,143663.34999999998,n.d.,n.d.,28677.1,54469.310000000005,120047.5,174516.81,16787.6,45464.7,3467669.86,21957,n.d.,7411.09,7411.09,250025.38,26642.37,270054.38,n.d.,3200.0,3600349.51,35000,2525209.25,n.d.,1,-73580.57,1040140.26,162474.34999999998,3427780.86,150006.879,0,51022.28,289596.42000000004,51022.28,n.d.,115836.41,89194.04,120047.5,270054.38,89194.04,-4211.09,n.d.,59409.19,3808288.56,3808288.56,199673.81
2022,539925.93,n.d.,300756.6,39889.0,132747.84999999998,n.d.,n.d.,24598.09,53697.43,105783.37,159480.8,16937.6,41535.69,3378475.82,19519.85,n.d.,3531.1,3531.1,237323.82,26533.480000000003,256897.25,n.d.,3331.63,3667394.4,35000,2592254.14,n.d.,1,-77896.6,1040140.26,259220.91,3338586.82,151113.87999999998,0,49749.25,539925.93,49749.25,n.d.,105583.9,79050.42,105783.37,256897.25,79050.42,-199.469,n.d.,156155.75,3968151.0,3968151.0,182332.28
2021,247536.19,n.d.,158133.91,21035.42,49872.37,n.d.,n.d.,23220.6,33959.57,19077.03,53036.6,125,23345.6,1744569.4,n.d.,n.d.,3253.9700000000003,3253.9700000000003,38000.96,5320.94,94334.89,n.d.,5410.68,1863633.79,35000,788493.53,n.d.,n.d.,-41298.28999999999,1040140.26,134788.31,1723533.98,75257.86,0,29662.11,247536.19,29662.11,n.d.,21233.74,15912.8,19077.03,94334.89,15912.8,2156.71,n.d.,111891.74,2021767.7,2021767.7,58447.28
2020,283771.13999999996,6226.05,199864.58,21035.42,65678.5,n.d.,n.d.,17616.960000000003,28516.0,45653.25,74169.25,n.d.,11390.91,1728656.6,n.d.,n.d.,1541.6699999999998,1541.6699999999998,40527.96,12649.08,97907.95,n.d.,5700.0,1902551.11,35000,827410.8500000001,n.d.,n.d.,-23738.7,1040140.26,182247.62,1707621.1800000002,52254.7,0,83761.9,283771.13999999996,89987.95,n.d.,49811.58,37162.5,45653.25,97907.95,37162.5,4158.33,n.d.,79182.45999999999,2102415.69,2102415.69,79869.25
2019,277228.78,6226.05,205661.46,21035.42,92343.319,n.d.,n.d.,7274.09,28570.0,87054.31,115624.31,n.d.,1048.04,1691494.1,n.d.,n.d.,5133.37,5133.37,40531.3,21502.69,130337.04,n.d.,3355.07,1850272.23,35000,770346.3300000001,n.d.,n.d.,-14712.730000000001,1044925.9,198387.37,1670458.6800000002,43282.729999999996,0,80984.76,277228.78,87210.81,n.d.,85276.01,63773.319,87054.31,130337.04,63773.319,-1778.299,n.d.,95322.21,2055933.69,2055933.69,118979.37900000002
2018,327650.02,6024.48,486195.23,21035.42,49771.3,n.d.,n.d.,28372.22,29451.86,7848.150000000001,37300.01,n.d.,22347.74,1270885.93,n.d.,n.d.,136.76,136.76,38400.0,15787.47,87741.34,n.d.,28395.52,1165390.59,35000,835060.3300000001,n.d.,n.d.,-50441.329,295330.26,457823.01,1249850.51,79893.19,0,47025.39,327650.02,53049.87,n.d.,36106.91,20319.44,7848.150000000001,87741.34,20319.44,28258.76,n.d.,163273.28,1651585.82,1651585.82,65695.53
2017,360927.04,6024.48,289908.57,21035.42,28802.77,n.d.,n.d.,10577.02,29671.0,14911.76,44582.76,36.54,4589.08,1250566.49,n.d.,n.d.,6392.78,6392.78,39761.3,9387.21,73205.63,n.d.,0.0,1369696.1700000002,35000,864065.91,n.d.,n.d.,-28622.87,470630.26,279295.01,1229531.07,58293.869,0,42086.72899999999,360927.04,48111.21,n.d.,8518.98,-868.229,14911.76,73205.63,-868.229,-6392.78,n.d.,52112.72,1659604.74,1659604.74,44582.759
2016,393604.37,6024.48,289657.76,21035.42,616787.24,n.d.,n.d.,7125.53,29262.0,19291.45,48553.45,n.d.,1101.05,1251434.72,n.d.,n.d.,7300.660000000001,7300.660000000001,37349.28,11025.3,68585.92,n.d.,586559.75,1399921.4,35000,893736.91,n.d.,n.d.,-20032.47,471184.4900000001,282532.23000000004,1230399.3,49294.47,0,38515.59,393604.37,44540.07,n.d.,598550.54,587525.24,19291.45,68585.92,587525.24,579259.09,n.d.,177240.34,1689579.16,1689579.16,635113.2
2015,330766.48000000004,6024.48,298581.19,21035.42,98031.72,1542,n.d.,118975.12,25227.0,114737.67,139964.669,n.d.,112950.64,663909.48,n.d.,n.d.,6390.23,6390.23,142390.65,38730.32,165688.289,n.d.,3187.6,1155489.87,35000,803243.97,1542,n.d.,-24181.62,317245.9,179606.07,642874.059,49408.619999999995,0,453370.62,330766.48000000004,459395.1,n.d.,111535.04,72804.72,114737.67,164146.289,72804.72,-3202.629,n.d.,76540.90999999999,1454071.06,1454071.06,143152.27000000002
2014,334769.9,6046.55,179928.62,21035.42,28996.88,n.d.,n.d.,10394.97,24220.86,19849.24,44070.1,1542,5890.419,591104.76,n.d.,n.d.,3402.66,3.47,48000.0,13842.22,71457.2,n.d.,2171.66,1144928.66,35000,792861.76,n.d.,n.d.,-27387.1,317066.9,167991.65,570069.3400000001,51607.96,0,392936.07,334769.9,398982.62,n.d.,18618.24,4776.02,19849.24,71457.2,4776.02,-1231.0,n.d.,64926.49,1324857.28,1324857.28,42842.57
